dataset,probe,model,best_layer,main_metric,main_test_performance,frame_shuffle_performance_same_layer,frame_shuffle_delta_pct,single_frame_performance_same_layer,single_frame_delta_pct,main_source_path,frame_shuffle_source_path,single_frame_source_path
intphys2,linear,V-JEPA,24,voe_accuracy,50.980392,21.568627,57.692308,7.843137,84.615385,artifacts/probes/intphys2/intphys2_probe_linear_jepa_v1_vith16_384_20260426T152120Z/train_eval_summary.csv,artifacts/results/intphys2_frame_shuffling/intphys2_frame_shuffling_jepa_v1_vith16_384_linear_22788384/baseline_label_metrics.csv,artifacts/results/intphys2_single_frame/intphys2_single_frame_jepa_v1_vith16_384_linear_22754703/baseline_label_metrics.csv
intphys2,linear,V-JEPA 2,40,voe_accuracy,41.176471,31.372549,23.809525,25.490196,38.095239,artifacts/probes/intphys2/intphys2_probe_linear_videomae_v2_vit_giant_16_224_20260426T152148Z/intphys2_probe_linear_jepa_v2_vitg_384_20260430T105417Z/train_eval_summary.csv,artifacts/results/intphys2_frame_shuffling/intphys2_frame_shuffling_jepa_v2_vitg_384_linear_22788385/baseline_label_metrics.csv,artifacts/results/intphys2_single_frame/intphys2_single_frame_jepa_v2_vitg_384_linear_22754704/baseline_label_metrics.csv
intphys2,linear,V-JEPA 2.1,48,voe_accuracy,35.294118,35.294118,0.000000,9.803922,72.222221,artifacts/probes/intphys2/intphys2_probe_linear_jepa_v2_1_vitG_384_20260430T105417Z/train_eval_summary.csv,artifacts/results/intphys2_frame_shuffling/intphys2_frame_shuffling_jepa_v2_1_vitG_384_linear_22788386/baseline_label_metrics.csv,artifacts/results/intphys2_single_frame/intphys2_single_frame_jepa_v2_1_vitG_384_linear_22754705/baseline_label_metrics.csv
intphys2,linear,VideoMAE,16,voe_accuracy,35.294118,19.607843,44.444445,9.803922,72.222221,artifacts/probes/intphys2/intphys2_probe_linear_videomae_vit_huge_16_224_20260426T152120Z/train_eval_summary.csv,artifacts/results/intphys2_frame_shuffling/intphys2_frame_shuffling_videomae_vit_huge_16_224_linear_22788387/baseline_label_metrics.csv,artifacts/results/intphys2_single_frame/intphys2_single_frame_videomae_vit_huge_16_224_linear_22754708/baseline_label_metrics.csv
intphys2,linear,VideoMAE-v2,40,voe_accuracy,47.058824,21.568627,54.166668,15.686275,66.666666,artifacts/probes/intphys2/intphys2_probe_linear_videomae_v2_vit_giant_16_224_20260426T152148Z/train_eval_summary.csv,artifacts/results/intphys2_frame_shuffling/intphys2_frame_shuffling_videomae_v2_vit_giant_16_224_linear_22788797/baseline_label_metrics.csv,artifacts/results/intphys2_single_frame/intphys2_single_frame_videomae_v2_vit_giant_16_224_linear_22754709/baseline_label_metrics.csv
intphys2,linear,LTX-Video,noise_0.1_block_24,voe_accuracy,49.019608,19.607843,60.000000,0.000000,100.000000,artifacts/probes/intphys2/intphys2_ltx_linear_all_40_optuna/train_eval_summary.csv,artifacts/results/intphys2_frame_shuffling/intphys2_frame_shuffling_ltx_video_ltxv_13b_0_9_8_distilled_linear_22795330/baseline_label_metrics.csv,artifacts/results/intphys2_single_frame/intphys2_single_frame_ltx_video_ltxv_13b_0_9_8_distilled_linear_22763247/baseline_label_metrics.csv
intphys2,MLP,V-JEPA,16,voe_accuracy,45.098039,19.607843,56.521739,15.686275,65.217390,artifacts/probes/intphys2/intphys2_probe_mlp_jepa_v1_vith16_384_20260508T164713Z/train_eval_summary.csv,artifacts/results/intphys2_frame_shuffling/intphys2_frame_shuffling_jepa_v1_vith16_384_mlp_22789571/baseline_label_metrics.csv,artifacts/results/intphys2_single_frame/intphys2_single_frame_jepa_v1_vith16_384_mlp_22754711/baseline_label_metrics.csv
intphys2,MLP,V-JEPA 2,30,voe_accuracy,56.862745,23.529412,58.620689,21.568627,62.068966,artifacts/probes/intphys2/intphys2_probe_mlp_jepa_v2_vitg_384_20260508T164714Z/train_eval_summary.csv,artifacts/results/intphys2_frame_shuffling/intphys2_frame_shuffling_jepa_v2_vitg_384_mlp_22789572/baseline_label_metrics.csv,artifacts/results/intphys2_single_frame/intphys2_single_frame_jepa_v2_vitg_384_mlp_22754712/baseline_label_metrics.csv
intphys2,MLP,V-JEPA 2.1,38,voe_accuracy,39.215686,29.411765,24.999999,19.607843,50.000000,artifacts/probes/intphys2/intphys2_probe_mlp_jepa_v2_1_vitG_384_20260508T164713Z/train_eval_summary.csv,artifacts/results/intphys2_frame_shuffling/intphys2_frame_shuffling_jepa_v2_1_vitG_384_mlp_22789573/baseline_label_metrics.csv,artifacts/results/intphys2_single_frame/intphys2_single_frame_jepa_v2_1_vitG_384_mlp_22754713/baseline_label_metrics.csv
intphys2,MLP,VideoMAE,24,voe_accuracy,35.294118,13.725490,61.111112,13.725490,61.111112,artifacts/probes/intphys2/intphys2_probe_mlp_videomae_vit_huge_16_224_20260508T164741Z/train_eval_summary.csv,artifacts/results/intphys2_frame_shuffling/intphys2_frame_shuffling_videomae_vit_huge_16_224_mlp_22789574/baseline_label_metrics.csv,artifacts/results/intphys2_single_frame/intphys2_single_frame_videomae_vit_huge_16_224_mlp_22754714/baseline_label_metrics.csv
