Dataset,Model,Layer,Main seed42 primary test,Random-label primary test,Primary drop pp,Main seed42 accuracy test,Random-label accuracy test,Accuracy drop pp
IntPhys2,V-JEPA,16,66.67,13.73,-52.94,78.92,51.96,-26.96
IntPhys2,V-JEPA 2,40,78.43,11.76,-66.67,82.84,50.00,-32.84
IntPhys2,V-JEPA 2.1,48,60.78,19.61,-41.18,72.55,44.12,-28.43
IntPhys2,VideoMAE,24,76.47,13.73,-62.75,80.88,50.49,-30.39
IntPhys2,VideoMAE-v2,20,62.75,7.84,-54.90,72.55,50.00,-22.55
IntPhys2,LTX-Video,48 (noise 0.2),43.14,9.80,-33.33,64.22,48.53,-15.69
MVP,V-JEPA,24,95.05,10.11,-84.93,97.27,50.61,-46.66
MVP,V-JEPA 2,40,94.03,8.80,-85.24,96.51,49.24,-47.27
MVP,V-JEPA 2.1,38,94.94,16.99,-77.96,97.12,49.04,-48.08
MVP,VideoMAE,24,92.01,13.45,-78.56,95.10,50.05,-45.05
MVP,VideoMAE-v2,30,91.10,14.66,-76.44,94.89,50.61,-44.29
MVP,LTX-Video,24 (noise 0.5),84.33,11.73,-72.60,91.76,49.65,-42.11
