Dataset,Model,Best layer,LR,Train VOE/PC,Train acc,Val VOE/PC,Val acc,Test VOE/PC,Test acc,Status
IntPhys2,V-JEPA,8,5e-4,18.54,53.31,29.41,57.84,9.80,50.49,done
IntPhys2,V-JEPA 2,20,5e-5,23.84,50.17,29.41,51.96,11.76,50.49,done
IntPhys2,V-JEPA 2.1,12,5e-4,19.21,50.00,27.45,53.43,9.80,47.06,done
IntPhys2,VideoMAE,32,1e-5,34.44,51.66,29.41,54.41,13.73,50.49,done
IntPhys2,VideoMAE-v2,30,5e-4,16.56,50.00,25.49,53.92,19.61,52.94,done
IntPhys2,LTX-Video,38,5e-5,23.18,50.50,29.41,52.94,17.65,50.49,done
MVP,V-JEPA,8,5e-4,12.28,49.34,14.05,50.61,13.85,51.06,done
MVP,V-JEPA 2,30,5e-4,15.68,50.24,18.00,51.82,16.48,51.77,done
MVP,V-JEPA 2.1,38,1e-4,18.28,50.99,18.81,50.96,16.99,49.04,done
MVP,VideoMAE,24,1e-5,18.15,53.69,14.56,51.31,13.45,50.05,done
MVP,VideoMAE-v2,30,1e-5,15.45,51.70,15.07,51.37,14.66,50.61,done
MVP,LTX-Video,34,1e-4,12.34,50.15,12.64,50.00,11.73,50.00,done
