run_set,config_id,run_id,experiment,dataset,model,backbone,probe,layer,seed,actual_epochs,target_epochs,remaining_epochs,early_stopped,best_epoch,elapsed_seconds,seconds_per_epoch,estimated_gpu_hours,estimated_sbu,probe_last
backbone_sweep_attentive,intphys2__backbone_sweep__v_jepa_2_1__vit_b_16__temporal_attn__layer_3,intphys2__backbone_sweep__v_jepa_2_1__vit_b_16__temporal_attn__layer_3__seed_101,backbone_sweep,IntPhys2,V-JEPA 2.1,ViT-B/16,Attentive,3,101,83,90,7,True,63,3582.821164,43.166520,0.083935,10.744,artifacts/probes/intphys2/seed_runs_layerwise_backbone_sweep_v1/intphys2__backbone_sweep__v_jepa_2_1__vit_b_16__temporal_attn__layer_3/seed_101/layer_3/train/probe_last.pt
backbone_sweep_attentive,intphys2__backbone_sweep__v_jepa_2_1__vit_b_16__temporal_attn__layer_3,intphys2__backbone_sweep__v_jepa_2_1__vit_b_16__temporal_attn__layer_3__seed_102,backbone_sweep,IntPhys2,V-JEPA 2.1,ViT-B/16,Attentive,3,102,48,90,42,True,28,2035.498915,42.406227,0.494739,63.327,artifacts/probes/intphys2/seed_runs_layerwise_backbone_sweep_v1/intphys2__backbone_sweep__v_jepa_2_1__vit_b_16__temporal_attn__layer_3/seed_102/layer_3/train/probe_last.pt
backbone_sweep_attentive,intphys2__backbone_sweep__v_jepa_2_1__vit_b_16__temporal_attn__layer_6,intphys2__backbone_sweep__v_jepa_2_1__vit_b_16__temporal_attn__layer_6__seed_101,backbone_sweep,IntPhys2,V-JEPA 2.1,ViT-B/16,Attentive,6,101,21,90,69,True,1,901.346400,42.921257,0.822657,105.300,artifacts/probes/intphys2/seed_runs_layerwise_backbone_sweep_v1/intphys2__backbone_sweep__v_jepa_2_1__vit_b_16__temporal_attn__layer_6/seed_101/layer_6/train/probe_last.pt
backbone_sweep_attentive,intphys2__backbone_sweep__v_jepa_2_1__vit_b_16__temporal_attn__layer_6,intphys2__backbone_sweep__v_jepa_2_1__vit_b_16__temporal_attn__layer_6__seed_102,backbone_sweep,IntPhys2,V-JEPA 2.1,ViT-B/16,Attentive,6,102,48,90,42,True,28,2034.058778,42.376225,0.494389,63.282,artifacts/probes/intphys2/seed_runs_layerwise_backbone_sweep_v1/intphys2__backbone_sweep__v_jepa_2_1__vit_b_16__temporal_attn__layer_6/seed_102/layer_6/train/probe_last.pt
backbone_sweep_attentive,intphys2__backbone_sweep__v_jepa_2_1__vit_b_16__temporal_attn__layer_9,intphys2__backbone_sweep__v_jepa_2_1__vit_b_16__temporal_attn__layer_9__seed_101,backbone_sweep,IntPhys2,V-JEPA 2.1,ViT-B/16,Attentive,9,101,25,90,65,True,5,1070.755623,42.830225,0.773324,98.985,artifacts/probes/intphys2/seed_runs_layerwise_backbone_sweep_v1/intphys2__backbone_sweep__v_jepa_2_1__vit_b_16__temporal_attn__layer_9/seed_101/layer_9/train/probe_last.pt
backbone_sweep_attentive,intphys2__backbone_sweep__v_jepa_2_1__vit_b_16__temporal_attn__layer_9,intphys2__backbone_sweep__v_jepa_2_1__vit_b_16__temporal_attn__layer_9__seed_102,backbone_sweep,IntPhys2,V-JEPA 2.1,ViT-B/16,Attentive,9,102,32,90,58,True,12,1354.097516,42.315547,0.681750,87.264,artifacts/probes/intphys2/seed_runs_layerwise_backbone_sweep_v1/intphys2__backbone_sweep__v_jepa_2_1__vit_b_16__temporal_attn__layer_9/seed_102/layer_9/train/probe_last.pt
backbone_sweep_attentive,intphys2__backbone_sweep__v_jepa_2_1__vit_b_16__temporal_attn__layer_12,intphys2__backbone_sweep__v_jepa_2_1__vit_b_16__temporal_attn__layer_12__seed_101,backbone_sweep,IntPhys2,V-JEPA 2.1,ViT-B/16,Attentive,12,101,58,90,32,True,38,2729.298825,47.056876,0.418283,53.540,artifacts/probes/intphys2/seed_runs_layerwise_backbone_sweep_v1/intphys2__backbone_sweep__v_jepa_2_1__vit_b_16__temporal_attn__layer_12/seed_101/layer_12/train/probe_last.pt
backbone_sweep_attentive,intphys2__backbone_sweep__v_jepa_2_1__vit_b_16__temporal_attn__layer_12,intphys2__backbone_sweep__v_jepa_2_1__vit_b_16__temporal_attn__layer_12__seed_102,backbone_sweep,IntPhys2,V-JEPA 2.1,ViT-B/16,Attentive,12,102,67,90,23,True,47,2867.920895,42.804789,0.273475,35.005,artifacts/probes/intphys2/seed_runs_layerwise_backbone_sweep_v1/intphys2__backbone_sweep__v_jepa_2_1__vit_b_16__temporal_attn__layer_12/seed_102/layer_12/train/probe_last.pt
backbone_sweep_attentive,intphys2__backbone_sweep__v_jepa_2_1__vit_g_16__temporal_attn__layer_10,intphys2__backbone_sweep__v_jepa_2_1__vit_g_16__temporal_attn__layer_10__seed_101,backbone_sweep,IntPhys2,V-JEPA 2.1,ViT-G/16,Attentive,10,101,36,90,54,True,16,2970.615145,82.517087,1.237756,158.433,artifacts/probes/intphys2/seed_runs_layerwise_backbone_sweep_v1/intphys2__backbone_sweep__v_jepa_2_1__vit_g_16__temporal_attn__layer_10/seed_101/layer_10/train/probe_last.pt
backbone_sweep_attentive,intphys2__backbone_sweep__v_jepa_2_1__vit_g_16__temporal_attn__layer_10,intphys2__backbone_sweep__v_jepa_2_1__vit_g_16__temporal_attn__layer_10__seed_102,backbone_sweep,IntPhys2,V-JEPA 2.1,ViT-G/16,Attentive,10,102,31,90,59,True,11,2582.406049,83.303421,1.365251,174.752,artifacts/probes/intphys2/seed_runs_layerwise_backbone_sweep_v1/intphys2__backbone_sweep__v_jepa_2_1__vit_g_16__temporal_attn__layer_10/seed_102/layer_10/train/probe_last.pt
backbone_sweep_attentive,intphys2__backbone_sweep__v_jepa_2_1__vit_g_16__temporal_attn__layer_20,intphys2__backbone_sweep__v_jepa_2_1__vit_g_16__temporal_attn__layer_20__seed_101,backbone_sweep,IntPhys2,V-JEPA 2.1,ViT-G/16,Attentive,20,101,75,90,15,True,55,6162.893941,82.171919,0.342383,43.825,artifacts/probes/intphys2/seed_runs_layerwise_backbone_sweep_v1/intphys2__backbone_sweep__v_jepa_2_1__vit_g_16__temporal_attn__layer_20/seed_101/layer_20/train/probe_last.pt
backbone_sweep_attentive,intphys2__backbone_sweep__v_jepa_2_1__vit_g_16__temporal_attn__layer_20,intphys2__backbone_sweep__v_jepa_2_1__vit_g_16__temporal_attn__layer_20__seed_102,backbone_sweep,IntPhys2,V-JEPA 2.1,ViT-G/16,Attentive,20,102,58,90,32,True,38,4800.123298,82.760747,0.735651,94.163,artifacts/probes/intphys2/seed_runs_layerwise_backbone_sweep_v1/intphys2__backbone_sweep__v_jepa_2_1__vit_g_16__temporal_attn__layer_20/seed_102/layer_20/train/probe_last.pt
backbone_sweep_attentive,intphys2__backbone_sweep__v_jepa_2_1__vit_g_16__temporal_attn__layer_30,intphys2__backbone_sweep__v_jepa_2_1__vit_g_16__temporal_attn__layer_30__seed_101,backbone_sweep,IntPhys2,V-JEPA 2.1,ViT-G/16,Attentive,30,101,57,90,33,True,37,4677.728813,82.065418,0.752266,96.290,artifacts/probes/intphys2/seed_runs_layerwise_backbone_sweep_v1/intphys2__backbone_sweep__v_jepa_2_1__vit_g_16__temporal_attn__layer_30/seed_101/layer_30/train/probe_last.pt
backbone_sweep_attentive,intphys2__backbone_sweep__v_jepa_2_1__vit_g_16__temporal_attn__layer_30,intphys2__backbone_sweep__v_jepa_2_1__vit_g_16__temporal_attn__layer_30__seed_102,backbone_sweep,IntPhys2,V-JEPA 2.1,ViT-G/16,Attentive,30,102,90,90,0,False,89,7301.453525,81.127261,0.000000,0.000,artifacts/probes/intphys2/seed_runs_layerwise_backbone_sweep_v1/intphys2__backbone_sweep__v_jepa_2_1__vit_g_16__temporal_attn__layer_30/seed_102/layer_30/train/probe_last.pt
backbone_sweep_attentive,intphys2__backbone_sweep__v_jepa_2_1__vit_g_16__temporal_attn__layer_40,intphys2__backbone_sweep__v_jepa_2_1__vit_g_16__temporal_attn__layer_40__seed_101,backbone_sweep,IntPhys2,V-JEPA 2.1,ViT-G/16,Attentive,40,101,56,90,34,True,36,4617.661862,82.458248,0.778772,99.683,artifacts/probes/intphys2/seed_runs_layerwise_backbone_sweep_v1/intphys2__backbone_sweep__v_jepa_2_1__vit_g_16__temporal_attn__layer_40/seed_101/layer_40/train/probe_last.pt
backbone_sweep_attentive,intphys2__backbone_sweep__v_jepa_2_1__vit_g_16__temporal_attn__layer_40,intphys2__backbone_sweep__v_jepa_2_1__vit_g_16__temporal_attn__layer_40__seed_102,backbone_sweep,IntPhys2,V-JEPA 2.1,ViT-G/16,Attentive,40,102,42,90,48,True,22,3384.278728,80.578065,1.074374,137.520,artifacts/probes/intphys2/seed_runs_layerwise_backbone_sweep_v1/intphys2__backbone_sweep__v_jepa_2_1__vit_g_16__temporal_attn__layer_40/seed_102/layer_40/train/probe_last.pt
backbone_sweep_attentive,intphys2__backbone_sweep__videomae_v2__vit_b_16__temporal_attn__layer_3,intphys2__backbone_sweep__videomae_v2__vit_b_16__temporal_attn__layer_3__seed_101,backbone_sweep,IntPhys2,VideoMAE-v2,ViT-B/16,Attentive,3,101,34,90,56,True,14,799.220359,23.506481,0.365656,46.804,artifacts/probes/intphys2/seed_runs_layerwise_backbone_sweep_v1/intphys2__backbone_sweep__videomae_v2__vit_b_16__temporal_attn__layer_3/seed_101/layer_3/train/probe_last.pt
backbone_sweep_attentive,intphys2__backbone_sweep__videomae_v2__vit_b_16__temporal_attn__layer_3,intphys2__backbone_sweep__videomae_v2__vit_b_16__temporal_attn__layer_3__seed_102,backbone_sweep,IntPhys2,VideoMAE-v2,ViT-B/16,Attentive,3,102,45,90,45,True,25,951.151907,21.136709,0.264209,33.819,artifacts/probes/intphys2/seed_runs_layerwise_backbone_sweep_v1/intphys2__backbone_sweep__videomae_v2__vit_b_16__temporal_attn__layer_3/seed_102/layer_3/train/probe_last.pt
backbone_sweep_attentive,intphys2__backbone_sweep__videomae_v2__vit_b_16__temporal_attn__layer_6,intphys2__backbone_sweep__videomae_v2__vit_b_16__temporal_attn__layer_6__seed_101,backbone_sweep,IntPhys2,VideoMAE-v2,ViT-B/16,Attentive,6,101,41,90,49,True,21,862.850478,21.045134,0.286448,36.665,artifacts/probes/intphys2/seed_runs_layerwise_backbone_sweep_v1/intphys2__backbone_sweep__videomae_v2__vit_b_16__temporal_attn__layer_6/seed_101/layer_6/train/probe_last.pt
backbone_sweep_attentive,intphys2__backbone_sweep__videomae_v2__vit_b_16__temporal_attn__layer_6,intphys2__backbone_sweep__videomae_v2__vit_b_16__temporal_attn__layer_6__seed_102,backbone_sweep,IntPhys2,VideoMAE-v2,ViT-B/16,Attentive,6,102,68,90,22,True,48,1259.183768,18.517408,0.113162,14.485,artifacts/probes/intphys2/seed_runs_layerwise_backbone_sweep_v1/intphys2__backbone_sweep__videomae_v2__vit_b_16__temporal_attn__layer_6/seed_102/layer_6/train/probe_last.pt
backbone_sweep_attentive,intphys2__backbone_sweep__videomae_v2__vit_b_16__temporal_attn__layer_9,intphys2__backbone_sweep__videomae_v2__vit_b_16__temporal_attn__layer_9__seed_101,backbone_sweep,IntPhys2,VideoMAE-v2,ViT-B/16,Attentive,9,101,47,90,43,True,27,879.851133,18.720237,0.223603,28.621,artifacts/probes/intphys2/seed_runs_layerwise_backbone_sweep_v1/intphys2__backbone_sweep__videomae_v2__vit_b_16__temporal_attn__layer_9/seed_101/layer_9/train/probe_last.pt
backbone_sweep_attentive,intphys2__backbone_sweep__videomae_v2__vit_b_16__temporal_attn__layer_9,intphys2__backbone_sweep__videomae_v2__vit_b_16__temporal_attn__layer_9__seed_102,backbone_sweep,IntPhys2,VideoMAE-v2,ViT-B/16,Attentive,9,102,48,90,42,True,28,839.547979,17.490583,0.204057,26.119,artifacts/probes/intphys2/seed_runs_layerwise_backbone_sweep_v1/intphys2__backbone_sweep__videomae_v2__vit_b_16__temporal_attn__layer_9/seed_102/layer_9/train/probe_last.pt
backbone_sweep_attentive,intphys2__backbone_sweep__videomae_v2__vit_b_16__temporal_attn__layer_12,intphys2__backbone_sweep__videomae_v2__vit_b_16__temporal_attn__layer_12__seed_101,backbone_sweep,IntPhys2,VideoMAE-v2,ViT-B/16,Attentive,12,101,41,90,49,True,21,721.229730,17.590969,0.239433,30.647,artifacts/probes/intphys2/seed_runs_layerwise_backbone_sweep_v1/intphys2__backbone_sweep__videomae_v2__vit_b_16__temporal_attn__layer_12/seed_101/layer_12/train/probe_last.pt
backbone_sweep_attentive,intphys2__backbone_sweep__videomae_v2__vit_b_16__temporal_attn__layer_12,intphys2__backbone_sweep__videomae_v2__vit_b_16__temporal_attn__layer_12__seed_102,backbone_sweep,IntPhys2,VideoMAE-v2,ViT-B/16,Attentive,12,102,60,90,30,True,40,1191.385309,19.856422,0.165470,21.180,artifacts/probes/intphys2/seed_runs_layerwise_backbone_sweep_v1/intphys2__backbone_sweep__videomae_v2__vit_b_16__temporal_attn__layer_12/seed_102/layer_12/train/probe_last.pt
backbone_sweep_attentive,mvp__backbone_sweep__jepa_v2_1__vitb_384__temporal_attn__layer_3,mvp__backbone_sweep__jepa_v2_1__vitb_384__temporal_attn__layer_3__seed_101,backbone_sweep,MVP,V-JEPA 2.1,ViT-B/16,Attentive,3,101,23,30,7,True,18,9546.443454,415.062759,0.807066,103.305,artifacts/probes/mvp/seed_runs_layerwise_backbone_sweep_v1/mvp__backbone_sweep__jepa_v2_1__vitb_384__temporal_attn__layer_3/seed_101/layer_3/train/probe_last.pt
