config_id,dataset,experiment,model,backbone,probe,layer,n_new_seeds,seeds,old_test_primary_mean,old_test_primary_std,new_test_primary_mean,new_test_primary_std,old_test_accuracy_mean,old_test_accuracy_std,new_test_accuracy_mean,new_test_accuracy_std,seed42_test_primary,new101102_test_primary_mean,new101102_minus_seed42,new_test_primary_values,old_test_primary_values
intphys2__backbone_sweep__v_jepa_2_1__vit_b_16__temporal_attn__layer_3,IntPhys2,backbone_sweep,V-JEPA 2.1,ViT-B/16,Attentive,3,3,"42,101,102",14.38,8.16,11.11,3.00,50.16,0.28,50.16,0.28,11.76,10.78,-0.98,"11.76,7.84,13.73","11.76,7.84,23.53"
intphys2__backbone_sweep__v_jepa_2_1__vit_b_16__temporal_attn__layer_6,IntPhys2,backbone_sweep,V-JEPA 2.1,ViT-B/16,Attentive,6,3,"42,101,102",17.65,3.40,16.99,4.53,49.67,0.57,49.67,0.57,19.61,15.69,-3.92,"19.61,19.61,11.76","19.61,19.61,13.73"
intphys2__backbone_sweep__v_jepa_2_1__vit_b_16__temporal_attn__layer_9,IntPhys2,backbone_sweep,V-JEPA 2.1,ViT-B/16,Attentive,9,3,"42,101,102",32.03,23.72,55.56,3.00,57.84,14.01,75.33,2.26,58.82,53.92,-4.90,"58.82,54.90,52.94","58.82,13.73,23.53"
intphys2__backbone_sweep__v_jepa_2_1__vit_b_16__temporal_attn__layer_12,IntPhys2,backbone_sweep,V-JEPA 2.1,ViT-B/16,Attentive,12,3,"42,101,102",54.25,4.53,52.29,7.92,71.24,3.44,71.24,3.74,56.86,50.00,-6.86,"56.86,56.86,43.14","56.86,56.86,49.02"
intphys2__backbone_sweep__v_jepa_2_1__vit_g_16__temporal_attn__layer_10,IntPhys2,backbone_sweep,V-JEPA 2.1,ViT-G/16,Attentive,10,3,"42,101,102",20.26,1.13,24.18,7.92,56.54,1.50,55.23,3.26,19.61,26.47,6.86,"19.61,19.61,33.33","19.61,21.57,19.61"
intphys2__backbone_sweep__v_jepa_2_1__vit_g_16__temporal_attn__layer_20,IntPhys2,backbone_sweep,V-JEPA 2.1,ViT-G/16,Attentive,20,3,"42,101,102",45.10,5.19,41.83,4.53,67.48,3.00,67.48,4.08,39.22,43.14,3.92,"39.22,47.06,39.22","39.22,49.02,47.06"
intphys2__backbone_sweep__v_jepa_2_1__vit_g_16__temporal_attn__layer_30,IntPhys2,backbone_sweep,V-JEPA 2.1,ViT-G/16,Attentive,30,2,"42,101",51.96,1.39,52.94,0.00,73.77,1.04,74.26,1.73,52.94,52.94,0.00,"52.94,52.94,NA","52.94,50.98,NA"
intphys2__backbone_sweep__v_jepa_2_1__vit_g_16__temporal_attn__layer_40,IntPhys2,backbone_sweep,V-JEPA 2.1,ViT-G/16,Attentive,40,3,"42,101,102",64.71,3.92,65.36,4.08,75.98,1.30,77.12,2.32,60.78,67.65,6.86,"60.78,66.67,68.63","60.78,68.63,64.71"
intphys2__backbone_sweep__videomae_v2__vit_b_16__temporal_attn__layer_3,IntPhys2,backbone_sweep,VideoMAE-v2,ViT-B/16,Attentive,3,3,"42,101,102",10.46,6.30,13.73,5.19,48.86,3.19,49.67,0.57,17.65,11.76,-5.88,"17.65,7.84,15.69","17.65,7.84,5.88"
intphys2__backbone_sweep__videomae_v2__vit_b_16__temporal_attn__layer_6,IntPhys2,backbone_sweep,VideoMAE-v2,ViT-B/16,Attentive,6,3,"42,101,102",35.29,20.75,45.75,4.53,60.29,9.00,65.36,2.70,43.14,47.06,3.92,"43.14,43.14,50.98","43.14,11.76,50.98"
intphys2__backbone_sweep__videomae_v2__vit_b_16__temporal_attn__layer_9,IntPhys2,backbone_sweep,VideoMAE-v2,ViT-B/16,Attentive,9,3,"42,101,102",54.25,1.13,56.21,4.08,69.61,2.14,68.63,3.43,52.94,57.84,4.90,"52.94,60.78,54.90","52.94,54.90,54.90"
intphys2__backbone_sweep__videomae_v2__vit_b_16__temporal_attn__layer_12,IntPhys2,backbone_sweep,VideoMAE-v2,ViT-B/16,Attentive,12,3,"42,101,102",38.56,4.08,36.60,6.89,60.62,1.86,59.15,3.15,43.14,33.33,-9.80,"43.14,29.41,37.25","43.14,37.25,35.29"
intphys2__main__v_jepa__vit_h_16__temporal_attn__layer_8,IntPhys2,main,V-JEPA,ViT-H/16,Attentive,8,3,"42,101,102",13.07,3.00,9.80,7.84,48.37,2.04,48.53,2.14,9.80,9.80,0.00,"9.80,1.96,17.65","9.80,13.73,15.69"
intphys2__main__v_jepa__vit_h_16__temporal_attn__layer_16,IntPhys2,main,V-JEPA,ViT-H/16,Attentive,16,3,"42,101,102",60.13,5.66,64.71,5.19,77.78,2.42,77.45,3.43,66.67,63.73,-2.94,"66.67,68.63,58.82","66.67,56.86,56.86"
intphys2__main__v_jepa__vit_h_16__temporal_attn__layer_24,IntPhys2,main,V-JEPA,ViT-H/16,Attentive,24,3,"42,101,102",62.75,1.96,58.82,5.88,75.98,2.73,75.00,2.73,64.71,55.88,-8.82,"64.71,52.94,58.82","64.71,62.75,60.78"
intphys2__main__v_jepa__vit_h_16__temporal_attn__layer_32,IntPhys2,main,V-JEPA,ViT-H/16,Attentive,32,3,"42,101,102",52.94,0.00,56.86,3.92,71.73,1.50,72.55,2.25,52.94,58.82,5.88,"52.94,56.86,60.78","52.94,52.94,52.94"
intphys2__main__v_jepa_2__vit_g_16__temporal_attn__layer_10,IntPhys2,main,V-JEPA 2,ViT-G/16,Attentive,10,3,"42,101,102",7.84,5.88,5.88,3.40,50.33,0.28,50.00,0.49,1.96,7.84,5.88,"1.96,7.84,7.84","1.96,13.73,7.84"
intphys2__main__v_jepa_2__vit_g_16__temporal_attn__layer_20,IntPhys2,main,V-JEPA 2,ViT-G/16,Attentive,20,3,"42,101,102",12.42,3.00,11.11,5.99,49.67,0.28,49.84,0.28,9.80,11.76,1.96,"9.80,5.88,17.65","9.80,15.69,11.76"
