config_id,dataset,experiment,model,backbone,probe,layer,n_final_seeds,final_seeds,old_test_primary_mean,old_test_primary_std,final_test_primary_mean,final_test_primary_std,old_test_accuracy_mean,old_test_accuracy_std,final_test_accuracy_mean,final_test_accuracy_std,seed42_test_primary,seed101102_final_test_primary_mean,seed101102_final_minus_seed42,final_test_primary_values,old_test_primary_values,final_test_accuracy_values
intphys2__backbone_sweep__v_jepa_2_1__vit_b_16__temporal_attn__layer_3,IntPhys2,backbone_sweep,V-JEPA 2.1,ViT-B/16,Attentive,3,3,"42,101,102",14.38,8.16,11.11,3.00,50.16,0.28,50.16,0.28,11.76,10.78,-0.98,"11.76,7.84,13.73","11.76,7.84,23.53","50.00,50.00,50.49"
intphys2__backbone_sweep__v_jepa_2_1__vit_b_16__temporal_attn__layer_6,IntPhys2,backbone_sweep,V-JEPA 2.1,ViT-B/16,Attentive,6,3,"42,101,102",17.65,3.40,16.99,4.53,49.67,0.57,49.67,0.57,19.61,15.69,-3.92,"19.61,19.61,11.76","19.61,19.61,13.73","50.00,50.00,49.02"
intphys2__backbone_sweep__v_jepa_2_1__vit_b_16__temporal_attn__layer_9,IntPhys2,backbone_sweep,V-JEPA 2.1,ViT-B/16,Attentive,9,3,"42,101,102",32.03,23.72,55.56,3.00,57.84,14.01,75.33,2.26,58.82,53.92,-4.90,"58.82,54.90,52.94","58.82,13.73,23.53","74.02,74.02,77.94"
intphys2__backbone_sweep__v_jepa_2_1__vit_b_16__temporal_attn__layer_12,IntPhys2,backbone_sweep,V-JEPA 2.1,ViT-B/16,Attentive,12,3,"42,101,102",54.25,4.53,52.29,7.92,71.24,3.44,71.24,3.74,56.86,50.00,-6.86,"56.86,56.86,43.14","56.86,56.86,49.02","74.51,72.06,67.16"
intphys2__backbone_sweep__v_jepa_2_1__vit_g_16__temporal_attn__layer_10,IntPhys2,backbone_sweep,V-JEPA 2.1,ViT-G/16,Attentive,10,3,"42,101,102",20.26,1.13,24.18,7.92,56.54,1.50,55.23,3.26,19.61,26.47,6.86,"19.61,19.61,33.33","19.61,21.57,19.61","56.86,51.47,57.35"
intphys2__backbone_sweep__v_jepa_2_1__vit_g_16__temporal_attn__layer_20,IntPhys2,backbone_sweep,V-JEPA 2.1,ViT-G/16,Attentive,20,3,"42,101,102",45.10,5.19,41.83,4.53,67.48,3.00,67.48,4.08,39.22,43.14,3.92,"39.22,47.06,39.22","39.22,49.02,47.06","64.22,72.06,66.18"
intphys2__backbone_sweep__v_jepa_2_1__vit_g_16__temporal_attn__layer_30,IntPhys2,backbone_sweep,V-JEPA 2.1,ViT-G/16,Attentive,30,3,"42,101,102",55.56,6.30,56.21,5.66,74.35,1.23,74.67,1.42,52.94,57.84,4.90,"52.94,52.94,62.75","52.94,50.98,62.75","73.04,75.49,75.49"
intphys2__backbone_sweep__v_jepa_2_1__vit_g_16__temporal_attn__layer_40,IntPhys2,backbone_sweep,V-JEPA 2.1,ViT-G/16,Attentive,40,3,"42,101,102",64.71,3.92,65.36,4.08,75.98,1.30,77.12,2.32,60.78,67.65,6.86,"60.78,66.67,68.63","60.78,68.63,64.71","74.51,77.94,78.92"
intphys2__backbone_sweep__videomae_v2__vit_b_16__temporal_attn__layer_3,IntPhys2,backbone_sweep,VideoMAE-v2,ViT-B/16,Attentive,3,3,"42,101,102",10.46,6.30,13.73,5.19,48.86,3.19,49.67,0.57,17.65,11.76,-5.88,"17.65,7.84,15.69","17.65,7.84,5.88","49.02,50.00,50.00"
intphys2__backbone_sweep__videomae_v2__vit_b_16__temporal_attn__layer_6,IntPhys2,backbone_sweep,VideoMAE-v2,ViT-B/16,Attentive,6,3,"42,101,102",35.29,20.75,45.75,4.53,60.29,9.00,65.36,2.70,43.14,47.06,3.92,"43.14,43.14,50.98","43.14,11.76,50.98","66.67,67.16,62.25"
