cid,dataset,experiment,model,backbone,layer,seed42,old101,old102,new101,new102,old_std,new_std,delta_std,old_diff_from42,new_diff_from42,new101_nan,new102_nan,new101_best,new102_best,new101_first_nan,new102_first_nan,new101_best_before_nan,new102_best_before_nan,lr101,lr102
intphys2__backbone_sweep__v_jepa_2_1__vit_b_16__temporal_attn__layer_3,IntPhys2,backbone_sweep,V-JEPA 2.1,ViT-B/16,3,11.76470588235294,7.8431372549019605,23.52941176470588,7.8431372549019605,13.725490196078432,8.163396076337774,2.995147513043033,-5.168248563294741,3.9215686274509807,-0.9803921568627434,0,0,4.0,40.0,,,,,1e-4,1e-4
intphys2__backbone_sweep__v_jepa_2_1__vit_b_16__temporal_attn__layer_6,IntPhys2,backbone_sweep,V-JEPA 2.1,ViT-B/16,6,19.6078431372549,19.607843137254903,13.725490196078432,19.607843137254903,11.76470588235294,3.3961780540566213,4.52823740540883,1.1320593513522086,-2.941176470588232,-3.921568627450977,0,0,5.0,33.0,,,,,1e-4,1e-4
intphys2__backbone_sweep__v_jepa_2_1__vit_b_16__temporal_attn__layer_9,IntPhys2,backbone_sweep,V-JEPA 2.1,ViT-B/16,9,58.82352941176471,13.725490196078432,23.52941176470588,54.90196078431373,52.94117647058824,23.719277531534715,2.9951475130430327,-20.72413001849168,-40.196078431372555,-4.901960784313729,0,0,43.0,31.0,,,,,5e-5,5e-5
intphys2__backbone_sweep__v_jepa_2_1__vit_b_16__temporal_attn__layer_12,IntPhys2,backbone_sweep,V-JEPA 2.1,ViT-B/16,12,56.86274509803921,56.86274509803921,49.01960784313725,56.86274509803921,43.13725490196079,4.52823740540883,7.924415459465448,3.3961780540566178,-3.9215686274509807,-6.862745098039213,0,0,24.0,4.0,,,,,1e-4,1e-4
intphys2__backbone_sweep__v_jepa_2_1__vit_g_16__temporal_attn__layer_10,IntPhys2,backbone_sweep,V-JEPA 2.1,ViT-G/16,10,19.6078431372549,21.568627450980394,19.607843137254903,19.607843137254903,33.33333333333333,1.1320593513522084,7.9244154594654495,6.792356108113241,0.9803921568627487,6.862745098039216,0,0,16.0,53.0,,,,,1e-4,1e-4
intphys2__backbone_sweep__v_jepa_2_1__vit_g_16__temporal_attn__layer_20,IntPhys2,backbone_sweep,V-JEPA 2.1,ViT-G/16,20,39.21568627450981,49.01960784313725,47.05882352941176,47.05882352941176,39.21568627450981,5.1877476687540955,4.528237405408826,-0.6595102633452692,8.823529411764696,3.9215686274509807,0,0,4.0,2.0,,,,,5e-5,5e-5
intphys2__backbone_sweep__v_jepa_2_1__vit_g_16__temporal_attn__layer_30,IntPhys2,backbone_sweep,V-JEPA 2.1,ViT-G/16,30,52.94117647058824,50.98039215686274,62.745098039215684,52.94117647058824,62.745098039215684,6.30303971306729,5.660296756761033,-0.6427429563062566,3.9215686274509736,4.901960784313722,0,0,30.0,89.0,,,,,5e-5,5e-5
intphys2__backbone_sweep__v_jepa_2_1__vit_g_16__temporal_attn__layer_40,IntPhys2,backbone_sweep,V-JEPA 2.1,ViT-G/16,40,60.78431372549019,68.62745098039215,64.70588235294117,66.66666666666666,68.62745098039215,3.9215686274509807,4.081698038168887,0.16012941071790632,5.882352941176464,6.862745098039213,0,0,28.0,23.0,,,,,1e-4,1e-4
intphys2__backbone_sweep__videomae_v2__vit_b_16__temporal_attn__layer_3,IntPhys2,backbone_sweep,VideoMAE-v2,ViT-B/16,3,17.64705882352941,7.8431372549019605,5.88235294117647,7.8431372549019605,15.686274509803921,6.30303971306729,5.187747668754098,-1.1152920443131915,-10.784313725490193,-5.882352941176469,0,37,4.0,5.0,,9,,True,5e-4,5e-4
intphys2__backbone_sweep__videomae_v2__vit_b_16__temporal_attn__layer_6,IntPhys2,backbone_sweep,VideoMAE-v2,ViT-B/16,6,43.13725490196079,11.76470588235294,50.98039215686274,43.13725490196079,50.98039215686274,20.750990675016396,4.528237405408826,-16.22275326960757,-11.764705882352946,3.9215686274509807,0,0,30.0,6.0,,,,,5e-5,5e-5
