run_set,source_summary_csv,config_id,dataset,dataset_hydra,experiment,model,backbone,probe,probe_hydra,layer,layer_label,n_seeds,seeds,test_primary_mean,test_primary_std,test_accuracy_mean,test_accuracy_std,val_primary_mean,val_primary_std,val_accuracy_mean,val_accuracy_std,train_primary_mean,train_primary_std,train_accuracy_mean,train_accuracy_std,complete,missing_seeds,notes
main_linear_mlp,results/seed_runs/layerwise_seed_summary.csv,intphys2__jepa_v1__linear__layer_16,IntPhys2,intphys2,main,V-JEPA,ViT-H/16,Linear,linear,16,Layer 0.5,3,"42,101,102",37.254902,0,58.823529,1.296937,47.058824,0,60.620915,0.56603,59.8234,2.023212,74.503311,0.758704,true,,
main_linear_mlp,results/seed_runs/layerwise_seed_summary.csv,intphys2__jepa_v1__linear__layer_24,IntPhys2,intphys2,main,V-JEPA,ViT-H/16,Linear,linear,24,Layer 0.75,3,"42,101,102",47.712418,4.081698,60.130719,1.020425,45.098039,3.396178,63.562091,1.020424,61.589404,1.324503,68.487859,1.102372,true,,
main_linear_mlp,results/seed_runs/layerwise_seed_summary.csv,intphys2__jepa_v1__linear__layer_32,IntPhys2,intphys2,main,V-JEPA,ViT-H/16,Linear,linear,32,Final layer,3,"42,101,102",48.366013,1.132059,62.091503,0.283015,47.058824,1.960785,63.72549,0.490196,64.459161,1.011606,77.207506,0.78242,true,,
main_linear_mlp,results/seed_runs/layerwise_seed_summary.csv,intphys2__jepa_v1__linear__layer_8,IntPhys2,intphys2,main,V-JEPA,ViT-H/16,Linear,linear,8,Layer 0.25,3,"42,101,102",16.339869,4.528237,50.816993,1.233633,16.993464,7.42341,54.084968,0.283015,20.750552,2.128841,51.545254,0.669114,true,,
main_linear_mlp,results/seed_runs/layerwise_seed_summary.csv,intphys2__jepa_v1__mlp__layer_16,IntPhys2,intphys2,main,V-JEPA,ViT-H/16,MLP,mlp,16,Layer 0.5,3,"42,101,102",43.137255,1.960784,62.908497,2.040849,43.137255,3.396178,62.908497,0.56603,98.233996,3.058809,97.737307,3.098873,true,,
main_linear_mlp,results/seed_runs/layerwise_seed_summary.csv,intphys2__jepa_v1__mlp__layer_24,IntPhys2,intphys2,main,V-JEPA,ViT-H/16,MLP,mlp,24,Layer 0.75,3,"42,101,102",45.751634,1.13206,61.111111,2.995148,53.594771,2.995148,63.72549,0.490196,62.030905,1.378587,68.046358,2.735548,true,,
main_linear_mlp,results/seed_runs/layerwise_seed_summary.csv,intphys2__jepa_v1__mlp__layer_32,IntPhys2,intphys2,main,V-JEPA,ViT-H/16,MLP,mlp,32,Final layer,3,"42,101,102",45.098039,1.960785,64.052288,1.981104,52.941177,3.396178,71.732026,0.748787,100,0,99.558499,0.416658,true,,
main_linear_mlp,results/seed_runs/layerwise_seed_summary.csv,intphys2__jepa_v1__mlp__layer_8,IntPhys2,intphys2,main,V-JEPA,ViT-H/16,MLP,mlp,8,Layer 0.25,3,"42,101,102",20.261438,4.081698,51.470588,0.980392,18.300653,5.660296,51.633987,0.56603,31.125828,1.986755,51.710817,0.78242,true,,
main_linear_mlp,results/seed_runs/layerwise_seed_summary.csv,intphys2__jepa_v2_1__linear__layer_12,IntPhys2,intphys2,main,V-JEPA 2.1,ViT-Gigantic/16,Linear,linear,12,Layer 0.25,3,"42,101,102",24.183007,1.132059,55.06536,1.020424,28.75817,2.264119,54.901961,0,28.256071,2.325751,54.415011,2.457554,true,,
main_linear_mlp,results/seed_runs/layerwise_seed_summary.csv,intphys2__jepa_v2_1__linear__layer_24,IntPhys2,intphys2,main,V-JEPA 2.1,ViT-Gigantic/16,Linear,linear,24,Layer 0.5,3,"42,101,102",20.261438,2.995148,55.228758,0.283015,20.915033,2.995147,55.555556,0.56603,37.527594,0.764702,57.284768,0.86029,true,,
