config_id,run_id,dataset,dataset_hydra,experiment,model,backbone,probe,probe_hydra,layer,layer_label,seed,source,status,objective_metric_name,primary_metric_name,train_primary,train_accuracy,val_primary,val_accuracy,test_primary,test_accuracy,n_epochs,expected_epochs,early_stopped,expected_early_stopping,artifact_train_eval_summary,artifact_probe_eval_dir,source_csv_path,source_csv_line_number,source_excel_workbook,source_excel_sheet,source_excel_range,notes
intphys2__main__v_jepa__vit_h_16__temporal_attn__layer_8,intphys2__main__v_jepa__vit_h_16__temporal_attn__layer_8__seed_42,IntPhys2,intphys2,main,V-JEPA,ViT-H/16,Attentive,temporal_attn,8,8,42,source_csv,complete,voe_accuracy,voe_accuracy,15.89404,50.993377,19.607843,53.921569,9.803922,46.078431,,90,,true,,,results/verified_layerwise_probe_configs.csv,22,intphys_primary_db.xlsx,V-JEPA,N11:X11,seed 42 read from source CSV metrics
intphys2__main__v_jepa__vit_h_16__temporal_attn__layer_16,intphys2__main__v_jepa__vit_h_16__temporal_attn__layer_16__seed_42,IntPhys2,intphys2,main,V-JEPA,ViT-H/16,Attentive,temporal_attn,16,16,42,source_csv,complete,voe_accuracy,voe_accuracy,100,97.350993,66.666667,78.921569,66.666667,78.921569,,90,,true,,,results/verified_layerwise_probe_configs.csv,23,intphys_primary_db.xlsx,V-JEPA,N12:X12,seed 42 read from source CSV metrics
intphys2__main__v_jepa__vit_h_16__temporal_attn__layer_24,intphys2__main__v_jepa__vit_h_16__temporal_attn__layer_24__seed_42,IntPhys2,intphys2,main,V-JEPA,ViT-H/16,Attentive,temporal_attn,24,24,42,source_csv,complete,voe_accuracy,voe_accuracy,69.536424,81.953642,54.901961,75.980392,64.705882,75.490196,,90,,true,,,results/verified_layerwise_probe_configs.csv,24,intphys_primary_db.xlsx,V-JEPA,N13:X13,seed 42 read from source CSV metrics
intphys2__main__v_jepa__vit_h_16__temporal_attn__layer_32,intphys2__main__v_jepa__vit_h_16__temporal_attn__layer_32__seed_42,IntPhys2,intphys2,main,V-JEPA,ViT-H/16,Attentive,temporal_attn,32,32,42,source_csv,complete,voe_accuracy,voe_accuracy,78.807947,83.609272,56.862745,72.54902,52.941176,72.058824,,90,,true,,,results/verified_layerwise_probe_configs.csv,25,intphys_primary_db.xlsx,V-JEPA,N14:X14,seed 42 read from source CSV metrics
intphys2__main__v_jepa_2__vit_g_16__temporal_attn__layer_10,intphys2__main__v_jepa_2__vit_g_16__temporal_attn__layer_10__seed_42,IntPhys2,intphys2,main,V-JEPA 2,ViT-G/16,Attentive,temporal_attn,10,10,42,source_csv,complete,voe_accuracy,voe_accuracy,19.205298,49.834437,11.764706,50.980392,1.960784,50.490196,,90,,true,,,results/verified_layerwise_probe_configs.csv,46,intphys_primary_db.xlsx,V-JEPA 2,N11:X11,seed 42 read from source CSV metrics
intphys2__main__v_jepa_2__vit_g_16__temporal_attn__layer_20,intphys2__main__v_jepa_2__vit_g_16__temporal_attn__layer_20__seed_42,IntPhys2,intphys2,main,V-JEPA 2,ViT-G/16,Attentive,temporal_attn,20,20,42,source_csv,complete,voe_accuracy,voe_accuracy,19.205298,50,21.568627,52.45098,9.803922,49.509804,,90,,true,,,results/verified_layerwise_probe_configs.csv,47,intphys_primary_db.xlsx,V-JEPA 2,N12:X12,seed 42 read from source CSV metrics
intphys2__main__v_jepa_2__vit_g_16__temporal_attn__layer_30,intphys2__main__v_jepa_2__vit_g_16__temporal_attn__layer_30__seed_42,IntPhys2,intphys2,main,V-JEPA 2,ViT-G/16,Attentive,temporal_attn,30,30,42,source_csv,complete,voe_accuracy,voe_accuracy,97.350993,96.523179,58.823529,79.411765,56.862745,74.019608,,90,,true,,,results/verified_layerwise_probe_configs.csv,48,intphys_primary_db.xlsx,V-JEPA 2,N13:X13,seed 42 read from source CSV metrics
intphys2__main__v_jepa_2__vit_g_16__temporal_attn__layer_40,intphys2__main__v_jepa_2__vit_g_16__temporal_attn__layer_40__seed_42,IntPhys2,intphys2,main,V-JEPA 2,ViT-G/16,Attentive,temporal_attn,40,40,42,source_csv,complete,voe_accuracy,voe_accuracy,99.337748,99.172185,64.705882,76.960784,78.431373,82.843137,,90,,true,,,results/verified_layerwise_probe_configs.csv,49,intphys_primary_db.xlsx,V-JEPA 2,N14:X14,seed 42 read from source CSV metrics
intphys2__main__v_jepa_2_1__vit_gigantic_16__temporal_attn__layer_12,intphys2__main__v_jepa_2_1__vit_gigantic_16__temporal_attn__layer_12__seed_42,IntPhys2,intphys2,main,V-JEPA 2.1,ViT-Gigantic/16,Attentive,temporal_attn,12,12,42,source_csv,complete,voe_accuracy,voe_accuracy,33.112583,58.443709,23.529412,54.901961,23.529412,55.882353,,90,,true,,,results/verified_layerwise_probe_configs.csv,94,intphys_primary_db.xlsx,V-JEPA 2.1,AN11:AX11,seed 42 read from source CSV metrics
intphys2__main__v_jepa_2_1__vit_gigantic_16__temporal_attn__layer_24,intphys2__main__v_jepa_2_1__vit_gigantic_16__temporal_attn__layer_24__seed_42,IntPhys2,intphys2,main,V-JEPA 2.1,ViT-Gigantic/16,Attentive,temporal_attn,24,24,42,source_csv,complete,voe_accuracy,voe_accuracy,100,98.013245,54.901961,70.098039,50.980392,60.784314,,90,,true,,,results/verified_layerwise_probe_configs.csv,95,intphys_primary_db.xlsx,V-JEPA 2.1,AN12:AX12,seed 42 read from source CSV metrics
