config_id,dataset,dataset_hydra,experiment,model,backbone,probe,probe_hydra,layer,layer_label,n_seeds,seeds,test_primary_mean,test_primary_std,test_accuracy_mean,test_accuracy_std,val_primary_mean,val_primary_std,val_accuracy_mean,val_accuracy_std,train_primary_mean,train_primary_std,train_accuracy_mean,train_accuracy_std,complete,missing_seeds,notes
intphys2__main__v_jepa_2_1__vit_gigantic_16__temporal_attn__layer_12,IntPhys2,intphys2,main,V-JEPA 2.1,ViT-Gigantic/16,Attentive,temporal_attn,12,12,3,"42,101,102",20.261438,4.081698,55.392157,0.849044,19.607843,3.396178,54.738562,0.748787,27.81457,7.521733,56.015453,2.893011,true,,
intphys2__main__v_jepa_2_1__vit_gigantic_16__temporal_attn__layer_24,IntPhys2,intphys2,main,V-JEPA 2.1,ViT-Gigantic/16,Attentive,temporal_attn,24,24,3,"42,101,102",50.980392,1.960784,66.339869,5.030982,52.941177,3.396178,69.444444,1.132059,94.701987,4.775565,93.432671,4.267329,true,,
intphys2__main__v_jepa_2_1__vit_gigantic_16__temporal_attn__layer_38,IntPhys2,intphys2,main,V-JEPA 2.1,ViT-Gigantic/16,Attentive,temporal_attn,38,38,3,"42,101,102",59.477124,7.924415,73.366013,3.613291,59.477124,6.886049,75.653595,2.872287,80.794702,19.205298,86.754967,11.880221,true,,
intphys2__main__v_jepa_2_1__vit_gigantic_16__temporal_attn__layer_48,IntPhys2,intphys2,main,V-JEPA 2.1,ViT-Gigantic/16,Attentive,temporal_attn,48,48,3,"42,101,102",54.901961,5.187748,72.54902,0.980393,56.862745,3.396178,73.856209,1.721512,83.88521,14.162485,85.430464,9.198805,true,,
intphys2__main__v_jepa_2__vit_g_16__temporal_attn__layer_10,IntPhys2,intphys2,main,V-JEPA 2,ViT-G/16,Attentive,temporal_attn,10,10,3,"42,101,102",7.843137,5.882353,50.326797,0.283015,11.764706,1.960784,50.653595,0.283015,13.245033,7.163347,50,0.286764,true,,
intphys2__main__v_jepa_2__vit_g_16__temporal_attn__layer_20,IntPhys2,intphys2,main,V-JEPA 2,ViT-G/16,Attentive,temporal_attn,20,20,3,"42,101,102",12.418301,2.995148,49.673203,0.283015,13.071895,8.841666,51.470588,0.849044,17.218543,2.387783,49.944812,0.095588,true,,
intphys2__main__v_jepa_2__vit_g_16__temporal_attn__layer_30,IntPhys2,intphys2,main,V-JEPA 2,ViT-G/16,Attentive,temporal_attn,30,30,3,"42,101,102",52.941176,3.396178,73.039216,0.980392,61.437908,4.528238,76.960784,2.246361,90.949227,12.847227,90.452539,7.582227,true,,
intphys2__main__v_jepa_2__vit_g_16__temporal_attn__layer_40,IntPhys2,intphys2,main,V-JEPA 2,ViT-G/16,Attentive,temporal_attn,40,40,3,"42,101,102",64.705883,12.245094,78.267974,5.241508,59.477124,4.934532,76.797386,2.69979,93.598234,10.51987,95.695364,6.751639,true,,
intphys2__main__v_jepa__vit_h_16__temporal_attn__layer_16,IntPhys2,intphys2,main,V-JEPA,ViT-H/16,Attentive,temporal_attn,16,16,3,"42,101,102",60.130719,5.660297,77.777778,2.41808,62.745098,5.187748,78.594771,0.56603,94.922737,4.69841,94.370861,2.602025,true,,
intphys2__main__v_jepa__vit_h_16__temporal_attn__layer_24,IntPhys2,intphys2,main,V-JEPA,ViT-H/16,Attentive,temporal_attn,24,24,3,"42,101,102",62.745098,1.960784,75.980392,2.729296,60.130719,4.528237,77.124183,1.57576,89.183223,17.017849,92.108168,8.980676,true,,
intphys2__main__v_jepa__vit_h_16__temporal_attn__layer_32,IntPhys2,intphys2,main,V-JEPA,ViT-H/16,Attentive,temporal_attn,32,32,3,"42,101,102",52.941176,0,71.732026,1.497574,57.51634,2.995148,72.875817,1.020424,70.419426,7.294795,80.353201,3.151499,true,,
intphys2__main__v_jepa__vit_h_16__temporal_attn__layer_8,IntPhys2,intphys2,main,V-JEPA,ViT-H/16,Attentive,temporal_attn,8,8,3,"42,101,102",13.071896,2.995147,48.366013,2.040849,14.379085,4.528237,55.06536,1.57576,16.777042,2.757174,50.662252,0.286763,true,,
