config_id,run_id,dataset,dataset_hydra,experiment,model,backbone,probe,probe_hydra,layer,layer_label,seed,source,status,objective_metric_name,primary_metric_name,train_primary,train_accuracy,val_primary,val_accuracy,test_primary,test_accuracy,n_epochs,expected_epochs,early_stopped,expected_early_stopping,artifact_train_eval_summary,artifact_probe_eval_dir,source_csv_path,source_csv_line_number,source_excel_workbook,source_excel_sheet,source_excel_range,notes
intphys2__backbone_sweep__v_jepa_2_1__vit_b_16__temporal_attn__layer_3,intphys2__backbone_sweep__v_jepa_2_1__vit_b_16__temporal_attn__layer_3__seed_42,IntPhys2,intphys2,backbone_sweep,V-JEPA 2.1,ViT-B/16,Attentive,temporal_attn,3,3,42,source_csv,complete,voe_accuracy,voe_accuracy,19.205298,50,13.72549,50,11.764706,50,,90,,true,,,results/verified_layerwise_probe_configs.csv,58,intphys_primary_db.xlsx,V-JEPA 2.1,A11:K11,seed 42 read from source CSV metrics
intphys2__backbone_sweep__v_jepa_2_1__vit_b_16__temporal_attn__layer_6,intphys2__backbone_sweep__v_jepa_2_1__vit_b_16__temporal_attn__layer_6__seed_42,IntPhys2,intphys2,backbone_sweep,V-JEPA 2.1,ViT-B/16,Attentive,temporal_attn,6,6,42,source_csv,complete,voe_accuracy,voe_accuracy,15.231788,50.662252,19.607843,51.960784,19.607843,50,,90,,true,,,results/verified_layerwise_probe_configs.csv,59,intphys_primary_db.xlsx,V-JEPA 2.1,A12:K12,seed 42 read from source CSV metrics
intphys2__backbone_sweep__v_jepa_2_1__vit_b_16__temporal_attn__layer_9,intphys2__backbone_sweep__v_jepa_2_1__vit_b_16__temporal_attn__layer_9__seed_42,IntPhys2,intphys2,backbone_sweep,V-JEPA 2.1,ViT-B/16,Attentive,temporal_attn,9,9,42,source_csv,complete,voe_accuracy,voe_accuracy,100,96.02649,56.862745,76.470588,58.823529,74.019608,,90,,true,,,results/verified_layerwise_probe_configs.csv,60,intphys_primary_db.xlsx,V-JEPA 2.1,A13:K13,seed 42 read from source CSV metrics
intphys2__backbone_sweep__v_jepa_2_1__vit_b_16__temporal_attn__layer_12,intphys2__backbone_sweep__v_jepa_2_1__vit_b_16__temporal_attn__layer_12__seed_42,IntPhys2,intphys2,backbone_sweep,V-JEPA 2.1,ViT-B/16,Attentive,temporal_attn,12,12,42,source_csv,complete,voe_accuracy,voe_accuracy,98.675497,97.682119,64.705882,74.019608,56.862745,74.509804,,90,,true,,,results/verified_layerwise_probe_configs.csv,61,intphys_primary_db.xlsx,V-JEPA 2.1,A14:K14,seed 42 read from source CSV metrics
intphys2__backbone_sweep__v_jepa_2_1__vit_g_16__temporal_attn__layer_10,intphys2__backbone_sweep__v_jepa_2_1__vit_g_16__temporal_attn__layer_10__seed_42,IntPhys2,intphys2,backbone_sweep,V-JEPA 2.1,ViT-G/16,Attentive,temporal_attn,10,10,42,source_csv,complete,voe_accuracy,voe_accuracy,21.854305,53.476821,19.607843,54.411765,19.607843,56.862745,,90,,true,,,results/verified_layerwise_probe_configs.csv,82,intphys_primary_db.xlsx,V-JEPA 2.1,AA11:AK11,seed 42 read from source CSV metrics
intphys2__backbone_sweep__v_jepa_2_1__vit_g_16__temporal_attn__layer_20,intphys2__backbone_sweep__v_jepa_2_1__vit_g_16__temporal_attn__layer_20__seed_42,IntPhys2,intphys2,backbone_sweep,V-JEPA 2.1,ViT-G/16,Attentive,temporal_attn,20,20,42,source_csv,complete,voe_accuracy,voe_accuracy,97.350993,94.86755,41.176471,69.117647,39.215686,64.215686,,90,,true,,,results/verified_layerwise_probe_configs.csv,83,intphys_primary_db.xlsx,V-JEPA 2.1,AA12:AK12,seed 42 read from source CSV metrics
intphys2__backbone_sweep__v_jepa_2_1__vit_g_16__temporal_attn__layer_30,intphys2__backbone_sweep__v_jepa_2_1__vit_g_16__temporal_attn__layer_30__seed_42,IntPhys2,intphys2,backbone_sweep,V-JEPA 2.1,ViT-G/16,Attentive,temporal_attn,30,30,42,source_csv,complete,voe_accuracy,voe_accuracy,94.039735,93.046358,54.901961,75,52.941176,73.039216,,90,,true,,,results/verified_layerwise_probe_configs.csv,84,intphys_primary_db.xlsx,V-JEPA 2.1,AA13:AK13,seed 42 read from source CSV metrics
intphys2__backbone_sweep__v_jepa_2_1__vit_g_16__temporal_attn__layer_40,intphys2__backbone_sweep__v_jepa_2_1__vit_g_16__temporal_attn__layer_40__seed_42,IntPhys2,intphys2,backbone_sweep,V-JEPA 2.1,ViT-G/16,Attentive,temporal_attn,40,40,42,source_csv,complete,voe_accuracy,voe_accuracy,98.675497,96.854305,64.705882,76.470588,60.784314,74.509804,,90,,true,,,results/verified_layerwise_probe_configs.csv,85,intphys_primary_db.xlsx,V-JEPA 2.1,AA14:AK14,seed 42 read from source CSV metrics
intphys2__backbone_sweep__videomae_v2__vit_b_16__temporal_attn__layer_3,intphys2__backbone_sweep__videomae_v2__vit_b_16__temporal_attn__layer_3__seed_42,IntPhys2,intphys2,backbone_sweep,VideoMAE-v2,ViT-B/16,Attentive,temporal_attn,3,3,42,source_csv,complete,voe_accuracy,voe_accuracy,17.880795,50.331126,19.607843,52.941176,17.647059,49.019608,,90,,true,,,results/verified_layerwise_probe_configs.csv,130,intphys_primary_db.xlsx,VideoMAE-v2,A11:K11,seed 42 read from source CSV metrics
intphys2__backbone_sweep__videomae_v2__vit_b_16__temporal_attn__layer_6,intphys2__backbone_sweep__videomae_v2__vit_b_16__temporal_attn__layer_6__seed_42,IntPhys2,intphys2,backbone_sweep,VideoMAE-v2,ViT-B/16,Attentive,temporal_attn,6,6,42,source_csv,complete,voe_accuracy,voe_accuracy,57.615894,72.350993,47.058824,65.686275,43.137255,66.666667,,90,,true,,,results/verified_layerwise_probe_configs.csv,131,intphys_primary_db.xlsx,VideoMAE-v2,A12:K12,seed 42 read from source CSV metrics
