config_id,dataset,dataset_hydra,experiment,model,backbone,probe,probe_hydra,layer,layer_label,n_seeds,seeds,test_primary_mean,test_primary_std,test_accuracy_mean,test_accuracy_std,val_primary_mean,val_primary_std,val_accuracy_mean,val_accuracy_std,train_primary_mean,train_primary_std,train_accuracy_mean,train_accuracy_std,complete,missing_seeds,notes
intphys2__backbone_sweep__v_jepa_2_1__vit_b_16__temporal_attn__layer_12,IntPhys2,intphys2,backbone_sweep,V-JEPA 2.1,ViT-B/16,Attentive,temporal_attn,12,12,3,"42,101,102",54.248366,4.528237,71.24183,3.443024,58.169934,11.320593,72.54902,2.981746,89.624724,12.915322,91.721854,7.279121,true,,
intphys2__backbone_sweep__v_jepa_2_1__vit_b_16__temporal_attn__layer_3,IntPhys2,intphys2,backbone_sweep,V-JEPA 2.1,ViT-B/16,Attentive,temporal_attn,3,3,3,"42,101,102",14.379085,8.163396,50.163399,0.283015,11.764706,3.396178,50.490196,0.490196,17.218543,3.441161,50.386313,0.669114,true,,
intphys2__backbone_sweep__v_jepa_2_1__vit_b_16__temporal_attn__layer_6,IntPhys2,intphys2,backbone_sweep,V-JEPA 2.1,ViT-B/16,Attentive,temporal_attn,6,6,3,"42,101,102",17.647059,3.396178,49.673203,0.56603,17.647059,1.960784,51.307189,0.748787,18.101545,5.553972,50.055188,0.532211,true,,
intphys2__backbone_sweep__v_jepa_2_1__vit_b_16__temporal_attn__layer_9,IntPhys2,intphys2,backbone_sweep,V-JEPA 2.1,ViT-B/16,Attentive,temporal_attn,9,9,3,"42,101,102",32.026144,23.719277,57.843137,14.011378,33.333333,21.83437,60.130719,14.15923,52.759382,41.253193,65.783665,26.191578,true,,
intphys2__backbone_sweep__v_jepa_2_1__vit_g_16__temporal_attn__layer_10,IntPhys2,intphys2,backbone_sweep,V-JEPA 2.1,ViT-G/16,Attentive,temporal_attn,10,10,3,"42,101,102",20.261438,1.132059,56.535948,1.497574,16.993464,2.264118,54.084968,0.56603,19.205298,3.034818,52.980132,0.496689,true,,
intphys2__backbone_sweep__v_jepa_2_1__vit_g_16__temporal_attn__layer_20,IntPhys2,intphys2,backbone_sweep,V-JEPA 2.1,ViT-G/16,Attentive,temporal_attn,20,20,3,"42,101,102",45.098039,5.187748,67.48366,2.995148,46.405229,4.934532,69.281046,0.283015,85.430463,17.85625,86.368653,9.266102,true,,
intphys2__backbone_sweep__v_jepa_2_1__vit_g_16__temporal_attn__layer_30,IntPhys2,intphys2,backbone_sweep,V-JEPA 2.1,ViT-G/16,Attentive,temporal_attn,30,30,3,"42,101,102",55.555555,6.30304,74.346405,1.233633,56.862745,1.960784,76.633987,1.721512,91.832229,6.892934,91.280353,6.635611,true,,
intphys2__backbone_sweep__v_jepa_2_1__vit_g_16__temporal_attn__layer_40,IntPhys2,intphys2,backbone_sweep,V-JEPA 2.1,ViT-G/16,Attentive,temporal_attn,40,40,3,"42,101,102",64.705882,3.921569,75.980392,1.296937,60.130719,7.924415,74.509804,2.981746,90.066225,12.686917,90.397351,7.006657,true,,
intphys2__backbone_sweep__videomae_v2__vit_b_16__temporal_attn__layer_12,IntPhys2,intphys2,backbone_sweep,VideoMAE-v2,ViT-B/16,Attentive,temporal_attn,12,12,3,"42,101,102",38.562092,4.081698,60.620915,1.855852,45.098039,1.960785,65.03268,0.748787,96.02649,6.882321,95.033113,5.25646,true,,
intphys2__backbone_sweep__videomae_v2__vit_b_16__temporal_attn__layer_3,IntPhys2,intphys2,backbone_sweep,VideoMAE-v2,ViT-B/16,Attentive,temporal_attn,3,3,3,"42,101,102",10.457516,6.30304,48.856209,3.189415,16.993464,2.264118,53.431372,0.849045,17.218543,2.387783,50,1.03394,true,,
