config_id,run_id,dataset,dataset_hydra,experiment,model,backbone,probe,probe_hydra,layer,layer_label,seed,source,status,objective_metric_name,primary_metric_name,train_primary,train_accuracy,val_primary,val_accuracy,test_primary,test_accuracy,n_epochs,expected_epochs,early_stopped,expected_early_stopping,artifact_train_eval_summary,artifact_probe_eval_dir,source_csv_path,source_csv_line_number,source_excel_workbook,source_excel_sheet,source_excel_range,notes
intphys2__backbone_sweep__jepa_v2_1__vitb_384__linear__layer_3,intphys2__backbone_sweep__jepa_v2_1__vitb_384__linear__layer_3__seed_42,IntPhys2,intphys2,backbone_sweep,V-JEPA 2.1,ViT-B/16,Linear,linear,3,3,42,source_csv,complete,voe_accuracy,voe_accuracy,22.516556,51.490066,23.529412,53.921569,11.764706,49.509804,,50,,false,,,results/verified_layerwise_probe_configs.csv,50,intphys_primary_db.xlsx,V-JEPA 2.1,A3:K3,seed 42 read from source CSV metrics
intphys2__backbone_sweep__jepa_v2_1__vitb_384__linear__layer_6,intphys2__backbone_sweep__jepa_v2_1__vitb_384__linear__layer_6__seed_42,IntPhys2,intphys2,backbone_sweep,V-JEPA 2.1,ViT-B/16,Linear,linear,6,6,42,source_csv,complete,voe_accuracy,voe_accuracy,49.006623,56.291391,27.45098,56.372549,29.411765,54.411765,,1000,,false,,,results/verified_layerwise_probe_configs.csv,51,intphys_primary_db.xlsx,V-JEPA 2.1,A4:K4,seed 42 read from source CSV metrics
intphys2__backbone_sweep__jepa_v2_1__vitb_384__linear__layer_9,intphys2__backbone_sweep__jepa_v2_1__vitb_384__linear__layer_9__seed_42,IntPhys2,intphys2,backbone_sweep,V-JEPA 2.1,ViT-B/16,Linear,linear,9,9,42,source_csv,complete,voe_accuracy,voe_accuracy,45.695364,53.642384,45.098039,52.45098,15.686275,51.960784,,20,,false,,,results/verified_layerwise_probe_configs.csv,52,intphys_primary_db.xlsx,V-JEPA 2.1,A5:K5,seed 42 read from source CSV metrics
intphys2__backbone_sweep__jepa_v2_1__vitb_384__linear__layer_12,intphys2__backbone_sweep__jepa_v2_1__vitb_384__linear__layer_12__seed_42,IntPhys2,intphys2,backbone_sweep,V-JEPA 2.1,ViT-B/16,Linear,linear,12,12,42,source_csv,complete,voe_accuracy,voe_accuracy,50.331126,64.900662,41.176471,61.27451,39.215686,56.862745,,2000,,false,,,results/verified_layerwise_probe_configs.csv,53,intphys_primary_db.xlsx,V-JEPA 2.1,A6:K6,seed 42 read from source CSV metrics
intphys2__backbone_sweep__jepa_v2_1__vitb_384__mlp__layer_3,intphys2__backbone_sweep__jepa_v2_1__vitb_384__mlp__layer_3__seed_42,IntPhys2,intphys2,backbone_sweep,V-JEPA 2.1,ViT-B/16,MLP,mlp,3,3,42,source_csv,complete,voe_accuracy,voe_accuracy,94.039735,96.02649,19.607843,57.843137,25.490196,56.862745,,2000,,false,,,results/verified_layerwise_probe_configs.csv,54,intphys_primary_db.xlsx,V-JEPA 2.1,A7:K7,seed 42 read from source CSV metrics
intphys2__backbone_sweep__jepa_v2_1__vitb_384__mlp__layer_6,intphys2__backbone_sweep__jepa_v2_1__vitb_384__mlp__layer_6__seed_42,IntPhys2,intphys2,backbone_sweep,V-JEPA 2.1,ViT-B/16,MLP,mlp,6,6,42,source_csv,complete,voe_accuracy,voe_accuracy,47.682119,54.139073,27.45098,51.470588,25.490196,50.980392,,50,,false,,,results/verified_layerwise_probe_configs.csv,55,intphys_primary_db.xlsx,V-JEPA 2.1,A8:K8,seed 42 read from source CSV metrics
intphys2__backbone_sweep__jepa_v2_1__vitb_384__mlp__layer_9,intphys2__backbone_sweep__jepa_v2_1__vitb_384__mlp__layer_9__seed_42,IntPhys2,intphys2,backbone_sweep,V-JEPA 2.1,ViT-B/16,MLP,mlp,9,9,42,source_csv,complete,voe_accuracy,voe_accuracy,100,99.172185,45.098039,64.215686,50.980392,61.27451,,2000,,false,,,results/verified_layerwise_probe_configs.csv,56,intphys_primary_db.xlsx,V-JEPA 2.1,A9:K9,seed 42 read from source CSV metrics
intphys2__backbone_sweep__jepa_v2_1__vitb_384__mlp__layer_12,intphys2__backbone_sweep__jepa_v2_1__vitb_384__mlp__layer_12__seed_42,IntPhys2,intphys2,backbone_sweep,V-JEPA 2.1,ViT-B/16,MLP,mlp,12,12,42,source_csv,complete,voe_accuracy,voe_accuracy,98.013245,96.688742,45.098039,68.137255,50.980392,63.235294,,2000,,false,,,results/verified_layerwise_probe_configs.csv,57,intphys_primary_db.xlsx,V-JEPA 2.1,A10:K10,seed 42 read from source CSV metrics
intphys2__backbone_sweep__jepa_v2_1__vitg_384__linear__layer_10,intphys2__backbone_sweep__jepa_v2_1__vitg_384__linear__layer_10__seed_42,IntPhys2,intphys2,backbone_sweep,V-JEPA 2.1,ViT-G/16,Linear,linear,10,10,42,source_csv,complete,voe_accuracy,voe_accuracy,15.231788,54.139073,23.529412,52.45098,25.490196,54.901961,,20,,false,,,results/verified_layerwise_probe_configs.csv,74,intphys_primary_db.xlsx,V-JEPA 2.1,AA3:AK3,seed 42 read from source CSV metrics
intphys2__backbone_sweep__jepa_v2_1__vitg_384__linear__layer_20,intphys2__backbone_sweep__jepa_v2_1__vitg_384__linear__layer_20__seed_42,IntPhys2,intphys2,backbone_sweep,V-JEPA 2.1,ViT-G/16,Linear,linear,20,20,42,source_csv,complete,voe_accuracy,voe_accuracy,45.033113,61.589404,37.254902,60.294118,33.333333,55.882353,,2000,,false,,,results/verified_layerwise_probe_configs.csv,75,intphys_primary_db.xlsx,V-JEPA 2.1,AA4:AK4,seed 42 read from source CSV metrics
intphys2__backbone_sweep__jepa_v2_1__vitg_384__linear__layer_30,intphys2__backbone_sweep__jepa_v2_1__vitg_384__linear__layer_30__seed_42,IntPhys2,intphys2,backbone_sweep,V-JEPA 2.1,ViT-G/16,Linear,linear,30,30,42,source_csv,complete,voe_accuracy,voe_accuracy,59.602649,70.695364,37.254902,59.313725,33.333333,52.45098,,2000,,false,,,results/verified_layerwise_probe_configs.csv,76,intphys_primary_db.xlsx,V-JEPA 2.1,AA5:AK5,seed 42 read from source CSV metrics
intphys2__backbone_sweep__jepa_v2_1__vitg_384__linear__layer_40,intphys2__backbone_sweep__jepa_v2_1__vitg_384__linear__layer_40__seed_42,IntPhys2,intphys2,backbone_sweep,V-JEPA 2.1,ViT-G/16,Linear,linear,40,40,42,source_csv,complete,voe_accuracy,voe_accuracy,43.708609,61.092715,29.411765,58.333333,49.019608,54.901961,,2000,,false,,,results/verified_layerwise_probe_configs.csv,77,intphys_primary_db.xlsx,V-JEPA 2.1,AA6:AK6,seed 42 read from source CSV metrics
intphys2__backbone_sweep__jepa_v2_1__vitg_384__mlp__layer_10,intphys2__backbone_sweep__jepa_v2_1__vitg_384__mlp__layer_10__seed_42,IntPhys2,intphys2,backbone_sweep,V-JEPA 2.1,ViT-G/16,MLP,mlp,10,10,42,source_csv,complete,voe_accuracy,voe_accuracy,17.218543,53.145695,23.529412,52.45098,17.647059,52.941176,,50,,false,,,results/verified_layerwise_probe_configs.csv,78,intphys_primary_db.xlsx,V-JEPA 2.1,AA7:AK7,seed 42 read from source CSV metrics
intphys2__backbone_sweep__jepa_v2_1__vitg_384__mlp__layer_20,intphys2__backbone_sweep__jepa_v2_1__vitg_384__mlp__layer_20__seed_42,IntPhys2,intphys2,backbone_sweep,V-JEPA 2.1,ViT-G/16,MLP,mlp,20,20,42,source_csv,complete,voe_accuracy,voe_accuracy,100,94.701987,37.254902,62.745098,41.176471,56.862745,,2000,,false,,,results/verified_layerwise_probe_configs.csv,79,intphys_primary_db.xlsx,V-JEPA 2.1,AA8:AK8,seed 42 read from source CSV metrics
intphys2__backbone_sweep__jepa_v2_1__vitg_384__mlp__layer_30,intphys2__backbone_sweep__jepa_v2_1__vitg_384__mlp__layer_30__seed_42,IntPhys2,intphys2,backbone_sweep,V-JEPA 2.1,ViT-G/16,MLP,mlp,30,30,42,source_csv,complete,voe_accuracy,voe_accuracy,92.715232,93.377483,39.215686,63.72549,35.294118,57.352941,,2000,,false,,,results/verified_layerwise_probe_configs.csv,80,intphys_primary_db.xlsx,V-JEPA 2.1,AA9:AK9,seed 42 read from source CSV metrics
intphys2__backbone_sweep__jepa_v2_1__vitg_384__mlp__layer_40,intphys2__backbone_sweep__jepa_v2_1__vitg_384__mlp__layer_40__seed_42,IntPhys2,intphys2,backbone_sweep,V-JEPA 2.1,ViT-G/16,MLP,mlp,40,40,42,source_csv,complete,voe_accuracy,voe_accuracy,100,98.675497,31.372549,60.784314,43.137255,59.313725,,2000,,false,,,results/verified_layerwise_probe_configs.csv,81,intphys_primary_db.xlsx,V-JEPA 2.1,AA10:AK10,seed 42 read from source CSV metrics
