config_id,dataset,dataset_hydra,experiment,model,backbone,probe,probe_hydra,layer,layer_label,n_seeds,seeds,test_primary_mean,test_primary_std,test_accuracy_mean,test_accuracy_std,val_primary_mean,val_primary_std,val_accuracy_mean,val_accuracy_std,train_primary_mean,train_primary_std,train_accuracy_mean,train_accuracy_std,complete,missing_seeds,notes
intphys2__backbone_sweep__jepa_v2_1__vitb_384__linear__layer_12,IntPhys2,intphys2,backbone_sweep,V-JEPA 2.1,ViT-B/16,Linear,linear,12,12,3,"42,101,102",38.562091,1.132059,55.228758,1.415074,40.522876,1.13206,61.928105,0.748787,48.565122,2.023212,64.403973,0.721672,true,,
intphys2__backbone_sweep__jepa_v2_1__vitb_384__linear__layer_3,IntPhys2,intphys2,backbone_sweep,V-JEPA 2.1,ViT-B/16,Linear,linear,3,3,3,"42,101,102",16.993464,5.990295,50.653595,1.020424,15.03268,7.42341,53.104575,0.748787,22.737307,4.970565,51.434878,0.095588,true,,
intphys2__backbone_sweep__jepa_v2_1__vitb_384__linear__layer_6,IntPhys2,intphys2,backbone_sweep,V-JEPA 2.1,ViT-B/16,Linear,linear,6,6,3,"42,101,102",29.411765,0,53.104575,3.15152,24.836601,2.995148,55.392157,0.980392,47.461369,1.66663,57.229581,0.849603,true,,
intphys2__backbone_sweep__jepa_v2_1__vitb_384__linear__layer_9,IntPhys2,intphys2,backbone_sweep,V-JEPA 2.1,ViT-B/16,Linear,linear,9,9,3,"42,101,102",24.836601,8.841666,51.633987,0.283015,43.137255,1.960784,52.614379,0.283015,49.668874,3.441161,52.980132,1.443344,true,,
intphys2__backbone_sweep__jepa_v2_1__vitb_384__mlp__layer_12,IntPhys2,intphys2,backbone_sweep,V-JEPA 2.1,ViT-B/16,MLP,mlp,12,12,3,"42,101,102",49.019608,3.396178,62.908497,1.020424,41.830065,2.995147,67.647059,0.490196,94.481236,6.117618,94.591612,3.07668,true,,
intphys2__backbone_sweep__jepa_v2_1__vitb_384__mlp__layer_3,IntPhys2,intphys2,backbone_sweep,V-JEPA 2.1,ViT-B/16,MLP,mlp,3,3,3,"42,101,102",26.143791,1.132059,54.575163,2.210417,21.568627,3.396178,56.372549,1.296937,82.560706,9.94113,85.816777,9.254261,true,,
intphys2__backbone_sweep__jepa_v2_1__vitb_384__mlp__layer_6,IntPhys2,intphys2,backbone_sweep,V-JEPA 2.1,ViT-B/16,MLP,mlp,6,6,3,"42,101,102",22.875817,2.995148,50.163399,0.748787,26.797386,2.995147,52.45098,0.849044,46.136865,1.66663,52.649007,1.41457,true,,
intphys2__backbone_sweep__jepa_v2_1__vitb_384__mlp__layer_9,IntPhys2,intphys2,backbone_sweep,V-JEPA 2.1,ViT-B/16,MLP,mlp,9,9,3,"42,101,102",49.673202,9.869065,62.418301,1.020424,44.444445,2.995147,63.398693,0.748787,87.196468,16.771231,89.403973,11.218033,true,,
intphys2__backbone_sweep__jepa_v2_1__vitg_384__linear__layer_10,IntPhys2,intphys2,backbone_sweep,V-JEPA 2.1,ViT-G/16,Linear,linear,10,10,3,"42,101,102",23.529412,1.960785,54.084967,1.415075,18.300654,4.934533,53.75817,1.497574,16.997793,2.507244,54.028698,1.162875,true,,
intphys2__backbone_sweep__jepa_v2_1__vitg_384__linear__layer_20,IntPhys2,intphys2,backbone_sweep,V-JEPA 2.1,ViT-G/16,Linear,linear,20,20,3,"42,101,102",30.718954,2.264118,56.20915,1.497574,37.254902,1.960784,59.803922,0.849045,44.812362,3.647398,60.320088,2.198519,true,,
