config_id,run_id,dataset,dataset_hydra,experiment,model,backbone,probe,probe_hydra,layer,layer_label,seed,source,status,objective_metric_name,primary_metric_name,train_primary,train_accuracy,val_primary,val_accuracy,test_primary,test_accuracy,n_epochs,expected_epochs,early_stopped,expected_early_stopping,artifact_train_eval_summary,artifact_probe_eval_dir,source_csv_path,source_csv_line_number,source_excel_workbook,source_excel_sheet,source_excel_range,notes
intphys2__same_l__v_jepa__vit_l_16__temporal_attn__layer_6,intphys2__same_l__v_jepa__vit_l_16__temporal_attn__layer_6__seed_42,IntPhys2,intphys2,same_L,V-JEPA,ViT-L/16,Attentive,temporal_attn,6,6,42,source_csv,complete,voe_accuracy,voe_accuracy,13.907285,48.675497,21.568627,54.411765,15.686275,52.45098,,90,,true,,,results/verified_layerwise_probe_configs.csv,10,intphys_primary_db.xlsx,V-JEPA,A11:K11,seed 42 read from source CSV metrics
intphys2__same_l__v_jepa__vit_l_16__temporal_attn__layer_12,intphys2__same_l__v_jepa__vit_l_16__temporal_attn__layer_12__seed_42,IntPhys2,intphys2,same_L,V-JEPA,ViT-L/16,Attentive,temporal_attn,12,12,42,source_csv,complete,voe_accuracy,voe_accuracy,96.02649,95.529801,62.745098,75.490196,62.745098,77.45098,,90,,true,,,results/verified_layerwise_probe_configs.csv,11,intphys_primary_db.xlsx,V-JEPA,A12:K12,seed 42 read from source CSV metrics
intphys2__same_l__v_jepa__vit_l_16__temporal_attn__layer_18,intphys2__same_l__v_jepa__vit_l_16__temporal_attn__layer_18__seed_42,IntPhys2,intphys2,same_L,V-JEPA,ViT-L/16,Attentive,temporal_attn,18,18,42,source_csv,complete,voe_accuracy,voe_accuracy,100,97.516556,78.431373,84.313725,74.509804,83.333333,,90,,true,,,results/verified_layerwise_probe_configs.csv,12,intphys_primary_db.xlsx,V-JEPA,A13:K13,seed 42 read from source CSV metrics
intphys2__same_l__v_jepa__vit_l_16__temporal_attn__layer_24,intphys2__same_l__v_jepa__vit_l_16__temporal_attn__layer_24__seed_42,IntPhys2,intphys2,same_L,V-JEPA,ViT-L/16,Attentive,temporal_attn,24,24,42,source_csv,complete,voe_accuracy,voe_accuracy,92.05298,92.384106,62.745098,76.470588,60.784314,78.431373,,90,,true,,,results/verified_layerwise_probe_configs.csv,13,intphys_primary_db.xlsx,V-JEPA,A14:K14,seed 42 read from source CSV metrics
intphys2__same_l__v_jepa_2__vit_l_16__temporal_attn__layer_6,intphys2__same_l__v_jepa_2__vit_l_16__temporal_attn__layer_6__seed_42,IntPhys2,intphys2,same_L,V-JEPA 2,ViT-L/16,Attentive,temporal_attn,6,6,42,source_csv,complete,voe_accuracy,voe_accuracy,18.543046,50.331126,19.607843,51.960784,19.607843,47.54902,,90,,true,,,results/verified_layerwise_probe_configs.csv,34,intphys_primary_db.xlsx,V-JEPA 2,A11:K11,seed 42 read from source CSV metrics
intphys2__same_l__v_jepa_2__vit_l_16__temporal_attn__layer_12,intphys2__same_l__v_jepa_2__vit_l_16__temporal_attn__layer_12__seed_42,IntPhys2,intphys2,same_L,V-JEPA 2,ViT-L/16,Attentive,temporal_attn,12,12,42,source_csv,complete,voe_accuracy,voe_accuracy,65.562914,79.139073,58.823529,75,49.019608,70.588235,,90,,true,,,results/verified_layerwise_probe_configs.csv,35,intphys_primary_db.xlsx,V-JEPA 2,A12:K12,seed 42 read from source CSV metrics
intphys2__same_l__v_jepa_2__vit_l_16__temporal_attn__layer_18,intphys2__same_l__v_jepa_2__vit_l_16__temporal_attn__layer_18__seed_42,IntPhys2,intphys2,same_L,V-JEPA 2,ViT-L/16,Attentive,temporal_attn,18,18,42,source_csv,complete,voe_accuracy,voe_accuracy,100,99.503311,68.627451,80.882353,70.588235,83.333333,,90,,true,,,results/verified_layerwise_probe_configs.csv,36,intphys_primary_db.xlsx,V-JEPA 2,A13:K13,seed 42 read from source CSV metrics
intphys2__same_l__v_jepa_2__vit_l_16__temporal_attn__layer_24,intphys2__same_l__v_jepa_2__vit_l_16__temporal_attn__layer_24__seed_42,IntPhys2,intphys2,same_L,V-JEPA 2,ViT-L/16,Attentive,temporal_attn,24,24,42,source_csv,complete,voe_accuracy,voe_accuracy,90.066225,88.741722,52.941176,71.078431,64.705882,74.509804,,90,,true,,,results/verified_layerwise_probe_configs.csv,37,intphys_primary_db.xlsx,V-JEPA 2,A14:K14,seed 42 read from source CSV metrics
intphys2__same_l__v_jepa_2_1__vit_l_16__temporal_attn__layer_6,intphys2__same_l__v_jepa_2_1__vit_l_16__temporal_attn__layer_6__seed_42,IntPhys2,intphys2,same_L,V-JEPA 2.1,ViT-L/16,Attentive,temporal_attn,6,6,42,source_csv,complete,voe_accuracy,voe_accuracy,21.192053,50.331126,21.568627,50,3.921569,50,,90,,true,,,results/verified_layerwise_probe_configs.csv,70,intphys_primary_db.xlsx,V-JEPA 2.1,N11:X11,seed 42 read from source CSV metrics
intphys2__same_l__v_jepa_2_1__vit_l_16__temporal_attn__layer_12,intphys2__same_l__v_jepa_2_1__vit_l_16__temporal_attn__layer_12__seed_42,IntPhys2,intphys2,same_L,V-JEPA 2.1,ViT-L/16,Attentive,temporal_attn,12,12,42,source_csv,complete,voe_accuracy,voe_accuracy,25.827815,51.986755,23.529412,50.980392,13.72549,50.490196,,90,,true,,,results/verified_layerwise_probe_configs.csv,71,intphys_primary_db.xlsx,V-JEPA 2.1,N12:X12,seed 42 read from source CSV metrics
