config_id,dataset,dataset_hydra,experiment,model,backbone,probe,probe_hydra,layer,layer_label,n_seeds,seeds,test_primary_mean,test_primary_std,test_accuracy_mean,test_accuracy_std,val_primary_mean,val_primary_std,val_accuracy_mean,val_accuracy_std,train_primary_mean,train_primary_std,train_accuracy_mean,train_accuracy_std,complete,missing_seeds,notes
intphys2__same_l__v_jepa_2_1__vit_l_16__temporal_attn__layer_12,IntPhys2,intphys2,same_L,V-JEPA 2.1,ViT-L/16,Attentive,temporal_attn,12,12,3,"42,101,102",22.222222,7.42341,50.490196,0,16.339869,6.30304,50.653595,0.56603,26.269316,0.764702,50.883002,1.011606,true,,
intphys2__same_l__v_jepa_2_1__vit_l_16__temporal_attn__layer_18,IntPhys2,intphys2,same_L,V-JEPA 2.1,ViT-L/16,Attentive,temporal_attn,18,18,3,"42,101,102",57.51634,4.081698,76.470588,2.246361,58.169934,1.132059,76.797385,1.233633,85.430463,14.61462,89.95585,7.524162,true,,
intphys2__same_l__v_jepa_2_1__vit_l_16__temporal_attn__layer_24,IntPhys2,intphys2,same_L,V-JEPA 2.1,ViT-L/16,Attentive,temporal_attn,24,24,3,"42,101,102",64.705882,5.187748,75.816994,2.995147,66.013072,4.934532,80.392157,2.981746,98.675497,1.752153,97.571744,3.2542,true,,
intphys2__same_l__v_jepa_2_1__vit_l_16__temporal_attn__layer_6,IntPhys2,intphys2,same_L,V-JEPA 2.1,ViT-L/16,Attentive,temporal_attn,6,6,3,"42,101,102",8.496732,4.934532,50.163399,0.283015,13.72549,7.843137,50.163399,0.283015,16.777042,4.046424,50.441501,0.505803,true,,
intphys2__same_l__v_jepa_2__vit_l_16__temporal_attn__layer_12,IntPhys2,intphys2,same_L,V-JEPA 2,ViT-L/16,Attentive,temporal_attn,12,12,3,"42,101,102",53.594771,6.30304,70.588235,1.470589,53.594771,4.934532,72.875817,2.210417,71.302428,12.30672,81.622517,5.641299,true,,
intphys2__same_l__v_jepa_2__vit_l_16__temporal_attn__layer_18,IntPhys2,intphys2,same_L,V-JEPA 2,ViT-L/16,Attentive,temporal_attn,18,18,3,"42,101,102",63.398693,6.30304,77.45098,5.117797,63.398693,4.528237,77.124183,3.336696,83.664459,14.285819,88.520971,9.514227,true,,
intphys2__same_l__v_jepa_2__vit_l_16__temporal_attn__layer_24,IntPhys2,intphys2,same_L,V-JEPA 2,ViT-L/16,Attentive,temporal_attn,24,24,3,"42,101,102",62.091503,2.995148,72.712418,1.721512,60.130719,9.266305,73.202614,1.855853,85.871965,3.647398,86.644592,3.632336,true,,
intphys2__same_l__v_jepa_2__vit_l_16__temporal_attn__layer_6,IntPhys2,intphys2,same_L,V-JEPA 2,ViT-L/16,Attentive,temporal_attn,6,6,3,"42,101,102",16.339869,4.081698,50.163399,2.699789,16.339869,2.995147,52.614379,1.13206,18.984547,0.382351,49.613687,0.849603,true,,
intphys2__same_l__v_jepa__vit_l_16__temporal_attn__layer_12,IntPhys2,intphys2,same_L,V-JEPA,ViT-L/16,Attentive,temporal_attn,12,12,3,"42,101,102",64.705882,1.960785,77.124183,0.56603,62.745098,1.960784,75.163399,0.56603,96.688742,1.752154,95.419426,1.162876,true,,
intphys2__same_l__v_jepa__vit_l_16__temporal_attn__layer_18,IntPhys2,intphys2,same_L,V-JEPA,ViT-L/16,Attentive,temporal_attn,18,18,3,"42,101,102",73.856209,4.934533,80.882353,2.729296,69.281046,8.163396,81.045752,2.995147,94.481236,5.632384,94.701987,3.307116,true,,
intphys2__same_l__v_jepa__vit_l_16__temporal_attn__layer_24,IntPhys2,intphys2,same_L,V-JEPA,ViT-L/16,Attentive,temporal_attn,24,24,3,"42,101,102",60.130719,4.934532,75,8.616861,64.705882,3.396178,76.143791,3.931768,97.130243,4.409489,96.467991,3.598217,true,,
intphys2__same_l__v_jepa__vit_l_16__temporal_attn__layer_6,IntPhys2,intphys2,same_L,V-JEPA,ViT-L/16,Attentive,temporal_attn,6,6,3,"42,101,102",13.725491,3.396178,51.30719,2.872287,22.222222,2.995148,55.228758,0.748787,13.024282,2.128841,49.77925,0.97011,true,,
intphys2__same_l__videomae__vit_l_16__temporal_attn__layer_12,IntPhys2,intphys2,same_L,VideoMAE,ViT-L/16,Attentive,temporal_attn,12,12,3,"42,101,102",9.803921,8.985443,47.712418,3.711705,20.915033,7.924416,54.575164,0.56603,9.050772,1.66663,50.496689,2.58087,true,,
intphys2__same_l__videomae__vit_l_16__temporal_attn__layer_18,IntPhys2,intphys2,same_L,VideoMAE,ViT-L/16,Attentive,temporal_attn,18,18,3,"42,101,102",62.091503,2.995148,75.326797,2.264118,60.784314,7.069709,77.287582,3.931768,95.584989,2.325752,95.364238,2.40494,true,,
intphys2__same_l__videomae__vit_l_16__temporal_attn__layer_24,IntPhys2,intphys2,same_L,VideoMAE,ViT-L/16,Attentive,temporal_attn,24,24,3,"42,101,102",58.169935,11.98059,67.647059,14.957006,47.058824,26.379655,69.444444,15.159137,77.262693,31.415681,80.794702,26.307837,true,,
intphys2__same_l__videomae__vit_l_16__temporal_attn__layer_6,IntPhys2,intphys2,same_L,VideoMAE,ViT-L/16,Attentive,temporal_attn,6,6,3,"42,101,102",18.300654,2.995147,51.470588,1.296937,16.993464,2.995148,54.084968,0.748787,14.128035,0.764702,48.730684,1.483921,true,,
intphys2__same_l__videomae_v2__vit_l_16__temporal_attn__layer_12,IntPhys2,intphys2,same_L,VideoMAE-v2,ViT-L/16,Attentive,temporal_attn,12,12,3,"42,101,102",34.640523,24.982372,61.601307,10.050016,37.254902,23.85397,63.72549,10.615886,57.836645,41.707836,73.896247,20.734621,true,,
intphys2__same_l__videomae_v2__vit_l_16__temporal_attn__layer_18,IntPhys2,intphys2,same_L,VideoMAE-v2,ViT-L/16,Attentive,temporal_attn,18,18,3,"42,101,102",56.862745,3.396178,71.24183,2.316576,57.51634,1.132059,74.346405,2.040849,90.728477,1.752153,91.666667,2.691777,true,,
intphys2__same_l__videomae_v2__vit_l_16__temporal_attn__layer_24,IntPhys2,intphys2,same_L,VideoMAE-v2,ViT-L/16,Attentive,temporal_attn,24,24,3,"42,101,102",25.490196,5.882353,54.575163,6.582757,28.104575,7.42341,58.986928,1.020425,98.675497,0.662252,96.743929,1.011606,true,,
intphys2__same_l__videomae_v2__vit_l_16__temporal_attn__layer_6,IntPhys2,intphys2,same_L,VideoMAE-v2,ViT-L/16,Attentive,temporal_attn,6,6,3,"42,101,102",4.575163,2.995147,49.019608,1.470588,11.764706,8.985442,54.248366,1.13206,7.284768,5.420764,49.613687,1.126963,true,,
mvp__same_l__jepa_v1__vitl16_224__temporal_attn__layer_12,MVP,mvp,same_L,V-JEPA,ViT-L/16,Attentive,temporal_attn,12,12,3,"42,101,102",91.439164,0.939492,95.382541,0.644136,91.708797,0.789712,95.433098,0.249387,96.211355,0.393801,98.088814,0.21353,true,,
mvp__same_l__jepa_v1__vitl16_224__temporal_attn__layer_18,MVP,mvp,same_L,V-JEPA,ViT-L/16,Attentive,temporal_attn,18,18,3,"42,101,102",93.832154,0.303337,96.579036,0.20432,93.495113,0.911881,96.393664,0.429975,98.06633,1.062439,99.027543,0.531219,true,,
mvp__same_l__jepa_v1__vitl16_224__temporal_attn__layer_24,MVP,mvp,same_L,V-JEPA,ViT-L/16,Attentive,temporal_attn,24,24,3,"42,101,102",90.66397,3.133392,95.011796,1.776192,91.371756,2.048199,95.399393,0.875657,97.594154,0.239278,98.785835,0.127316,true,,
mvp__same_l__jepa_v1__vitl16_224__temporal_attn__layer_6,MVP,mvp,same_L,V-JEPA,ViT-L/16,Attentive,temporal_attn,6,6,3,"42,101,102",75.463431,1.43826,86.012808,0.847978,76.474553,0.772258,86.568925,0.556882,90.477797,3.171815,94.985947,1.711975,true,,
mvp__same_l__jepa_v2_1__vitl_384__temporal_attn__layer_12,MVP,mvp,same_L,V-JEPA 2.1,ViT-L/16,Attentive,temporal_attn,12,12,3,"42,101,102",81.429053,4.966179,89.703404,3.25384,83.653522,4.706157,91.085271,2.928911,89.623384,4.349887,94.564362,2.408596,true,,
mvp__same_l__jepa_v2_1__vitl_384__temporal_attn__layer_18,MVP,mvp,same_L,V-JEPA 2.1,ViT-L/16,Attentive,temporal_attn,18,18,3,"42,101,102",74.081564,18.952094,86.720593,9.576927,75.328615,19.380607,87.27671,9.760648,78.830804,20.439515,89.291737,10.271559,true,,
mvp__same_l__jepa_v2_1__vitl_384__temporal_attn__layer_24,MVP,mvp,same_L,V-JEPA 2.1,ViT-L/16,Attentive,temporal_attn,24,24,3,"42,101,102",89.922481,4.853738,94.371419,2.499505,90.66397,3.172304,94.809572,1.600589,95.761664,2.160185,97.790894,1.085563,true,,
mvp__same_l__jepa_v2_1__vitl_384__temporal_attn__layer_6,MVP,mvp,same_L,V-JEPA 2.1,ViT-L/16,Attentive,temporal_attn,6,6,3,"42,101,102",23.525447,30.217901,59.25177,12.873756,24.334344,31.309111,60.431412,14.036616,30.477797,41.46207,64.103429,20.349641,true,,
mvp__same_l__jepa_v2__vitl_256__temporal_attn__layer_12,MVP,mvp,same_L,V-JEPA 2,ViT-L/16,Attentive,temporal_attn,12,12,3,"42,101,102",82.271655,5.739697,90.006741,3.128902,83.990563,6.711852,90.899899,3.934617,94.333895,3.422731,97.110737,1.752848,true,,
mvp__same_l__jepa_v2__vitl_256__temporal_attn__layer_18,MVP,mvp,same_L,V-JEPA 2,ViT-L/16,Attentive,temporal_attn,18,18,3,"42,101,102",93.360297,0.758903,96.292551,0.379452,93.528817,0.267518,96.427368,0.191402,98.111299,1.118083,99.055649,0.559042,true,,
mvp__same_l__jepa_v2__vitl_256__temporal_attn__layer_24,MVP,mvp,same_L,V-JEPA 2,ViT-L/16,Attentive,temporal_attn,24,24,3,"42,101,102",93.461409,0.574949,96.461072,0.315723,94.405123,0.609476,96.949781,0.392692,98.055087,0.459147,99.005059,0.267698,true,,
mvp__same_l__jepa_v2__vitl_256__temporal_attn__layer_6,MVP,mvp,same_L,V-JEPA 2,ViT-L/16,Attentive,temporal_attn,6,6,3,"42,101,102",49.646107,4.997645,70.795416,1.695201,50.252781,6.233797,70.947085,2.096911,67.105115,7.535987,82.124789,3.242688,true,,
mvp__same_l__videomae__vit_large_16_224__temporal_attn__layer_12,MVP,mvp,same_L,VideoMAE,ViT-L/16,Attentive,temporal_attn,12,12,3,"42,101,102",74.856758,2.934578,85.45669,1.606964,75.834176,2.883029,86.299292,1.605903,89.690838,3.522044,94.541878,1.827976,true,,
