config_id,run_id,dataset,dataset_hydra,experiment,model,backbone,probe,probe_hydra,layer,layer_label,seed,source,status,objective_metric_name,primary_metric_name,train_primary,train_accuracy,val_primary,val_accuracy,test_primary,test_accuracy,n_epochs,expected_epochs,early_stopped,expected_early_stopping,artifact_train_eval_summary,artifact_probe_eval_dir,source_csv_path,source_csv_line_number,source_excel_workbook,source_excel_sheet,source_excel_range,notes
intphys2__same_l__jepa_v1__vitl16_224__linear__layer_6,intphys2__same_l__jepa_v1__vitl16_224__linear__layer_6__seed_42,IntPhys2,intphys2,same_L,V-JEPA,ViT-L/16,Linear,linear,6,6,42,source_csv,complete,voe_accuracy,voe_accuracy,45.695364,65.728477,27.45098,56.862745,25.490196,55.392157,,1000,,false,,,results/verified_layerwise_probe_configs.csv,2,intphys_primary_db.xlsx,V-JEPA,A3:K3,seed 42 read from source CSV metrics
intphys2__same_l__jepa_v1__vitl16_224__linear__layer_12,intphys2__same_l__jepa_v1__vitl16_224__linear__layer_12__seed_42,IntPhys2,intphys2,same_L,V-JEPA,ViT-L/16,Linear,linear,12,12,42,source_csv,complete,voe_accuracy,voe_accuracy,49.668874,71.523179,43.137255,61.27451,29.411765,51.470588,,2000,,false,,,results/verified_layerwise_probe_configs.csv,3,intphys_primary_db.xlsx,V-JEPA,A4:K4,seed 42 read from source CSV metrics
intphys2__same_l__jepa_v1__vitl16_224__linear__layer_18,intphys2__same_l__jepa_v1__vitl16_224__linear__layer_18__seed_42,IntPhys2,intphys2,same_L,V-JEPA,ViT-L/16,Linear,linear,18,18,42,source_csv,complete,voe_accuracy,voe_accuracy,43.046358,53.311258,41.176471,53.921569,37.254902,53.921569,,20,,false,,,results/verified_layerwise_probe_configs.csv,4,intphys_primary_db.xlsx,V-JEPA,A5:K5,seed 42 read from source CSV metrics
intphys2__same_l__jepa_v1__vitl16_224__linear__layer_24,intphys2__same_l__jepa_v1__vitl16_224__linear__layer_24__seed_42,IntPhys2,intphys2,same_L,V-JEPA,ViT-L/16,Linear,linear,24,24,42,source_csv,complete,voe_accuracy,voe_accuracy,49.006623,59.10596,39.215686,56.862745,47.058824,60.294118,,500,,false,,,results/verified_layerwise_probe_configs.csv,5,intphys_primary_db.xlsx,V-JEPA,A6:K6,seed 42 read from source CSV metrics
intphys2__same_l__jepa_v1__vitl16_224__mlp__layer_6,intphys2__same_l__jepa_v1__vitl16_224__mlp__layer_6__seed_42,IntPhys2,intphys2,same_L,V-JEPA,ViT-L/16,MLP,mlp,6,6,42,source_csv,complete,voe_accuracy,voe_accuracy,26.490066,53.311258,25.490196,54.411765,31.372549,52.45098,,50,,false,,,results/verified_layerwise_probe_configs.csv,6,intphys_primary_db.xlsx,V-JEPA,A7:K7,seed 42 read from source CSV metrics
intphys2__same_l__jepa_v1__vitl16_224__mlp__layer_12,intphys2__same_l__jepa_v1__vitl16_224__mlp__layer_12__seed_42,IntPhys2,intphys2,same_L,V-JEPA,ViT-L/16,MLP,mlp,12,12,42,source_csv,complete,voe_accuracy,voe_accuracy,100,100,43.137255,63.72549,35.294118,58.333333,,2000,,false,,,results/verified_layerwise_probe_configs.csv,7,intphys_primary_db.xlsx,V-JEPA,A8:K8,seed 42 read from source CSV metrics
intphys2__same_l__jepa_v1__vitl16_224__mlp__layer_18,intphys2__same_l__jepa_v1__vitl16_224__mlp__layer_18__seed_42,IntPhys2,intphys2,same_L,V-JEPA,ViT-L/16,MLP,mlp,18,18,42,source_csv,complete,voe_accuracy,voe_accuracy,82.781457,85.596026,50.980392,67.156863,47.058824,64.215686,,2000,,false,,,results/verified_layerwise_probe_configs.csv,8,intphys_primary_db.xlsx,V-JEPA,A9:K9,seed 42 read from source CSV metrics
intphys2__same_l__jepa_v1__vitl16_224__mlp__layer_24,intphys2__same_l__jepa_v1__vitl16_224__mlp__layer_24__seed_42,IntPhys2,intphys2,same_L,V-JEPA,ViT-L/16,MLP,mlp,24,24,42,source_csv,complete,voe_accuracy,voe_accuracy,50.993377,57.119205,43.137255,53.921569,49.019608,50.980392,,20,,false,,,results/verified_layerwise_probe_configs.csv,9,intphys_primary_db.xlsx,V-JEPA,A10:K10,seed 42 read from source CSV metrics
intphys2__same_l__jepa_v2__vitl_256__linear__layer_6,intphys2__same_l__jepa_v2__vitl_256__linear__layer_6__seed_42,IntPhys2,intphys2,same_L,V-JEPA 2,ViT-L/16,Linear,linear,6,6,42,source_csv,complete,voe_accuracy,voe_accuracy,37.086093,53.311258,19.607843,52.45098,27.45098,52.45098,,50,,false,,,results/verified_layerwise_probe_configs.csv,26,intphys_primary_db.xlsx,V-JEPA 2,A3:K3,seed 42 read from source CSV metrics
intphys2__same_l__jepa_v2__vitl_256__linear__layer_12,intphys2__same_l__jepa_v2__vitl_256__linear__layer_12__seed_42,IntPhys2,intphys2,same_L,V-JEPA 2,ViT-L/16,Linear,linear,12,12,42,source_csv,complete,voe_accuracy,voe_accuracy,70.860927,78.642384,33.333333,58.333333,37.254902,55.882353,,2000,,false,,,results/verified_layerwise_probe_configs.csv,27,intphys_primary_db.xlsx,V-JEPA 2,A4:K4,seed 42 read from source CSV metrics
intphys2__same_l__jepa_v2__vitl_256__linear__layer_18,intphys2__same_l__jepa_v2__vitl_256__linear__layer_18__seed_42,IntPhys2,intphys2,same_L,V-JEPA 2,ViT-L/16,Linear,linear,18,18,42,source_csv,complete,voe_accuracy,voe_accuracy,85.430464,79.635762,45.098039,66.176471,49.019608,64.215686,,2000,,false,,,results/verified_layerwise_probe_configs.csv,28,intphys_primary_db.xlsx,V-JEPA 2,A5:K5,seed 42 read from source CSV metrics
