config_id,dataset,dataset_hydra,experiment,model,backbone,probe,probe_hydra,layer,layer_label,n_seeds,seeds,test_primary_mean,test_primary_std,test_accuracy_mean,test_accuracy_std,val_primary_mean,val_primary_std,val_accuracy_mean,val_accuracy_std,train_primary_mean,train_primary_std,train_accuracy_mean,train_accuracy_std,complete,missing_seeds,notes
intphys2__same_l__jepa_v1__vitl16_224__linear__layer_12,IntPhys2,intphys2,same_L,V-JEPA,ViT-L/16,Linear,linear,12,12,3,"42,101,102",31.372549,1.960784,51.960784,0.849044,40.522876,2.264119,61.27451,0.490196,49.668874,1.324503,71.081678,1.699206,true,,
intphys2__same_l__jepa_v1__vitl16_224__linear__layer_18,IntPhys2,intphys2,same_L,V-JEPA,ViT-L/16,Linear,linear,18,18,3,"42,101,102",35.294118,1.960785,54.411765,0.849044,35.294118,5.187748,54.738562,0.748787,42.163355,2.128841,54.525386,1.338229,true,,
intphys2__same_l__jepa_v1__vitl16_224__linear__layer_24,IntPhys2,intphys2,same_L,V-JEPA,ViT-L/16,Linear,linear,24,24,3,"42,101,102",48.366013,5.990295,56.372549,3.431373,33.333333,5.882353,57.026144,0.748787,46.578367,2.128841,57.174393,1.989053,true,,
intphys2__same_l__jepa_v1__vitl16_224__linear__layer_6,IntPhys2,intphys2,same_L,V-JEPA,ViT-L/16,Linear,linear,6,6,3,"42,101,102",26.143791,1.132059,54.411765,1.296937,25.490196,1.960784,56.862745,0,44.591612,1.378587,62.85872,3.754788,true,,
intphys2__same_l__jepa_v1__vitl16_224__mlp__layer_12,IntPhys2,intphys2,same_L,V-JEPA,ViT-L/16,MLP,mlp,12,12,3,"42,101,102",33.333333,1.960785,58.66013,0.56603,43.79085,4.934533,63.72549,0,90.286976,16.823452,92.99117,11.996554,true,,
intphys2__same_l__jepa_v1__vitl16_224__mlp__layer_18,IntPhys2,intphys2,same_L,V-JEPA,ViT-L/16,MLP,mlp,18,18,3,"42,101,102",50.326797,2.995147,64.379085,0.283015,50.326797,1.132059,66.503268,0.748787,87.637969,7.294795,89.072847,3.197551,true,,
intphys2__same_l__jepa_v1__vitl16_224__mlp__layer_24,IntPhys2,intphys2,same_L,V-JEPA,ViT-L/16,MLP,mlp,24,24,3,"42,101,102",44.444444,4.934533,53.431373,2.136715,37.254902,5.187748,55.718954,1.57576,51.214128,2.325751,57.450331,0.876077,true,,
intphys2__same_l__jepa_v1__vitl16_224__mlp__layer_6,IntPhys2,intphys2,same_L,V-JEPA,ViT-L/16,MLP,mlp,6,6,3,"42,101,102",26.797386,4.081698,52.941176,0.490197,16.993464,7.42341,54.084967,1.020425,30.905077,5.058031,53.03532,0.344646,true,,
intphys2__same_l__jepa_v2_1__vitl_384__linear__layer_12,IntPhys2,intphys2,same_L,V-JEPA 2.1,ViT-L/16,Linear,linear,12,12,3,"42,101,102",25.490196,0,51.633987,2.210417,35.947713,1.132059,54.901961,0.490196,45.033113,0.662252,55.573951,1.831199,true,,
intphys2__same_l__jepa_v2_1__vitl_384__linear__layer_18,IntPhys2,intphys2,same_L,V-JEPA 2.1,ViT-L/16,Linear,linear,18,18,3,"42,101,102",44.444444,1.132059,61.27451,0.490196,35.294118,0,59.150326,0.283015,55.408388,1.66663,72.019867,1.471556,true,,
