config_id,dataset,dataset_hydra,experiment,model,backbone,probe,probe_hydra,layer,layer_label,n_seeds,seeds,test_primary_mean,test_primary_std,test_accuracy_mean,test_accuracy_std,val_primary_mean,val_primary_std,val_accuracy_mean,val_accuracy_std,train_primary_mean,train_primary_std,train_accuracy_mean,train_accuracy_std,complete,missing_seeds,notes
intphys2__jepa_v1__linear__layer_16,IntPhys2,intphys2,main,V-JEPA,ViT-H/16,Linear,linear,16,Layer 0.5,3,"42,101,102",37.254902,0,58.823529,1.296937,47.058824,0,60.620915,0.56603,59.8234,2.023212,74.503311,0.758704,true,,
intphys2__jepa_v1__linear__layer_24,IntPhys2,intphys2,main,V-JEPA,ViT-H/16,Linear,linear,24,Layer 0.75,3,"42,101,102",47.712418,4.081698,60.130719,1.020425,45.098039,3.396178,63.562091,1.020424,61.589404,1.324503,68.487859,1.102372,true,,
intphys2__jepa_v1__linear__layer_32,IntPhys2,intphys2,main,V-JEPA,ViT-H/16,Linear,linear,32,Final layer,3,"42,101,102",48.366013,1.132059,62.091503,0.283015,47.058824,1.960785,63.72549,0.490196,64.459161,1.011606,77.207506,0.78242,true,,
intphys2__jepa_v1__linear__layer_8,IntPhys2,intphys2,main,V-JEPA,ViT-H/16,Linear,linear,8,Layer 0.25,3,"42,101,102",16.339869,4.528237,50.816993,1.233633,16.993464,7.42341,54.084968,0.283015,20.750552,2.128841,51.545254,0.669114,true,,
intphys2__jepa_v1__mlp__layer_16,IntPhys2,intphys2,main,V-JEPA,ViT-H/16,MLP,mlp,16,Layer 0.5,3,"42,101,102",43.137255,1.960784,62.908497,2.040849,43.137255,3.396178,62.908497,0.56603,98.233996,3.058809,97.737307,3.098873,true,,
intphys2__jepa_v1__mlp__layer_24,IntPhys2,intphys2,main,V-JEPA,ViT-H/16,MLP,mlp,24,Layer 0.75,3,"42,101,102",45.751634,1.13206,61.111111,2.995148,53.594771,2.995148,63.72549,0.490196,62.030905,1.378587,68.046358,2.735548,true,,
intphys2__jepa_v1__mlp__layer_32,IntPhys2,intphys2,main,V-JEPA,ViT-H/16,MLP,mlp,32,Final layer,3,"42,101,102",45.098039,1.960785,64.052288,1.981104,52.941177,3.396178,71.732026,0.748787,100,0,99.558499,0.416658,true,,
intphys2__jepa_v1__mlp__layer_8,IntPhys2,intphys2,main,V-JEPA,ViT-H/16,MLP,mlp,8,Layer 0.25,3,"42,101,102",20.261438,4.081698,51.470588,0.980392,18.300653,5.660296,51.633987,0.56603,31.125828,1.986755,51.710817,0.78242,true,,
intphys2__jepa_v2_1__linear__layer_12,IntPhys2,intphys2,main,V-JEPA 2.1,ViT-Gigantic/16,Linear,linear,12,Layer 0.25,3,"42,101,102",24.183007,1.132059,55.06536,1.020424,28.75817,2.264119,54.901961,0,28.256071,2.325751,54.415011,2.457554,true,,
intphys2__jepa_v2_1__linear__layer_24,IntPhys2,intphys2,main,V-JEPA 2.1,ViT-Gigantic/16,Linear,linear,24,Layer 0.5,3,"42,101,102",20.261438,2.995148,55.228758,0.283015,20.915033,2.995147,55.555556,0.56603,37.527594,0.764702,57.284768,0.86029,true,,
intphys2__jepa_v2_1__linear__layer_38,IntPhys2,intphys2,main,V-JEPA 2.1,ViT-Gigantic/16,Linear,linear,38,Layer 0.75,3,"42,101,102",24.183007,1.132059,53.75817,0.748787,29.411765,3.921569,55.392157,0.490196,50.331126,2.387782,58.664459,3.382241,true,,
intphys2__jepa_v2_1__linear__layer_48,IntPhys2,intphys2,main,V-JEPA 2.1,ViT-Gigantic/16,Linear,linear,48,Final layer,3,"42,101,102",36.601307,2.264118,56.862745,1.767427,28.104575,2.264119,57.679738,1.132059,51.214128,2.676458,63.907285,5.90714,true,,
intphys2__jepa_v2_1__mlp__layer_12,IntPhys2,intphys2,main,V-JEPA 2.1,ViT-Gigantic/16,MLP,mlp,12,Layer 0.25,3,"42,101,102",20.915033,4.934532,56.699346,0.283015,26.797385,1.132059,58.169934,0.283015,89.403973,1.752153,88.465784,0.505803,true,,
intphys2__jepa_v2_1__mlp__layer_24,IntPhys2,intphys2,main,V-JEPA 2.1,ViT-Gigantic/16,MLP,mlp,24,Layer 0.5,3,"42,101,102",19.607843,1.960784,54.084967,2.515491,18.954248,10.799158,53.594771,1.13206,28.697572,3.26681,53.807947,0.165563,true,,
intphys2__jepa_v2_1__mlp__layer_38,IntPhys2,intphys2,main,V-JEPA 2.1,ViT-Gigantic/16,MLP,mlp,38,Layer 0.75,3,"42,101,102",39.869281,2.995148,58.660131,1.855853,43.79085,1.132059,61.437909,0.56603,100,0,98.841059,0.721672,true,,
intphys2__jepa_v2_1__mlp__layer_48,IntPhys2,intphys2,main,V-JEPA 2.1,ViT-Gigantic/16,MLP,mlp,48,Final layer,3,"42,101,102",39.869281,4.528237,60.784314,2.450981,26.143791,2.995148,61.928105,1.020424,99.558499,0.764702,98.841059,1.443344,true,,
intphys2__jepa_v2__linear__layer_10,IntPhys2,intphys2,main,V-JEPA 2,ViT-G/16,Linear,linear,10,Layer 0.25,3,"42,101,102",14.379085,2.995148,51.470588,2.136715,13.071896,9.266305,52.45098,0.849045,26.931567,5.144009,51.15894,0.662252,true,,
intphys2__jepa_v2__linear__layer_20,IntPhys2,intphys2,main,V-JEPA 2,ViT-G/16,Linear,linear,20,Layer 0.5,3,"42,101,102",23.529412,1.960785,51.307189,1.020424,20.261438,2.995148,52.777778,0.748787,41.721854,3.034818,55.960265,2.034471,true,,
intphys2__jepa_v2__linear__layer_30,IntPhys2,intphys2,main,V-JEPA 2,ViT-G/16,Linear,linear,30,Layer 0.75,3,"42,101,102",37.908497,2.995148,54.248366,3.613292,30.065359,4.081698,55.718954,0.283015,43.708609,2.387782,57.781457,1.517409,true,,
intphys2__jepa_v2__linear__layer_40,IntPhys2,intphys2,main,V-JEPA 2,ViT-G/16,Linear,linear,40,Final layer,3,"42,101,102",38.562092,2.264119,58.333333,0.490196,37.908497,1.132059,58.169934,0.56603,60.485651,1.378587,62.803532,2.355032,true,,
intphys2__jepa_v2__mlp__layer_10,IntPhys2,intphys2,main,V-JEPA 2,ViT-G/16,MLP,mlp,10,Layer 0.25,3,"42,101,102",15.686275,5.187747,51.633987,1.020424,15.03268,6.30304,53.594771,0.748787,53.421634,23.342218,65.011037,12.010255,true,,
intphys2__jepa_v2__mlp__layer_20,IntPhys2,intphys2,main,V-JEPA 2,ViT-G/16,MLP,mlp,20,Layer 0.5,3,"42,101,102",23.529412,1.960785,54.738562,0.748787,22.222222,2.264119,56.862745,0.490196,81.236203,9.396819,83.88521,5.788391,true,,
intphys2__jepa_v2__mlp__layer_30,IntPhys2,intphys2,main,V-JEPA 2,ViT-G/16,MLP,mlp,30,Layer 0.75,3,"42,101,102",54.248366,2.995148,64.215686,1.296937,36.601307,1.132059,62.908497,1.020424,93.818985,4.046424,85.375276,2.840421,true,,
intphys2__jepa_v2__mlp__layer_40,IntPhys2,intphys2,main,V-JEPA 2,ViT-G/16,MLP,mlp,40,Final layer,3,"42,101,102",51.633987,4.081698,60.457516,1.020425,36.601307,4.934533,64.542483,0.56603,100,0,99.172185,1.433817,true,,
intphys2__videomae__linear__layer_16,IntPhys2,intphys2,main,VideoMAE,ViT-H/16,Linear,linear,16,Layer 0.5,3,"42,101,102",30.06536,4.934533,56.699346,1.497574,36.601307,4.934533,58.823529,1.767427,51.214128,0.382351,63.189846,4.541175,true,,
intphys2__videomae__linear__layer_24,IntPhys2,intphys2,main,VideoMAE,ViT-H/16,Linear,linear,24,Layer 0.75,3,"42,101,102",31.372549,3.396178,57.189542,1.020424,37.254902,1.960784,61.111111,1.233633,55.187638,1.66663,66.721854,0.662252,true,,
intphys2__videomae__linear__layer_32,IntPhys2,intphys2,main,VideoMAE,ViT-H/16,Linear,linear,32,Final layer,3,"42,101,102",28.75817,4.528237,53.104575,1.721512,28.104575,4.081698,57.352941,0,67.108168,10.180885,70.971303,7.121772,true,,
intphys2__videomae__linear__layer_8,IntPhys2,intphys2,main,VideoMAE,ViT-H/16,Linear,linear,8,Layer 0.25,3,"42,101,102",16.339869,4.528237,50.163399,0.283015,13.071896,5.660296,52.287581,0.748787,16.997792,5.058031,50.055188,2.479762,true,,
intphys2__videomae__mlp__layer_16,IntPhys2,intphys2,main,VideoMAE,ViT-H/16,MLP,mlp,16,Layer 0.5,3,"42,101,102",31.372549,3.396178,52.124183,1.721512,36.601307,2.264118,53.431373,0.490197,43.487859,1.66663,52.483444,1.314115,true,,
intphys2__videomae__mlp__layer_24,IntPhys2,intphys2,main,VideoMAE,ViT-H/16,MLP,mlp,24,Layer 0.75,3,"42,101,102",35.294118,5.882353,59.803922,0.980393,39.869281,1.13206,63.888889,1.020424,97.792494,3.823512,93.487858,6.867037,true,,
intphys2__videomae__mlp__layer_32,IntPhys2,intphys2,main,VideoMAE,ViT-H/16,MLP,mlp,32,Final layer,3,"42,101,102",31.372549,1.960784,55.718954,1.981104,27.45098,1.960785,58.333333,0,78.807947,4.99989,82.064017,7.190719,true,,
intphys2__videomae__mlp__layer_8,IntPhys2,intphys2,main,VideoMAE,ViT-H/16,MLP,mlp,8,Layer 0.25,3,"42,101,102",15.03268,2.264119,50.490196,0.490196,11.111111,4.934533,51.633987,0.283015,19.426049,2.023212,50.055188,0.191176,true,,
intphys2__videomae_v2__linear__layer_10,IntPhys2,intphys2,main,VideoMAE-v2,ViT-G/16,Linear,linear,10,Layer 0.25,3,"42,101,102",30.718954,4.528237,52.124183,1.497574,20.261438,4.528237,52.614379,0.56603,41.501104,8.437755,55.022075,3.950448,true,,
