dataset,experiment,model,backbone,probe,probe_layer,excel_layer,selected_slot,layer_label,config_status,lr,weight_decay,batch_size,eval_batch_size,epochs,early_stopping_enabled,early_stopping_patience,feature_view,mlp_hidden_dims,mlp_dropout,temporal_num_heads,temporal_num_self_attn_blocks,temporal_mlp_ratio,temporal_dropout,best_trial,n_trials,config_id,config_source,evidence_path,notes,has_lr,has_optuna_winner,has_config_json,config_availability
IntPhys2,ltx,LTX-Video,LTX-13B,Attentive,34,34,34,34,VERIFIED_ATTENTIVE_LAYER_LR,1e-05,,,,,,,tokens,,,,,,,,,intphys2__ltx__ltx_video__ltx_13b__temporal_attn__layer_34,current Excel Selected LR,,Layer and LR recovered from current Excel Selected LR; fixed attentive runtime settings intentionally not filled here.,True,False,True,attentive_lr_only
IntPhys2,ltx,LTX-Video,LTX-13B,Attentive,36,36,36,36,VERIFIED_ATTENTIVE_LAYER_LR,1e-05,,,,,,,tokens,,,,,,,,,intphys2__ltx__ltx_video__ltx_13b__temporal_attn__layer_36,current Excel Selected LR,,Layer and LR recovered from current Excel Selected LR; fixed attentive runtime settings intentionally not filled here.,True,False,True,attentive_lr_only
IntPhys2,ltx,LTX-Video,LTX-13B,Attentive,38,38,38,38,VERIFIED_ATTENTIVE_LAYER_LR,1e-05,,,,,,,tokens,,,,,,,,,intphys2__ltx__ltx_video__ltx_13b__temporal_attn__layer_38,current Excel Selected LR,,Layer and LR recovered from current Excel Selected LR; fixed attentive runtime settings intentionally not filled here.,True,False,True,attentive_lr_only
IntPhys2,ltx,LTX-Video,LTX-13B,Attentive,39,39,39,39,VERIFIED_ATTENTIVE_LAYER_LR,1e-05,,,,,,,tokens,,,,,,,,,intphys2__ltx__ltx_video__ltx_13b__temporal_attn__layer_39,current Excel Selected LR,,Layer and LR recovered from current Excel Selected LR; fixed attentive runtime settings intentionally not filled here.,True,False,True,attentive_lr_only
IntPhys2,ltx,LTX-Video,LTX-13B,Linear,1,1,1,noise_1.0_block_12,VERIFIED_FULL,0.0001329291894316,0.0050615768887523,32.0,,50.0,True,5.0,pooled,,,,,,,0.0,20.0,intphys2__ltx_video__linear__slot_1,recovered_best_configs.json,output/training/intphys2/linear/intphys2_ltx_linear_layers_22572277.out,Full config recovered from recovered_best_configs.json and matched to current Excel row. LTX JSON normalized: layer is probe slot; depth_layer_id is transformer block.,True,True,True,full_config
IntPhys2,ltx,LTX-Video,LTX-13B,Linear,2,2,2,noise_1.0_block_24,VERIFIED_FULL,0.0001329291894316,0.0050615768887523,32.0,,50.0,True,5.0,pooled,,,,,,,0.0,20.0,intphys2__ltx_video__linear__slot_2,recovered_best_configs.json,output/training/intphys2/linear/intphys2_ltx_linear_layers_22572277.out,Full config recovered from recovered_best_configs.json and matched to current Excel row. LTX JSON normalized: layer is probe slot; depth_layer_id is transformer block.,True,True,True,full_config
IntPhys2,ltx,LTX-Video,LTX-13B,Linear,3,3,3,noise_1.0_block_36,VERIFIED_FULL,0.0001329291894316,0.0050615768887523,32.0,,50.0,True,5.0,pooled,,,,,,,0.0,20.0,intphys2__ltx_video__linear__slot_3,recovered_best_configs.json,output/training/intphys2/linear/intphys2_ltx_linear_layers_22572277.out,Full config recovered from recovered_best_configs.json and matched to current Excel row. LTX JSON normalized: layer is probe slot; depth_layer_id is transformer block.,True,True,True,full_config
IntPhys2,ltx,LTX-Video,LTX-13B,Linear,4,4,4,noise_1.0_block_48,VERIFIED_FULL,0.0001329291894316,0.0050615768887523,32.0,,50.0,True,5.0,pooled,,,,,,,0.0,20.0,intphys2__ltx_video__linear__slot_4,recovered_best_configs.json,output/training/intphys2/linear/intphys2_ltx_linear_layers_22572277.out,Full config recovered from recovered_best_configs.json and matched to current Excel row. LTX JSON normalized: layer is probe slot; depth_layer_id is transformer block.,True,True,True,full_config
IntPhys2,ltx,LTX-Video,LTX-13B,Linear,5,5,5,noise_0.9_block_12,VERIFIED_FULL,0.0001976218934028,5.589524205217922e-07,32.0,,50.0,True,5.0,pooled,,,,,,,2.0,20.0,intphys2__ltx_video__linear__slot_5,recovered_best_configs.json,output/training/intphys2/linear/intphys2_ltx_linear_layers_22572277.out,Full config recovered from recovered_best_configs.json and matched to current Excel row. LTX JSON normalized: layer is probe slot; depth_layer_id is transformer block.,True,True,True,full_config
IntPhys2,ltx,LTX-Video,LTX-13B,Linear,6,6,6,noise_0.9_block_24,VERIFIED_FULL,0.0093935930241943,0.0006666105389316,32.0,,50.0,True,5.0,pooled,,,,,,,14.0,20.0,intphys2__ltx_video__linear__slot_6,recovered_best_configs.json,output/training/intphys2/linear/intphys2_ltx_linear_layers_22572277.out,Full config recovered from recovered_best_configs.json and matched to current Excel row. LTX JSON normalized: layer is probe slot; depth_layer_id is transformer block.,True,True,True,full_config
