dataset,experiment,model_label,backbone,probe,layer_key,n_seeds,seeds,seed_source,test_primary_mean,test_primary_std,test_accuracy_mean,test_accuracy_std,val_primary_mean,val_primary_std,val_accuracy_mean,val_accuracy_std
intphys2,ltx,LTX-13B,LTX-13B,linear,id:1,3,"42,101,102",ready_manifest,0.0,0.0,50.0,0.0,0.0,0.0,50.0,0.0
intphys2,ltx,LTX-13B,LTX-13B,linear,id:10,3,"42,101,102",ready_manifest,21.56862745098037,3.9215686274509434,51.633986928104555,1.0204245095422013,13.725490196078427,6.792356108113241,51.96078431372547,0.4901960784313424
intphys2,ltx,LTX-13B,LTX-13B,linear,id:11,3,"42,101,102",ready_manifest,19.6078431372549,1.9607843137254974,51.633986928104555,1.8558524005883092,20.915032679738538,11.489147602122173,55.22875816993463,1.497573756521518
intphys2,ltx,LTX-13B,LTX-13B,linear,id:12,3,"42,101,102",ready_manifest,14.379084967320262,4.081698038168889,49.183006535947705,2.467266155317235,15.686274509803917,3.396178054056619,52.77777777777776,1.497573756521487
intphys2,ltx,LTX-13B,LTX-13B,linear,id:13,3,"42,101,102",ready_manifest,27.45098039215685,5.187747668754082,51.79738562091502,0.7487868782607849,16.339869281045747,4.081698038168887,50.6535947712418,0.2830148378380734
intphys2,ltx,LTX-13B,LTX-13B,linear,id:14,3,"42,101,102",ready_manifest,30.718954248366,1.132059351352193,54.08496732026143,0.7487868782607415,16.339869281045747,2.264118702704411,57.18954248366012,0.7487868782607834
intphys2,ltx,LTX-13B,LTX-13B,linear,id:15,3,"42,101,102",ready_manifest,29.41176470588234,1.9607843137254672,56.37254901960784,3.5348541916313603,27.450980392156854,6.79235610811323,53.92156862745097,0.8490445135141381
intphys2,ltx,LTX-13B,LTX-13B,linear,id:16,3,"42,101,102",ready_manifest,18.95424836601307,4.081698038168889,52.941176470588225,2.2463606347822975,14.379084967320232,7.92441545946541,54.411764705882334,0.9803921568627487
intphys2,ltx,LTX-13B,LTX-13B,linear,id:17,3,"42,101,102",ready_manifest,20.915032679738538,6.303039713067263,51.47058823529411,2.136715168402285,14.379084967320255,1.1320593513521942,53.75816993464053,1.7215120511197275
intphys2,ltx,LTX-13B,LTX-13B,linear,id:18,3,"42,101,102",ready_manifest,37.254901960784316,1.9607843137254868,59.15032679738562,1.8558524005883328,25.49019607843135,1.9607843137254921,57.51633986928103,1.41507418919025
intphys2,ltx,LTX-13B,LTX-13B,linear,id:19,3,"42,101,102",ready_manifest,30.065359477124183,8.163396076337774,54.41176470588234,1.767427095815657,22.875816993464028,2.264118702704372,57.51633986928104,1.1320593513522157
intphys2,ltx,LTX-13B,LTX-13B,linear,id:2,3,"42,101,102",ready_manifest,0.0,0.0,50.0,0.0,0.0,0.0,50.0,0.0
intphys2,ltx,LTX-13B,LTX-13B,linear,id:20,3,"42,101,102",ready_manifest,16.33986928104574,8.16339607633778,50.490196078431374,2.2463606347822758,21.568627450980387,3.3961780540566284,53.59477124183007,2.418079834468747
intphys2,ltx,LTX-13B,LTX-13B,linear,id:21,3,"42,101,102",ready_manifest,22.875816993464028,2.264118702704372,54.08496732026141,1.9811038648663266,14.379084967320251,2.995147513043037,54.08496732026143,1.0204245095422364
intphys2,ltx,LTX-13B,LTX-13B,linear,id:22,3,"42,101,102",ready_manifest,39.2156862745098,1.9607843137254868,59.47712418300651,1.233633077658622,30.718954248366003,4.934532310634466,58.16993464052287,0.28301483783803855
intphys2,ltx,LTX-13B,LTX-13B,linear,id:23,3,"42,101,102",ready_manifest,39.2156862745098,1.9607843137254868,58.98692810457515,2.6997894839637526,30.065359477124165,2.9951475130430345,58.660130718954235,1.2336330776585975
intphys2,ltx,LTX-13B,LTX-13B,linear,id:24,3,"42,101,102",ready_manifest,29.411764705882337,5.882352941176473,58.49673202614377,1.0204245095421915,16.99346405228758,6.303039713067291,55.06535947712416,1.5757599282668322
intphys2,ltx,LTX-13B,LTX-13B,linear,id:25,3,"42,101,102",ready_manifest,33.33333333333332,3.9215686274509807,55.228758169934615,0.7487868782607306,14.379084967320253,2.2641187027044087,54.411764705882334,2.871624278332789e-14
