run_id,config_id,run_command,dataset,dataset_hydra,experiment,model,backbone,probe,probe_hydra,seed,original_seed,backbone_name,backbone_variant,layer,selected_slot,layer_label,feature_view,lr,weight_decay,batch_size,eval_batch_size,epochs,early_stopping_enabled,early_stopping_patience,mlp_hidden_dims,mlp_dropout,temporal_num_heads,temporal_num_self_attn_blocks,temporal_mlp_ratio,temporal_dropout,probe_device,probe_output_dir,probe_output_subdir,eval_output_dir,eval_output_subdir,wandb_group,wandb_name,status,blocked_reason,hydra_overrides_json,source_csv_path,source_csv_row_index,source_csv_line_number,source_row_sha256,source_config_status,source_config_json,source_evidence_path
intphys2__ltx__ltx_2b_0_9_8_distilled__linear__slot_1__seed_101,intphys2__ltx__ltx_2b_0_9_8_distilled__linear__slot_1,train_eval.probe.intphys2,IntPhys2,intphys2,ltx,LTX-Video,LTX-2B,Linear,linear,101,42,ltx_video,ltx_2b_0_9_8_distilled,1,1,noise_1.0_block_7,pooled,0.00013292918943162159,0.0050615768887523043,32,1024,2000,false,5,,,,,,,cpu,artifacts/probes/intphys2,seed_runs_intphys2_ltx2b_linear_mlp/intphys2__ltx__ltx_2b_0_9_8_distilled__linear__slot_1/seed_101,artifacts/results/intphys2,seed_runs_intphys2_ltx2b_linear_mlp/intphys2__ltx__ltx_2b_0_9_8_distilled__linear__slot_1/seed_101,seed_runs_intphys2_ltx2b_linear_mlp_intphys2__ltx__ltx_2b_0_9_8_distilled__linear__slot_1,intphys2__ltx__ltx_2b_0_9_8_distilled__linear__slot_1__seed_101,pending,,"[""seed=101"",""split.seed=42"",""backbone.name=ltx_video"",""+backbone.kwargs.variant=ltx_2b_0_9_8_distilled"",""probe.name=linear"",""probe.layer=1"",""probe.layers=[]"",""probe.feature_view=pooled"",""probe.device=cpu"",""probe.lr=0.00013292918943162159"",""probe.weight_decay=0.0050615768887523043"",""probe.batch_size=32"",""probe.eval_batch_size=1024"",""probe.epochs=2000"",""probe.early_stopping.enabled=false"",""probe.early_stopping.patience=5"",""probe.optuna.enabled=false"",""probe.output_dir=artifacts/probes/intphys2"",""probe.output_subdir=seed_runs_intphys2_ltx2b_linear_mlp/intphys2__ltx__ltx_2b_0_9_8_distilled__linear__slot_1/seed_101"",""probe.eval_output_dir=artifacts/results/intphys2"",""probe.eval_output_subdir=seed_runs_intphys2_ltx2b_linear_mlp/intphys2__ltx__ltx_2b_0_9_8_distilled__linear__slot_1/seed_101"",""probe.wandb.group=seed_runs_intphys2_ltx2b_linear_mlp_intphys2__ltx__ltx_2b_0_9_8_distilled__linear__slot_1"",""probe.wandb.name=intphys2__ltx__ltx_2b_0_9_8_distilled__linear__slot_1__seed_101""]",results/verified_layerwise_probe_configs.csv,156,158,0014ca4d599d70cd,VERIFIED_FULL,"{""batch_size"":32,""depth_layer_id"":7,""early_stopping"":{""enabled"":false,""patience"":5},""epochs"":2000,""eval_batch_size"":1024,""feature_view"":""pooled"",""layer"":1,""lr"":0.0001329291894316216,""slot"":1,""weight_decay"":0.005061576888752304}",different_backbone_ablation/ltx_2b/intphys2/linear/intphys2_probe_linear_ltx_video_ltxv_2b_0_9_8_distilled_20260602T175813Z/layer_noise_1.0_block_7/train/optuna_summary.json
intphys2__ltx__ltx_2b_0_9_8_distilled__linear__slot_1__seed_102,intphys2__ltx__ltx_2b_0_9_8_distilled__linear__slot_1,train_eval.probe.intphys2,IntPhys2,intphys2,ltx,LTX-Video,LTX-2B,Linear,linear,102,42,ltx_video,ltx_2b_0_9_8_distilled,1,1,noise_1.0_block_7,pooled,0.00013292918943162159,0.0050615768887523043,32,1024,2000,false,5,,,,,,,cpu,artifacts/probes/intphys2,seed_runs_intphys2_ltx2b_linear_mlp/intphys2__ltx__ltx_2b_0_9_8_distilled__linear__slot_1/seed_102,artifacts/results/intphys2,seed_runs_intphys2_ltx2b_linear_mlp/intphys2__ltx__ltx_2b_0_9_8_distilled__linear__slot_1/seed_102,seed_runs_intphys2_ltx2b_linear_mlp_intphys2__ltx__ltx_2b_0_9_8_distilled__linear__slot_1,intphys2__ltx__ltx_2b_0_9_8_distilled__linear__slot_1__seed_102,pending,,"[""seed=102"",""split.seed=42"",""backbone.name=ltx_video"",""+backbone.kwargs.variant=ltx_2b_0_9_8_distilled"",""probe.name=linear"",""probe.layer=1"",""probe.layers=[]"",""probe.feature_view=pooled"",""probe.device=cpu"",""probe.lr=0.00013292918943162159"",""probe.weight_decay=0.0050615768887523043"",""probe.batch_size=32"",""probe.eval_batch_size=1024"",""probe.epochs=2000"",""probe.early_stopping.enabled=false"",""probe.early_stopping.patience=5"",""probe.optuna.enabled=false"",""probe.output_dir=artifacts/probes/intphys2"",""probe.output_subdir=seed_runs_intphys2_ltx2b_linear_mlp/intphys2__ltx__ltx_2b_0_9_8_distilled__linear__slot_1/seed_102"",""probe.eval_output_dir=artifacts/results/intphys2"",""probe.eval_output_subdir=seed_runs_intphys2_ltx2b_linear_mlp/intphys2__ltx__ltx_2b_0_9_8_distilled__linear__slot_1/seed_102"",""probe.wandb.group=seed_runs_intphys2_ltx2b_linear_mlp_intphys2__ltx__ltx_2b_0_9_8_distilled__linear__slot_1"",""probe.wandb.name=intphys2__ltx__ltx_2b_0_9_8_distilled__linear__slot_1__seed_102""]",results/verified_layerwise_probe_configs.csv,156,158,0014ca4d599d70cd,VERIFIED_FULL,"{""batch_size"":32,""depth_layer_id"":7,""early_stopping"":{""enabled"":false,""patience"":5},""epochs"":2000,""eval_batch_size"":1024,""feature_view"":""pooled"",""layer"":1,""lr"":0.0001329291894316216,""slot"":1,""weight_decay"":0.005061576888752304}",different_backbone_ablation/ltx_2b/intphys2/linear/intphys2_probe_linear_ltx_video_ltxv_2b_0_9_8_distilled_20260602T175813Z/layer_noise_1.0_block_7/train/optuna_summary.json
intphys2__ltx__ltx_2b_0_9_8_distilled__linear__slot_5__seed_101,intphys2__ltx__ltx_2b_0_9_8_distilled__linear__slot_5,train_eval.probe.intphys2,IntPhys2,intphys2,ltx,LTX-Video,LTX-2B,Linear,linear,101,42,ltx_video,ltx_2b_0_9_8_distilled,5,5,noise_0.9_block_7,pooled,1.1526025292404458e-05,0.00013970755680618323,64,1024,20,false,5,,,,,,,cpu,artifacts/probes/intphys2,seed_runs_intphys2_ltx2b_linear_mlp/intphys2__ltx__ltx_2b_0_9_8_distilled__linear__slot_5/seed_101,artifacts/results/intphys2,seed_runs_intphys2_ltx2b_linear_mlp/intphys2__ltx__ltx_2b_0_9_8_distilled__linear__slot_5/seed_101,seed_runs_intphys2_ltx2b_linear_mlp_intphys2__ltx__ltx_2b_0_9_8_distilled__linear__slot_5,intphys2__ltx__ltx_2b_0_9_8_distilled__linear__slot_5__seed_101,pending,,"[""seed=101"",""split.seed=42"",""backbone.name=ltx_video"",""+backbone.kwargs.variant=ltx_2b_0_9_8_distilled"",""probe.name=linear"",""probe.layer=5"",""probe.layers=[]"",""probe.feature_view=pooled"",""probe.device=cpu"",""probe.lr=1.1526025292404458e-05"",""probe.weight_decay=0.00013970755680618323"",""probe.batch_size=64"",""probe.eval_batch_size=1024"",""probe.epochs=20"",""probe.early_stopping.enabled=false"",""probe.early_stopping.patience=5"",""probe.optuna.enabled=false"",""probe.output_dir=artifacts/probes/intphys2"",""probe.output_subdir=seed_runs_intphys2_ltx2b_linear_mlp/intphys2__ltx__ltx_2b_0_9_8_distilled__linear__slot_5/seed_101"",""probe.eval_output_dir=artifacts/results/intphys2"",""probe.eval_output_subdir=seed_runs_intphys2_ltx2b_linear_mlp/intphys2__ltx__ltx_2b_0_9_8_distilled__linear__slot_5/seed_101"",""probe.wandb.group=seed_runs_intphys2_ltx2b_linear_mlp_intphys2__ltx__ltx_2b_0_9_8_distilled__linear__slot_5"",""probe.wandb.name=intphys2__ltx__ltx_2b_0_9_8_distilled__linear__slot_5__seed_101""]",results/verified_layerwise_probe_configs.csv,157,159,3ea67a3486f4dd83,VERIFIED_FULL,"{""batch_size"":64,""depth_layer_id"":7,""early_stopping"":{""enabled"":false,""patience"":5},""epochs"":20,""eval_batch_size"":1024,""feature_view"":""pooled"",""layer"":5,""lr"":1.1526025292404458e-05,""slot"":5,""weight_decay"":0.00013970755680618323}",different_backbone_ablation/ltx_2b/intphys2/linear/intphys2_probe_linear_ltx_video_ltxv_2b_0_9_8_distilled_20260602T175813Z/layer_noise_0.9_block_7/train/optuna_summary.json
intphys2__ltx__ltx_2b_0_9_8_distilled__linear__slot_5__seed_102,intphys2__ltx__ltx_2b_0_9_8_distilled__linear__slot_5,train_eval.probe.intphys2,IntPhys2,intphys2,ltx,LTX-Video,LTX-2B,Linear,linear,102,42,ltx_video,ltx_2b_0_9_8_distilled,5,5,noise_0.9_block_7,pooled,1.1526025292404458e-05,0.00013970755680618323,64,1024,20,false,5,,,,,,,cpu,artifacts/probes/intphys2,seed_runs_intphys2_ltx2b_linear_mlp/intphys2__ltx__ltx_2b_0_9_8_distilled__linear__slot_5/seed_102,artifacts/results/intphys2,seed_runs_intphys2_ltx2b_linear_mlp/intphys2__ltx__ltx_2b_0_9_8_distilled__linear__slot_5/seed_102,seed_runs_intphys2_ltx2b_linear_mlp_intphys2__ltx__ltx_2b_0_9_8_distilled__linear__slot_5,intphys2__ltx__ltx_2b_0_9_8_distilled__linear__slot_5__seed_102,pending,,"[""seed=102"",""split.seed=42"",""backbone.name=ltx_video"",""+backbone.kwargs.variant=ltx_2b_0_9_8_distilled"",""probe.name=linear"",""probe.layer=5"",""probe.layers=[]"",""probe.feature_view=pooled"",""probe.device=cpu"",""probe.lr=1.1526025292404458e-05"",""probe.weight_decay=0.00013970755680618323"",""probe.batch_size=64"",""probe.eval_batch_size=1024"",""probe.epochs=20"",""probe.early_stopping.enabled=false"",""probe.early_stopping.patience=5"",""probe.optuna.enabled=false"",""probe.output_dir=artifacts/probes/intphys2"",""probe.output_subdir=seed_runs_intphys2_ltx2b_linear_mlp/intphys2__ltx__ltx_2b_0_9_8_distilled__linear__slot_5/seed_102"",""probe.eval_output_dir=artifacts/results/intphys2"",""probe.eval_output_subdir=seed_runs_intphys2_ltx2b_linear_mlp/intphys2__ltx__ltx_2b_0_9_8_distilled__linear__slot_5/seed_102"",""probe.wandb.group=seed_runs_intphys2_ltx2b_linear_mlp_intphys2__ltx__ltx_2b_0_9_8_distilled__linear__slot_5"",""probe.wandb.name=intphys2__ltx__ltx_2b_0_9_8_distilled__linear__slot_5__seed_102""]",results/verified_layerwise_probe_configs.csv,157,159,3ea67a3486f4dd83,VERIFIED_FULL,"{""batch_size"":64,""depth_layer_id"":7,""early_stopping"":{""enabled"":false,""patience"":5},""epochs"":20,""eval_batch_size"":1024,""feature_view"":""pooled"",""layer"":5,""lr"":1.1526025292404458e-05,""slot"":5,""weight_decay"":0.00013970755680618323}",different_backbone_ablation/ltx_2b/intphys2/linear/intphys2_probe_linear_ltx_video_ltxv_2b_0_9_8_distilled_20260602T175813Z/layer_noise_0.9_block_7/train/optuna_summary.json
intphys2__ltx__ltx_2b_0_9_8_distilled__linear__slot_9__seed_101,intphys2__ltx__ltx_2b_0_9_8_distilled__linear__slot_9,train_eval.probe.intphys2,IntPhys2,intphys2,ltx,LTX-Video,LTX-2B,Linear,linear,101,42,ltx_video,ltx_2b_0_9_8_distilled,9,9,noise_0.8_block_7,pooled,0.0021464035477145849,4.294315419725004e-05,64,1024,50,false,5,,,,,,,cpu,artifacts/probes/intphys2,seed_runs_intphys2_ltx2b_linear_mlp/intphys2__ltx__ltx_2b_0_9_8_distilled__linear__slot_9/seed_101,artifacts/results/intphys2,seed_runs_intphys2_ltx2b_linear_mlp/intphys2__ltx__ltx_2b_0_9_8_distilled__linear__slot_9/seed_101,seed_runs_intphys2_ltx2b_linear_mlp_intphys2__ltx__ltx_2b_0_9_8_distilled__linear__slot_9,intphys2__ltx__ltx_2b_0_9_8_distilled__linear__slot_9__seed_101,pending,,"[""seed=101"",""split.seed=42"",""backbone.name=ltx_video"",""+backbone.kwargs.variant=ltx_2b_0_9_8_distilled"",""probe.name=linear"",""probe.layer=9"",""probe.layers=[]"",""probe.feature_view=pooled"",""probe.device=cpu"",""probe.lr=0.0021464035477145849"",""probe.weight_decay=4.294315419725004e-05"",""probe.batch_size=64"",""probe.eval_batch_size=1024"",""probe.epochs=50"",""probe.early_stopping.enabled=false"",""probe.early_stopping.patience=5"",""probe.optuna.enabled=false"",""probe.output_dir=artifacts/probes/intphys2"",""probe.output_subdir=seed_runs_intphys2_ltx2b_linear_mlp/intphys2__ltx__ltx_2b_0_9_8_distilled__linear__slot_9/seed_101"",""probe.eval_output_dir=artifacts/results/intphys2"",""probe.eval_output_subdir=seed_runs_intphys2_ltx2b_linear_mlp/intphys2__ltx__ltx_2b_0_9_8_distilled__linear__slot_9/seed_101"",""probe.wandb.group=seed_runs_intphys2_ltx2b_linear_mlp_intphys2__ltx__ltx_2b_0_9_8_distilled__linear__slot_9"",""probe.wandb.name=intphys2__ltx__ltx_2b_0_9_8_distilled__linear__slot_9__seed_101""]",results/verified_layerwise_probe_configs.csv,158,160,d511de829c47c29a,VERIFIED_FULL,"{""batch_size"":64,""depth_layer_id"":7,""early_stopping"":{""enabled"":false,""patience"":5},""epochs"":50,""eval_batch_size"":1024,""feature_view"":""pooled"",""layer"":9,""lr"":0.002146403547714585,""slot"":9,""weight_decay"":4.294315419725004e-05}",different_backbone_ablation/ltx_2b/intphys2/linear/intphys2_probe_linear_ltx_video_ltxv_2b_0_9_8_distilled_20260602T175813Z/layer_noise_0.8_block_7/train/optuna_summary.json
intphys2__ltx__ltx_2b_0_9_8_distilled__linear__slot_9__seed_102,intphys2__ltx__ltx_2b_0_9_8_distilled__linear__slot_9,train_eval.probe.intphys2,IntPhys2,intphys2,ltx,LTX-Video,LTX-2B,Linear,linear,102,42,ltx_video,ltx_2b_0_9_8_distilled,9,9,noise_0.8_block_7,pooled,0.0021464035477145849,4.294315419725004e-05,64,1024,50,false,5,,,,,,,cpu,artifacts/probes/intphys2,seed_runs_intphys2_ltx2b_linear_mlp/intphys2__ltx__ltx_2b_0_9_8_distilled__linear__slot_9/seed_102,artifacts/results/intphys2,seed_runs_intphys2_ltx2b_linear_mlp/intphys2__ltx__ltx_2b_0_9_8_distilled__linear__slot_9/seed_102,seed_runs_intphys2_ltx2b_linear_mlp_intphys2__ltx__ltx_2b_0_9_8_distilled__linear__slot_9,intphys2__ltx__ltx_2b_0_9_8_distilled__linear__slot_9__seed_102,pending,,"[""seed=102"",""split.seed=42"",""backbone.name=ltx_video"",""+backbone.kwargs.variant=ltx_2b_0_9_8_distilled"",""probe.name=linear"",""probe.layer=9"",""probe.layers=[]"",""probe.feature_view=pooled"",""probe.device=cpu"",""probe.lr=0.0021464035477145849"",""probe.weight_decay=4.294315419725004e-05"",""probe.batch_size=64"",""probe.eval_batch_size=1024"",""probe.epochs=50"",""probe.early_stopping.enabled=false"",""probe.early_stopping.patience=5"",""probe.optuna.enabled=false"",""probe.output_dir=artifacts/probes/intphys2"",""probe.output_subdir=seed_runs_intphys2_ltx2b_linear_mlp/intphys2__ltx__ltx_2b_0_9_8_distilled__linear__slot_9/seed_102"",""probe.eval_output_dir=artifacts/results/intphys2"",""probe.eval_output_subdir=seed_runs_intphys2_ltx2b_linear_mlp/intphys2__ltx__ltx_2b_0_9_8_distilled__linear__slot_9/seed_102"",""probe.wandb.group=seed_runs_intphys2_ltx2b_linear_mlp_intphys2__ltx__ltx_2b_0_9_8_distilled__linear__slot_9"",""probe.wandb.name=intphys2__ltx__ltx_2b_0_9_8_distilled__linear__slot_9__seed_102""]",results/verified_layerwise_probe_configs.csv,158,160,d511de829c47c29a,VERIFIED_FULL,"{""batch_size"":64,""depth_layer_id"":7,""early_stopping"":{""enabled"":false,""patience"":5},""epochs"":50,""eval_batch_size"":1024,""feature_view"":""pooled"",""layer"":9,""lr"":0.002146403547714585,""slot"":9,""weight_decay"":4.294315419725004e-05}",different_backbone_ablation/ltx_2b/intphys2/linear/intphys2_probe_linear_ltx_video_ltxv_2b_0_9_8_distilled_20260602T175813Z/layer_noise_0.8_block_7/train/optuna_summary.json
intphys2__ltx__ltx_2b_0_9_8_distilled__linear__slot_13__seed_101,intphys2__ltx__ltx_2b_0_9_8_distilled__linear__slot_13,train_eval.probe.intphys2,IntPhys2,intphys2,ltx,LTX-Video,LTX-2B,Linear,linear,101,42,ltx_video,ltx_2b_0_9_8_distilled,13,13,noise_0.7_block_7,pooled,0.00043664735929796326,1.2856617791467908e-07,32,1024,50,false,5,,,,,,,cpu,artifacts/probes/intphys2,seed_runs_intphys2_ltx2b_linear_mlp/intphys2__ltx__ltx_2b_0_9_8_distilled__linear__slot_13/seed_101,artifacts/results/intphys2,seed_runs_intphys2_ltx2b_linear_mlp/intphys2__ltx__ltx_2b_0_9_8_distilled__linear__slot_13/seed_101,seed_runs_intphys2_ltx2b_linear_mlp_intphys2__ltx__ltx_2b_0_9_8_distilled__linear__slot_13,intphys2__ltx__ltx_2b_0_9_8_distilled__linear__slot_13__seed_101,pending,,"[""seed=101"",""split.seed=42"",""backbone.name=ltx_video"",""+backbone.kwargs.variant=ltx_2b_0_9_8_distilled"",""probe.name=linear"",""probe.layer=13"",""probe.layers=[]"",""probe.feature_view=pooled"",""probe.device=cpu"",""probe.lr=0.00043664735929796326"",""probe.weight_decay=1.2856617791467908e-07"",""probe.batch_size=32"",""probe.eval_batch_size=1024"",""probe.epochs=50"",""probe.early_stopping.enabled=false"",""probe.early_stopping.patience=5"",""probe.optuna.enabled=false"",""probe.output_dir=artifacts/probes/intphys2"",""probe.output_subdir=seed_runs_intphys2_ltx2b_linear_mlp/intphys2__ltx__ltx_2b_0_9_8_distilled__linear__slot_13/seed_101"",""probe.eval_output_dir=artifacts/results/intphys2"",""probe.eval_output_subdir=seed_runs_intphys2_ltx2b_linear_mlp/intphys2__ltx__ltx_2b_0_9_8_distilled__linear__slot_13/seed_101"",""probe.wandb.group=seed_runs_intphys2_ltx2b_linear_mlp_intphys2__ltx__ltx_2b_0_9_8_distilled__linear__slot_13"",""probe.wandb.name=intphys2__ltx__ltx_2b_0_9_8_distilled__linear__slot_13__seed_101""]",results/verified_layerwise_probe_configs.csv,159,161,6d3ecc7f5ce34812,VERIFIED_FULL,"{""batch_size"":32,""depth_layer_id"":7,""early_stopping"":{""enabled"":false,""patience"":5},""epochs"":50,""eval_batch_size"":1024,""feature_view"":""pooled"",""layer"":13,""lr"":0.00043664735929796326,""slot"":13,""weight_decay"":1.2856617791467908e-07}",different_backbone_ablation/ltx_2b/intphys2/linear/intphys2_probe_linear_ltx_video_ltxv_2b_0_9_8_distilled_20260602T175813Z/layer_noise_0.7_block_7/train/optuna_summary.json
intphys2__ltx__ltx_2b_0_9_8_distilled__linear__slot_13__seed_102,intphys2__ltx__ltx_2b_0_9_8_distilled__linear__slot_13,train_eval.probe.intphys2,IntPhys2,intphys2,ltx,LTX-Video,LTX-2B,Linear,linear,102,42,ltx_video,ltx_2b_0_9_8_distilled,13,13,noise_0.7_block_7,pooled,0.00043664735929796326,1.2856617791467908e-07,32,1024,50,false,5,,,,,,,cpu,artifacts/probes/intphys2,seed_runs_intphys2_ltx2b_linear_mlp/intphys2__ltx__ltx_2b_0_9_8_distilled__linear__slot_13/seed_102,artifacts/results/intphys2,seed_runs_intphys2_ltx2b_linear_mlp/intphys2__ltx__ltx_2b_0_9_8_distilled__linear__slot_13/seed_102,seed_runs_intphys2_ltx2b_linear_mlp_intphys2__ltx__ltx_2b_0_9_8_distilled__linear__slot_13,intphys2__ltx__ltx_2b_0_9_8_distilled__linear__slot_13__seed_102,pending,,"[""seed=102"",""split.seed=42"",""backbone.name=ltx_video"",""+backbone.kwargs.variant=ltx_2b_0_9_8_distilled"",""probe.name=linear"",""probe.layer=13"",""probe.layers=[]"",""probe.feature_view=pooled"",""probe.device=cpu"",""probe.lr=0.00043664735929796326"",""probe.weight_decay=1.2856617791467908e-07"",""probe.batch_size=32"",""probe.eval_batch_size=1024"",""probe.epochs=50"",""probe.early_stopping.enabled=false"",""probe.early_stopping.patience=5"",""probe.optuna.enabled=false"",""probe.output_dir=artifacts/probes/intphys2"",""probe.output_subdir=seed_runs_intphys2_ltx2b_linear_mlp/intphys2__ltx__ltx_2b_0_9_8_distilled__linear__slot_13/seed_102"",""probe.eval_output_dir=artifacts/results/intphys2"",""probe.eval_output_subdir=seed_runs_intphys2_ltx2b_linear_mlp/intphys2__ltx__ltx_2b_0_9_8_distilled__linear__slot_13/seed_102"",""probe.wandb.group=seed_runs_intphys2_ltx2b_linear_mlp_intphys2__ltx__ltx_2b_0_9_8_distilled__linear__slot_13"",""probe.wandb.name=intphys2__ltx__ltx_2b_0_9_8_distilled__linear__slot_13__seed_102""]",results/verified_layerwise_probe_configs.csv,159,161,6d3ecc7f5ce34812,VERIFIED_FULL,"{""batch_size"":32,""depth_layer_id"":7,""early_stopping"":{""enabled"":false,""patience"":5},""epochs"":50,""eval_batch_size"":1024,""feature_view"":""pooled"",""layer"":13,""lr"":0.00043664735929796326,""slot"":13,""weight_decay"":1.2856617791467908e-07}",different_backbone_ablation/ltx_2b/intphys2/linear/intphys2_probe_linear_ltx_video_ltxv_2b_0_9_8_distilled_20260602T175813Z/layer_noise_0.7_block_7/train/optuna_summary.json
intphys2__ltx__ltx_2b_0_9_8_distilled__linear__slot_17__seed_101,intphys2__ltx__ltx_2b_0_9_8_distilled__linear__slot_17,train_eval.probe.intphys2,IntPhys2,intphys2,ltx,LTX-Video,LTX-2B,Linear,linear,101,42,ltx_video,ltx_2b_0_9_8_distilled,17,17,noise_0.6_block_7,pooled,0.0031428808908401098,1.8794668241638429e-07,256,1024,100,false,5,,,,,,,cpu,artifacts/probes/intphys2,seed_runs_intphys2_ltx2b_linear_mlp/intphys2__ltx__ltx_2b_0_9_8_distilled__linear__slot_17/seed_101,artifacts/results/intphys2,seed_runs_intphys2_ltx2b_linear_mlp/intphys2__ltx__ltx_2b_0_9_8_distilled__linear__slot_17/seed_101,seed_runs_intphys2_ltx2b_linear_mlp_intphys2__ltx__ltx_2b_0_9_8_distilled__linear__slot_17,intphys2__ltx__ltx_2b_0_9_8_distilled__linear__slot_17__seed_101,pending,,"[""seed=101"",""split.seed=42"",""backbone.name=ltx_video"",""+backbone.kwargs.variant=ltx_2b_0_9_8_distilled"",""probe.name=linear"",""probe.layer=17"",""probe.layers=[]"",""probe.feature_view=pooled"",""probe.device=cpu"",""probe.lr=0.0031428808908401098"",""probe.weight_decay=1.8794668241638429e-07"",""probe.batch_size=256"",""probe.eval_batch_size=1024"",""probe.epochs=100"",""probe.early_stopping.enabled=false"",""probe.early_stopping.patience=5"",""probe.optuna.enabled=false"",""probe.output_dir=artifacts/probes/intphys2"",""probe.output_subdir=seed_runs_intphys2_ltx2b_linear_mlp/intphys2__ltx__ltx_2b_0_9_8_distilled__linear__slot_17/seed_101"",""probe.eval_output_dir=artifacts/results/intphys2"",""probe.eval_output_subdir=seed_runs_intphys2_ltx2b_linear_mlp/intphys2__ltx__ltx_2b_0_9_8_distilled__linear__slot_17/seed_101"",""probe.wandb.group=seed_runs_intphys2_ltx2b_linear_mlp_intphys2__ltx__ltx_2b_0_9_8_distilled__linear__slot_17"",""probe.wandb.name=intphys2__ltx__ltx_2b_0_9_8_distilled__linear__slot_17__seed_101""]",results/verified_layerwise_probe_configs.csv,160,162,12a53ba6b4c70b69,VERIFIED_FULL,"{""batch_size"":256,""depth_layer_id"":7,""early_stopping"":{""enabled"":false,""patience"":5},""epochs"":100,""eval_batch_size"":1024,""feature_view"":""pooled"",""layer"":17,""lr"":0.00314288089084011,""slot"":17,""weight_decay"":1.879466824163843e-07}",different_backbone_ablation/ltx_2b/intphys2/linear/intphys2_probe_linear_ltx_video_ltxv_2b_0_9_8_distilled_20260602T175813Z/layer_noise_0.6_block_7/train/optuna_summary.json
intphys2__ltx__ltx_2b_0_9_8_distilled__linear__slot_17__seed_102,intphys2__ltx__ltx_2b_0_9_8_distilled__linear__slot_17,train_eval.probe.intphys2,IntPhys2,intphys2,ltx,LTX-Video,LTX-2B,Linear,linear,102,42,ltx_video,ltx_2b_0_9_8_distilled,17,17,noise_0.6_block_7,pooled,0.0031428808908401098,1.8794668241638429e-07,256,1024,100,false,5,,,,,,,cpu,artifacts/probes/intphys2,seed_runs_intphys2_ltx2b_linear_mlp/intphys2__ltx__ltx_2b_0_9_8_distilled__linear__slot_17/seed_102,artifacts/results/intphys2,seed_runs_intphys2_ltx2b_linear_mlp/intphys2__ltx__ltx_2b_0_9_8_distilled__linear__slot_17/seed_102,seed_runs_intphys2_ltx2b_linear_mlp_intphys2__ltx__ltx_2b_0_9_8_distilled__linear__slot_17,intphys2__ltx__ltx_2b_0_9_8_distilled__linear__slot_17__seed_102,pending,,"[""seed=102"",""split.seed=42"",""backbone.name=ltx_video"",""+backbone.kwargs.variant=ltx_2b_0_9_8_distilled"",""probe.name=linear"",""probe.layer=17"",""probe.layers=[]"",""probe.feature_view=pooled"",""probe.device=cpu"",""probe.lr=0.0031428808908401098"",""probe.weight_decay=1.8794668241638429e-07"",""probe.batch_size=256"",""probe.eval_batch_size=1024"",""probe.epochs=100"",""probe.early_stopping.enabled=false"",""probe.early_stopping.patience=5"",""probe.optuna.enabled=false"",""probe.output_dir=artifacts/probes/intphys2"",""probe.output_subdir=seed_runs_intphys2_ltx2b_linear_mlp/intphys2__ltx__ltx_2b_0_9_8_distilled__linear__slot_17/seed_102"",""probe.eval_output_dir=artifacts/results/intphys2"",""probe.eval_output_subdir=seed_runs_intphys2_ltx2b_linear_mlp/intphys2__ltx__ltx_2b_0_9_8_distilled__linear__slot_17/seed_102"",""probe.wandb.group=seed_runs_intphys2_ltx2b_linear_mlp_intphys2__ltx__ltx_2b_0_9_8_distilled__linear__slot_17"",""probe.wandb.name=intphys2__ltx__ltx_2b_0_9_8_distilled__linear__slot_17__seed_102""]",results/verified_layerwise_probe_configs.csv,160,162,12a53ba6b4c70b69,VERIFIED_FULL,"{""batch_size"":256,""depth_layer_id"":7,""early_stopping"":{""enabled"":false,""patience"":5},""epochs"":100,""eval_batch_size"":1024,""feature_view"":""pooled"",""layer"":17,""lr"":0.00314288089084011,""slot"":17,""weight_decay"":1.879466824163843e-07}",different_backbone_ablation/ltx_2b/intphys2/linear/intphys2_probe_linear_ltx_video_ltxv_2b_0_9_8_distilled_20260602T175813Z/layer_noise_0.6_block_7/train/optuna_summary.json
