run_id,config_id,run_command,dataset,dataset_hydra,experiment,model,backbone,probe,probe_hydra,seed,original_seed,backbone_name,backbone_variant,layer,selected_slot,layer_label,feature_view,lr,weight_decay,batch_size,eval_batch_size,epochs,early_stopping_enabled,early_stopping_patience,mlp_hidden_dims,mlp_dropout,temporal_num_heads,temporal_num_self_attn_blocks,temporal_mlp_ratio,temporal_dropout,probe_device,probe_output_dir,probe_output_subdir,eval_output_dir,eval_output_subdir,wandb_group,wandb_name,status,blocked_reason,hydra_overrides_json,source_csv_path,source_csv_row_index,source_csv_line_number,source_row_sha256,source_config_status,source_config_json,source_evidence_path
intphys2__backbone_sweep__jepa_v2_1__vitb_384__linear__layer_3__seed_101,intphys2__backbone_sweep__jepa_v2_1__vitb_384__linear__layer_3,train_eval.probe.intphys2,IntPhys2,intphys2,backbone_sweep,V-JEPA 2.1,ViT-B/16,Linear,linear,101,42,jepa_v2_1,vitb_384,3,,3,pooled,0.00043664735929796326,1.2856617791467908e-07,32,1024,50,false,5,,,,,,,cpu,artifacts/probes/intphys2,seed_runs_layerwise_backbone_sweep_v1/intphys2__backbone_sweep__jepa_v2_1__vitb_384__linear__layer_3/seed_101,artifacts/results/intphys2,seed_runs_layerwise_backbone_sweep_v1/intphys2__backbone_sweep__jepa_v2_1__vitb_384__linear__layer_3/seed_101,seed_runs_layerwise_backbone_sweep_v1_intphys2__backbone_sweep__jepa_v2_1__vitb_384__linear__layer_3,intphys2__backbone_sweep__jepa_v2_1__vitb_384__linear__layer_3__seed_101,pending,,"[""seed=101"",""split.seed=42"",""backbone.name=jepa_v2_1"",""+backbone.kwargs.variant=vitb_384"",""probe.name=linear"",""probe.layer=3"",""probe.layers=[]"",""probe.feature_view=pooled"",""probe.device=cpu"",""probe.lr=0.00043664735929796326"",""probe.weight_decay=1.2856617791467908e-07"",""probe.batch_size=32"",""probe.eval_batch_size=1024"",""probe.epochs=50"",""probe.early_stopping.enabled=false"",""probe.early_stopping.patience=5"",""probe.optuna.enabled=false"",""probe.output_dir=artifacts/probes/intphys2"",""probe.output_subdir=seed_runs_layerwise_backbone_sweep_v1/intphys2__backbone_sweep__jepa_v2_1__vitb_384__linear__layer_3/seed_101"",""probe.eval_output_dir=artifacts/results/intphys2"",""probe.eval_output_subdir=seed_runs_layerwise_backbone_sweep_v1/intphys2__backbone_sweep__jepa_v2_1__vitb_384__linear__layer_3/seed_101"",""probe.wandb.group=seed_runs_layerwise_backbone_sweep_v1_intphys2__backbone_sweep__jepa_v2_1__vitb_384__linear__layer_3"",""probe.wandb.name=intphys2__backbone_sweep__jepa_v2_1__vitb_384__linear__layer_3__seed_101"",""feature_cache.layer_ids=[3,6,9,12]""]",results/verified_layerwise_probe_configs.csv,48,50,9994443afa525558,VERIFIED_FULL,"{""batch_size"":32,""early_stopping"":{""enabled"":false,""patience"":5},""epochs"":50,""eval_batch_size"":1024,""feature_view"":""pooled"",""layer"":3,""lr"":0.00043664735929796326,""slot"":null,""weight_decay"":1.2856617791467908e-07}",different_backbone_ablation/other models/intphys2/linear/intphys2_probe_linear_jepa_v2_1_vitb_384_20260616T153555Z/layer_3/train/optuna_summary.json
intphys2__backbone_sweep__jepa_v2_1__vitb_384__linear__layer_3__seed_102,intphys2__backbone_sweep__jepa_v2_1__vitb_384__linear__layer_3,train_eval.probe.intphys2,IntPhys2,intphys2,backbone_sweep,V-JEPA 2.1,ViT-B/16,Linear,linear,102,42,jepa_v2_1,vitb_384,3,,3,pooled,0.00043664735929796326,1.2856617791467908e-07,32,1024,50,false,5,,,,,,,cpu,artifacts/probes/intphys2,seed_runs_layerwise_backbone_sweep_v1/intphys2__backbone_sweep__jepa_v2_1__vitb_384__linear__layer_3/seed_102,artifacts/results/intphys2,seed_runs_layerwise_backbone_sweep_v1/intphys2__backbone_sweep__jepa_v2_1__vitb_384__linear__layer_3/seed_102,seed_runs_layerwise_backbone_sweep_v1_intphys2__backbone_sweep__jepa_v2_1__vitb_384__linear__layer_3,intphys2__backbone_sweep__jepa_v2_1__vitb_384__linear__layer_3__seed_102,pending,,"[""seed=102"",""split.seed=42"",""backbone.name=jepa_v2_1"",""+backbone.kwargs.variant=vitb_384"",""probe.name=linear"",""probe.layer=3"",""probe.layers=[]"",""probe.feature_view=pooled"",""probe.device=cpu"",""probe.lr=0.00043664735929796326"",""probe.weight_decay=1.2856617791467908e-07"",""probe.batch_size=32"",""probe.eval_batch_size=1024"",""probe.epochs=50"",""probe.early_stopping.enabled=false"",""probe.early_stopping.patience=5"",""probe.optuna.enabled=false"",""probe.output_dir=artifacts/probes/intphys2"",""probe.output_subdir=seed_runs_layerwise_backbone_sweep_v1/intphys2__backbone_sweep__jepa_v2_1__vitb_384__linear__layer_3/seed_102"",""probe.eval_output_dir=artifacts/results/intphys2"",""probe.eval_output_subdir=seed_runs_layerwise_backbone_sweep_v1/intphys2__backbone_sweep__jepa_v2_1__vitb_384__linear__layer_3/seed_102"",""probe.wandb.group=seed_runs_layerwise_backbone_sweep_v1_intphys2__backbone_sweep__jepa_v2_1__vitb_384__linear__layer_3"",""probe.wandb.name=intphys2__backbone_sweep__jepa_v2_1__vitb_384__linear__layer_3__seed_102"",""feature_cache.layer_ids=[3,6,9,12]""]",results/verified_layerwise_probe_configs.csv,48,50,9994443afa525558,VERIFIED_FULL,"{""batch_size"":32,""early_stopping"":{""enabled"":false,""patience"":5},""epochs"":50,""eval_batch_size"":1024,""feature_view"":""pooled"",""layer"":3,""lr"":0.00043664735929796326,""slot"":null,""weight_decay"":1.2856617791467908e-07}",different_backbone_ablation/other models/intphys2/linear/intphys2_probe_linear_jepa_v2_1_vitb_384_20260616T153555Z/layer_3/train/optuna_summary.json
intphys2__backbone_sweep__jepa_v2_1__vitb_384__linear__layer_6__seed_101,intphys2__backbone_sweep__jepa_v2_1__vitb_384__linear__layer_6,train_eval.probe.intphys2,IntPhys2,intphys2,backbone_sweep,V-JEPA 2.1,ViT-B/16,Linear,linear,101,42,jepa_v2_1,vitb_384,6,,6,pooled,0.00023345864076016249,0.00051410966488057519,128,1024,1000,false,5,,,,,,,cpu,artifacts/probes/intphys2,seed_runs_layerwise_backbone_sweep_v1/intphys2__backbone_sweep__jepa_v2_1__vitb_384__linear__layer_6/seed_101,artifacts/results/intphys2,seed_runs_layerwise_backbone_sweep_v1/intphys2__backbone_sweep__jepa_v2_1__vitb_384__linear__layer_6/seed_101,seed_runs_layerwise_backbone_sweep_v1_intphys2__backbone_sweep__jepa_v2_1__vitb_384__linear__layer_6,intphys2__backbone_sweep__jepa_v2_1__vitb_384__linear__layer_6__seed_101,pending,,"[""seed=101"",""split.seed=42"",""backbone.name=jepa_v2_1"",""+backbone.kwargs.variant=vitb_384"",""probe.name=linear"",""probe.layer=6"",""probe.layers=[]"",""probe.feature_view=pooled"",""probe.device=cpu"",""probe.lr=0.00023345864076016249"",""probe.weight_decay=0.00051410966488057519"",""probe.batch_size=128"",""probe.eval_batch_size=1024"",""probe.epochs=1000"",""probe.early_stopping.enabled=false"",""probe.early_stopping.patience=5"",""probe.optuna.enabled=false"",""probe.output_dir=artifacts/probes/intphys2"",""probe.output_subdir=seed_runs_layerwise_backbone_sweep_v1/intphys2__backbone_sweep__jepa_v2_1__vitb_384__linear__layer_6/seed_101"",""probe.eval_output_dir=artifacts/results/intphys2"",""probe.eval_output_subdir=seed_runs_layerwise_backbone_sweep_v1/intphys2__backbone_sweep__jepa_v2_1__vitb_384__linear__layer_6/seed_101"",""probe.wandb.group=seed_runs_layerwise_backbone_sweep_v1_intphys2__backbone_sweep__jepa_v2_1__vitb_384__linear__layer_6"",""probe.wandb.name=intphys2__backbone_sweep__jepa_v2_1__vitb_384__linear__layer_6__seed_101"",""feature_cache.layer_ids=[3,6,9,12]""]",results/verified_layerwise_probe_configs.csv,49,51,d7376e6a8be227a9,VERIFIED_FULL,"{""batch_size"":128,""early_stopping"":{""enabled"":false,""patience"":5},""epochs"":1000,""eval_batch_size"":1024,""feature_view"":""pooled"",""layer"":6,""lr"":0.00023345864076016249,""slot"":null,""weight_decay"":0.0005141096648805752}",different_backbone_ablation/other models/intphys2/linear/intphys2_probe_linear_jepa_v2_1_vitb_384_20260616T153555Z/layer_6/train/optuna_summary.json
intphys2__backbone_sweep__jepa_v2_1__vitb_384__linear__layer_6__seed_102,intphys2__backbone_sweep__jepa_v2_1__vitb_384__linear__layer_6,train_eval.probe.intphys2,IntPhys2,intphys2,backbone_sweep,V-JEPA 2.1,ViT-B/16,Linear,linear,102,42,jepa_v2_1,vitb_384,6,,6,pooled,0.00023345864076016249,0.00051410966488057519,128,1024,1000,false,5,,,,,,,cpu,artifacts/probes/intphys2,seed_runs_layerwise_backbone_sweep_v1/intphys2__backbone_sweep__jepa_v2_1__vitb_384__linear__layer_6/seed_102,artifacts/results/intphys2,seed_runs_layerwise_backbone_sweep_v1/intphys2__backbone_sweep__jepa_v2_1__vitb_384__linear__layer_6/seed_102,seed_runs_layerwise_backbone_sweep_v1_intphys2__backbone_sweep__jepa_v2_1__vitb_384__linear__layer_6,intphys2__backbone_sweep__jepa_v2_1__vitb_384__linear__layer_6__seed_102,pending,,"[""seed=102"",""split.seed=42"",""backbone.name=jepa_v2_1"",""+backbone.kwargs.variant=vitb_384"",""probe.name=linear"",""probe.layer=6"",""probe.layers=[]"",""probe.feature_view=pooled"",""probe.device=cpu"",""probe.lr=0.00023345864076016249"",""probe.weight_decay=0.00051410966488057519"",""probe.batch_size=128"",""probe.eval_batch_size=1024"",""probe.epochs=1000"",""probe.early_stopping.enabled=false"",""probe.early_stopping.patience=5"",""probe.optuna.enabled=false"",""probe.output_dir=artifacts/probes/intphys2"",""probe.output_subdir=seed_runs_layerwise_backbone_sweep_v1/intphys2__backbone_sweep__jepa_v2_1__vitb_384__linear__layer_6/seed_102"",""probe.eval_output_dir=artifacts/results/intphys2"",""probe.eval_output_subdir=seed_runs_layerwise_backbone_sweep_v1/intphys2__backbone_sweep__jepa_v2_1__vitb_384__linear__layer_6/seed_102"",""probe.wandb.group=seed_runs_layerwise_backbone_sweep_v1_intphys2__backbone_sweep__jepa_v2_1__vitb_384__linear__layer_6"",""probe.wandb.name=intphys2__backbone_sweep__jepa_v2_1__vitb_384__linear__layer_6__seed_102"",""feature_cache.layer_ids=[3,6,9,12]""]",results/verified_layerwise_probe_configs.csv,49,51,d7376e6a8be227a9,VERIFIED_FULL,"{""batch_size"":128,""early_stopping"":{""enabled"":false,""patience"":5},""epochs"":1000,""eval_batch_size"":1024,""feature_view"":""pooled"",""layer"":6,""lr"":0.00023345864076016249,""slot"":null,""weight_decay"":0.0005141096648805752}",different_backbone_ablation/other models/intphys2/linear/intphys2_probe_linear_jepa_v2_1_vitb_384_20260616T153555Z/layer_6/train/optuna_summary.json
intphys2__backbone_sweep__jepa_v2_1__vitb_384__linear__layer_9__seed_101,intphys2__backbone_sweep__jepa_v2_1__vitb_384__linear__layer_9,train_eval.probe.intphys2,IntPhys2,intphys2,backbone_sweep,V-JEPA 2.1,ViT-B/16,Linear,linear,101,42,jepa_v2_1,vitb_384,9,,9,pooled,0.0094290640517674697,3.4454266473096603e-06,64,1024,20,false,5,,,,,,,cpu,artifacts/probes/intphys2,seed_runs_layerwise_backbone_sweep_v1/intphys2__backbone_sweep__jepa_v2_1__vitb_384__linear__layer_9/seed_101,artifacts/results/intphys2,seed_runs_layerwise_backbone_sweep_v1/intphys2__backbone_sweep__jepa_v2_1__vitb_384__linear__layer_9/seed_101,seed_runs_layerwise_backbone_sweep_v1_intphys2__backbone_sweep__jepa_v2_1__vitb_384__linear__layer_9,intphys2__backbone_sweep__jepa_v2_1__vitb_384__linear__layer_9__seed_101,pending,,"[""seed=101"",""split.seed=42"",""backbone.name=jepa_v2_1"",""+backbone.kwargs.variant=vitb_384"",""probe.name=linear"",""probe.layer=9"",""probe.layers=[]"",""probe.feature_view=pooled"",""probe.device=cpu"",""probe.lr=0.0094290640517674697"",""probe.weight_decay=3.4454266473096603e-06"",""probe.batch_size=64"",""probe.eval_batch_size=1024"",""probe.epochs=20"",""probe.early_stopping.enabled=false"",""probe.early_stopping.patience=5"",""probe.optuna.enabled=false"",""probe.output_dir=artifacts/probes/intphys2"",""probe.output_subdir=seed_runs_layerwise_backbone_sweep_v1/intphys2__backbone_sweep__jepa_v2_1__vitb_384__linear__layer_9/seed_101"",""probe.eval_output_dir=artifacts/results/intphys2"",""probe.eval_output_subdir=seed_runs_layerwise_backbone_sweep_v1/intphys2__backbone_sweep__jepa_v2_1__vitb_384__linear__layer_9/seed_101"",""probe.wandb.group=seed_runs_layerwise_backbone_sweep_v1_intphys2__backbone_sweep__jepa_v2_1__vitb_384__linear__layer_9"",""probe.wandb.name=intphys2__backbone_sweep__jepa_v2_1__vitb_384__linear__layer_9__seed_101"",""feature_cache.layer_ids=[3,6,9,12]""]",results/verified_layerwise_probe_configs.csv,50,52,0f3cd0cc10fb2ef1,VERIFIED_FULL,"{""batch_size"":64,""early_stopping"":{""enabled"":false,""patience"":5},""epochs"":20,""eval_batch_size"":1024,""feature_view"":""pooled"",""layer"":9,""lr"":0.00942906405176747,""slot"":null,""weight_decay"":3.4454266473096603e-06}",different_backbone_ablation/other models/intphys2/linear/intphys2_probe_linear_jepa_v2_1_vitb_384_20260616T153555Z/layer_9/train/optuna_summary.json
intphys2__backbone_sweep__jepa_v2_1__vitb_384__linear__layer_9__seed_102,intphys2__backbone_sweep__jepa_v2_1__vitb_384__linear__layer_9,train_eval.probe.intphys2,IntPhys2,intphys2,backbone_sweep,V-JEPA 2.1,ViT-B/16,Linear,linear,102,42,jepa_v2_1,vitb_384,9,,9,pooled,0.0094290640517674697,3.4454266473096603e-06,64,1024,20,false,5,,,,,,,cpu,artifacts/probes/intphys2,seed_runs_layerwise_backbone_sweep_v1/intphys2__backbone_sweep__jepa_v2_1__vitb_384__linear__layer_9/seed_102,artifacts/results/intphys2,seed_runs_layerwise_backbone_sweep_v1/intphys2__backbone_sweep__jepa_v2_1__vitb_384__linear__layer_9/seed_102,seed_runs_layerwise_backbone_sweep_v1_intphys2__backbone_sweep__jepa_v2_1__vitb_384__linear__layer_9,intphys2__backbone_sweep__jepa_v2_1__vitb_384__linear__layer_9__seed_102,pending,,"[""seed=102"",""split.seed=42"",""backbone.name=jepa_v2_1"",""+backbone.kwargs.variant=vitb_384"",""probe.name=linear"",""probe.layer=9"",""probe.layers=[]"",""probe.feature_view=pooled"",""probe.device=cpu"",""probe.lr=0.0094290640517674697"",""probe.weight_decay=3.4454266473096603e-06"",""probe.batch_size=64"",""probe.eval_batch_size=1024"",""probe.epochs=20"",""probe.early_stopping.enabled=false"",""probe.early_stopping.patience=5"",""probe.optuna.enabled=false"",""probe.output_dir=artifacts/probes/intphys2"",""probe.output_subdir=seed_runs_layerwise_backbone_sweep_v1/intphys2__backbone_sweep__jepa_v2_1__vitb_384__linear__layer_9/seed_102"",""probe.eval_output_dir=artifacts/results/intphys2"",""probe.eval_output_subdir=seed_runs_layerwise_backbone_sweep_v1/intphys2__backbone_sweep__jepa_v2_1__vitb_384__linear__layer_9/seed_102"",""probe.wandb.group=seed_runs_layerwise_backbone_sweep_v1_intphys2__backbone_sweep__jepa_v2_1__vitb_384__linear__layer_9"",""probe.wandb.name=intphys2__backbone_sweep__jepa_v2_1__vitb_384__linear__layer_9__seed_102"",""feature_cache.layer_ids=[3,6,9,12]""]",results/verified_layerwise_probe_configs.csv,50,52,0f3cd0cc10fb2ef1,VERIFIED_FULL,"{""batch_size"":64,""early_stopping"":{""enabled"":false,""patience"":5},""epochs"":20,""eval_batch_size"":1024,""feature_view"":""pooled"",""layer"":9,""lr"":0.00942906405176747,""slot"":null,""weight_decay"":3.4454266473096603e-06}",different_backbone_ablation/other models/intphys2/linear/intphys2_probe_linear_jepa_v2_1_vitb_384_20260616T153555Z/layer_9/train/optuna_summary.json
intphys2__backbone_sweep__jepa_v2_1__vitb_384__linear__layer_12__seed_101,intphys2__backbone_sweep__jepa_v2_1__vitb_384__linear__layer_12,train_eval.probe.intphys2,IntPhys2,intphys2,backbone_sweep,V-JEPA 2.1,ViT-B/16,Linear,linear,101,42,jepa_v2_1,vitb_384,12,,12,pooled,0.00013292918943162159,0.0050615768887523043,32,1024,2000,false,5,,,,,,,cpu,artifacts/probes/intphys2,seed_runs_layerwise_backbone_sweep_v1/intphys2__backbone_sweep__jepa_v2_1__vitb_384__linear__layer_12/seed_101,artifacts/results/intphys2,seed_runs_layerwise_backbone_sweep_v1/intphys2__backbone_sweep__jepa_v2_1__vitb_384__linear__layer_12/seed_101,seed_runs_layerwise_backbone_sweep_v1_intphys2__backbone_sweep__jepa_v2_1__vitb_384__linear__layer_12,intphys2__backbone_sweep__jepa_v2_1__vitb_384__linear__layer_12__seed_101,pending,,"[""seed=101"",""split.seed=42"",""backbone.name=jepa_v2_1"",""+backbone.kwargs.variant=vitb_384"",""probe.name=linear"",""probe.layer=12"",""probe.layers=[]"",""probe.feature_view=pooled"",""probe.device=cpu"",""probe.lr=0.00013292918943162159"",""probe.weight_decay=0.0050615768887523043"",""probe.batch_size=32"",""probe.eval_batch_size=1024"",""probe.epochs=2000"",""probe.early_stopping.enabled=false"",""probe.early_stopping.patience=5"",""probe.optuna.enabled=false"",""probe.output_dir=artifacts/probes/intphys2"",""probe.output_subdir=seed_runs_layerwise_backbone_sweep_v1/intphys2__backbone_sweep__jepa_v2_1__vitb_384__linear__layer_12/seed_101"",""probe.eval_output_dir=artifacts/results/intphys2"",""probe.eval_output_subdir=seed_runs_layerwise_backbone_sweep_v1/intphys2__backbone_sweep__jepa_v2_1__vitb_384__linear__layer_12/seed_101"",""probe.wandb.group=seed_runs_layerwise_backbone_sweep_v1_intphys2__backbone_sweep__jepa_v2_1__vitb_384__linear__layer_12"",""probe.wandb.name=intphys2__backbone_sweep__jepa_v2_1__vitb_384__linear__layer_12__seed_101"",""feature_cache.layer_ids=[3,6,9,12]""]",results/verified_layerwise_probe_configs.csv,51,53,2611cec37516eb4c,VERIFIED_FULL,"{""batch_size"":32,""early_stopping"":{""enabled"":false,""patience"":5},""epochs"":2000,""eval_batch_size"":1024,""feature_view"":""pooled"",""layer"":12,""lr"":0.0001329291894316216,""slot"":null,""weight_decay"":0.005061576888752304}",different_backbone_ablation/other models/intphys2/linear/intphys2_probe_linear_jepa_v2_1_vitb_384_20260616T153555Z/layer_12/train/optuna_summary.json
intphys2__backbone_sweep__jepa_v2_1__vitb_384__linear__layer_12__seed_102,intphys2__backbone_sweep__jepa_v2_1__vitb_384__linear__layer_12,train_eval.probe.intphys2,IntPhys2,intphys2,backbone_sweep,V-JEPA 2.1,ViT-B/16,Linear,linear,102,42,jepa_v2_1,vitb_384,12,,12,pooled,0.00013292918943162159,0.0050615768887523043,32,1024,2000,false,5,,,,,,,cpu,artifacts/probes/intphys2,seed_runs_layerwise_backbone_sweep_v1/intphys2__backbone_sweep__jepa_v2_1__vitb_384__linear__layer_12/seed_102,artifacts/results/intphys2,seed_runs_layerwise_backbone_sweep_v1/intphys2__backbone_sweep__jepa_v2_1__vitb_384__linear__layer_12/seed_102,seed_runs_layerwise_backbone_sweep_v1_intphys2__backbone_sweep__jepa_v2_1__vitb_384__linear__layer_12,intphys2__backbone_sweep__jepa_v2_1__vitb_384__linear__layer_12__seed_102,pending,,"[""seed=102"",""split.seed=42"",""backbone.name=jepa_v2_1"",""+backbone.kwargs.variant=vitb_384"",""probe.name=linear"",""probe.layer=12"",""probe.layers=[]"",""probe.feature_view=pooled"",""probe.device=cpu"",""probe.lr=0.00013292918943162159"",""probe.weight_decay=0.0050615768887523043"",""probe.batch_size=32"",""probe.eval_batch_size=1024"",""probe.epochs=2000"",""probe.early_stopping.enabled=false"",""probe.early_stopping.patience=5"",""probe.optuna.enabled=false"",""probe.output_dir=artifacts/probes/intphys2"",""probe.output_subdir=seed_runs_layerwise_backbone_sweep_v1/intphys2__backbone_sweep__jepa_v2_1__vitb_384__linear__layer_12/seed_102"",""probe.eval_output_dir=artifacts/results/intphys2"",""probe.eval_output_subdir=seed_runs_layerwise_backbone_sweep_v1/intphys2__backbone_sweep__jepa_v2_1__vitb_384__linear__layer_12/seed_102"",""probe.wandb.group=seed_runs_layerwise_backbone_sweep_v1_intphys2__backbone_sweep__jepa_v2_1__vitb_384__linear__layer_12"",""probe.wandb.name=intphys2__backbone_sweep__jepa_v2_1__vitb_384__linear__layer_12__seed_102"",""feature_cache.layer_ids=[3,6,9,12]""]",results/verified_layerwise_probe_configs.csv,51,53,2611cec37516eb4c,VERIFIED_FULL,"{""batch_size"":32,""early_stopping"":{""enabled"":false,""patience"":5},""epochs"":2000,""eval_batch_size"":1024,""feature_view"":""pooled"",""layer"":12,""lr"":0.0001329291894316216,""slot"":null,""weight_decay"":0.005061576888752304}",different_backbone_ablation/other models/intphys2/linear/intphys2_probe_linear_jepa_v2_1_vitb_384_20260616T153555Z/layer_12/train/optuna_summary.json
intphys2__backbone_sweep__jepa_v2_1__vitb_384__mlp__layer_3__seed_101,intphys2__backbone_sweep__jepa_v2_1__vitb_384__mlp__layer_3,train_eval.probe.intphys2,IntPhys2,intphys2,backbone_sweep,V-JEPA 2.1,ViT-B/16,MLP,mlp,101,42,jepa_v2_1,vitb_384,3,,3,pooled,0.00013292918943162159,0.0050615768887523043,32,1024,2000,false,5,[256],0.21597250932105788,,,,,cpu,artifacts/probes/intphys2,seed_runs_layerwise_backbone_sweep_v1/intphys2__backbone_sweep__jepa_v2_1__vitb_384__mlp__layer_3/seed_101,artifacts/results/intphys2,seed_runs_layerwise_backbone_sweep_v1/intphys2__backbone_sweep__jepa_v2_1__vitb_384__mlp__layer_3/seed_101,seed_runs_layerwise_backbone_sweep_v1_intphys2__backbone_sweep__jepa_v2_1__vitb_384__mlp__layer_3,intphys2__backbone_sweep__jepa_v2_1__vitb_384__mlp__layer_3__seed_101,pending,,"[""seed=101"",""split.seed=42"",""backbone.name=jepa_v2_1"",""+backbone.kwargs.variant=vitb_384"",""probe.name=mlp"",""probe.layer=3"",""probe.layers=[]"",""probe.feature_view=pooled"",""probe.device=cpu"",""probe.lr=0.00013292918943162159"",""probe.weight_decay=0.0050615768887523043"",""probe.batch_size=32"",""probe.eval_batch_size=1024"",""probe.epochs=2000"",""probe.early_stopping.enabled=false"",""probe.early_stopping.patience=5"",""probe.optuna.enabled=false"",""probe.output_dir=artifacts/probes/intphys2"",""probe.output_subdir=seed_runs_layerwise_backbone_sweep_v1/intphys2__backbone_sweep__jepa_v2_1__vitb_384__mlp__layer_3/seed_101"",""probe.eval_output_dir=artifacts/results/intphys2"",""probe.eval_output_subdir=seed_runs_layerwise_backbone_sweep_v1/intphys2__backbone_sweep__jepa_v2_1__vitb_384__mlp__layer_3/seed_101"",""probe.wandb.group=seed_runs_layerwise_backbone_sweep_v1_intphys2__backbone_sweep__jepa_v2_1__vitb_384__mlp__layer_3"",""probe.wandb.name=intphys2__backbone_sweep__jepa_v2_1__vitb_384__mlp__layer_3__seed_101"",""probe.mlp.hidden_dims=[256]"",""probe.mlp.dropout=0.21597250932105788"",""feature_cache.layer_ids=[3,6,9,12]""]",results/verified_layerwise_probe_configs.csv,52,54,5ed0b0b7ae3e23f1,VERIFIED_FULL,"{""batch_size"":32,""dropout"":0.21597250932105788,""early_stopping"":{""enabled"":false,""patience"":5},""epochs"":2000,""eval_batch_size"":1024,""feature_view"":""pooled"",""hidden_dims"":[256],""layer"":3,""lr"":0.0001329291894316216,""slot"":null,""weight_decay"":0.005061576888752304}",different_backbone_ablation/other models/intphys2/mlp/intphys2_probe_mlp_jepa_v2_1_vitb_384_20260616T210053Z/layer_3/train/optuna_summary.json
intphys2__backbone_sweep__jepa_v2_1__vitb_384__mlp__layer_3__seed_102,intphys2__backbone_sweep__jepa_v2_1__vitb_384__mlp__layer_3,train_eval.probe.intphys2,IntPhys2,intphys2,backbone_sweep,V-JEPA 2.1,ViT-B/16,MLP,mlp,102,42,jepa_v2_1,vitb_384,3,,3,pooled,0.00013292918943162159,0.0050615768887523043,32,1024,2000,false,5,[256],0.21597250932105788,,,,,cpu,artifacts/probes/intphys2,seed_runs_layerwise_backbone_sweep_v1/intphys2__backbone_sweep__jepa_v2_1__vitb_384__mlp__layer_3/seed_102,artifacts/results/intphys2,seed_runs_layerwise_backbone_sweep_v1/intphys2__backbone_sweep__jepa_v2_1__vitb_384__mlp__layer_3/seed_102,seed_runs_layerwise_backbone_sweep_v1_intphys2__backbone_sweep__jepa_v2_1__vitb_384__mlp__layer_3,intphys2__backbone_sweep__jepa_v2_1__vitb_384__mlp__layer_3__seed_102,pending,,"[""seed=102"",""split.seed=42"",""backbone.name=jepa_v2_1"",""+backbone.kwargs.variant=vitb_384"",""probe.name=mlp"",""probe.layer=3"",""probe.layers=[]"",""probe.feature_view=pooled"",""probe.device=cpu"",""probe.lr=0.00013292918943162159"",""probe.weight_decay=0.0050615768887523043"",""probe.batch_size=32"",""probe.eval_batch_size=1024"",""probe.epochs=2000"",""probe.early_stopping.enabled=false"",""probe.early_stopping.patience=5"",""probe.optuna.enabled=false"",""probe.output_dir=artifacts/probes/intphys2"",""probe.output_subdir=seed_runs_layerwise_backbone_sweep_v1/intphys2__backbone_sweep__jepa_v2_1__vitb_384__mlp__layer_3/seed_102"",""probe.eval_output_dir=artifacts/results/intphys2"",""probe.eval_output_subdir=seed_runs_layerwise_backbone_sweep_v1/intphys2__backbone_sweep__jepa_v2_1__vitb_384__mlp__layer_3/seed_102"",""probe.wandb.group=seed_runs_layerwise_backbone_sweep_v1_intphys2__backbone_sweep__jepa_v2_1__vitb_384__mlp__layer_3"",""probe.wandb.name=intphys2__backbone_sweep__jepa_v2_1__vitb_384__mlp__layer_3__seed_102"",""probe.mlp.hidden_dims=[256]"",""probe.mlp.dropout=0.21597250932105788"",""feature_cache.layer_ids=[3,6,9,12]""]",results/verified_layerwise_probe_configs.csv,52,54,5ed0b0b7ae3e23f1,VERIFIED_FULL,"{""batch_size"":32,""dropout"":0.21597250932105788,""early_stopping"":{""enabled"":false,""patience"":5},""epochs"":2000,""eval_batch_size"":1024,""feature_view"":""pooled"",""hidden_dims"":[256],""layer"":3,""lr"":0.0001329291894316216,""slot"":null,""weight_decay"":0.005061576888752304}",different_backbone_ablation/other models/intphys2/mlp/intphys2_probe_mlp_jepa_v2_1_vitb_384_20260616T210053Z/layer_3/train/optuna_summary.json
