run_id,config_id,run_command,dataset,dataset_hydra,experiment,model,backbone,probe,probe_hydra,seed,original_seed,backbone_name,backbone_variant,layer,selected_slot,layer_label,feature_view,lr,weight_decay,batch_size,eval_batch_size,epochs,early_stopping_enabled,early_stopping_patience,mlp_hidden_dims,mlp_dropout,temporal_num_heads,temporal_num_self_attn_blocks,temporal_mlp_ratio,temporal_dropout,probe_device,probe_output_dir,probe_output_subdir,eval_output_dir,eval_output_subdir,wandb_group,wandb_name,status,blocked_reason,hydra_overrides_json,source_csv_path,source_csv_row_index,source_csv_line_number,source_row_sha256,source_config_status,source_config_json,source_evidence_path
mvp__jepa_v2__temporal_attn__layer_40__seed_101,mvp__jepa_v2__temporal_attn__layer_40,train_eval.probe.mvp,MVP,mvp,main,V-JEPA 2,ViT-G/16,Attentive,temporal_attn,101,42,jepa_v2,vitg_384,40,,Final layer,tokens,1e-5,0.01,1,1,30,false,5,,,16,1,2.0,0.2,cuda,artifacts/probes/mvp,seed_runs_layerwise_main_attentive_mvp_v1/mvp__jepa_v2__temporal_attn__layer_40/seed_101,artifacts/results/mvp,seed_runs_layerwise_main_attentive_mvp_v1/mvp__jepa_v2__temporal_attn__layer_40/seed_101,seed_runs_layerwise_main_attentive_mvp_v1_mvp__jepa_v2__temporal_attn__layer_40,mvp__jepa_v2__temporal_attn__layer_40__seed_101,pending,,"[""seed=101"",""split.seed=42"",""backbone.name=jepa_v2"",""+backbone.kwargs.variant=vitg_384"",""probe.name=temporal_attn"",""probe.layer=40"",""probe.layers=[]"",""probe.feature_view=tokens"",""probe.device=cuda"",""probe.lr=1e-5"",""probe.weight_decay=0.01"",""probe.batch_size=1"",""probe.eval_batch_size=1"",""probe.epochs=30"",""probe.early_stopping.enabled=false"",""probe.early_stopping.patience=5"",""probe.optuna.enabled=false"",""probe.output_dir=artifacts/probes/mvp"",""probe.output_subdir=seed_runs_layerwise_main_attentive_mvp_v1/mvp__jepa_v2__temporal_attn__layer_40/seed_101"",""probe.eval_output_dir=artifacts/results/mvp"",""probe.eval_output_subdir=seed_runs_layerwise_main_attentive_mvp_v1/mvp__jepa_v2__temporal_attn__layer_40/seed_101"",""probe.wandb.group=seed_runs_layerwise_main_attentive_mvp_v1_mvp__jepa_v2__temporal_attn__layer_40"",""probe.wandb.name=mvp__jepa_v2__temporal_attn__layer_40__seed_101"",""probe.temporal_attn.num_heads=16"",""probe.temporal_attn.num_self_attn_blocks=1"",""probe.temporal_attn.mlp_ratio=2.0"",""probe.temporal_attn.dropout=0.2"",""feature_cache.include_tokens=true""]",results/verified_layerwise_probe_configs.csv,368,370,9c671ed7c89402da,VERIFIED_FULL,"{""batch_size"":1,""dropout"":0.2,""early_stopping"":{""enabled"":true,""patience"":5},""embed_dim"":null,""epochs"":30,""eval_batch_size"":1,""feature_view"":""tokens"",""layer"":40,""lr"":1e-05,""mlp_ratio"":2.0,""num_heads"":16,""num_self_attn_blocks"":1,""weight_decay"":0.01}",artifacts/probes/mvp/mvp_probe_temporal_attn_jepa_v2_vitg_384_config_recovery_seed42_lr_matrix/layer_40/lr_1e-5/train/train_summary.json
mvp__jepa_v2__temporal_attn__layer_40__seed_102,mvp__jepa_v2__temporal_attn__layer_40,train_eval.probe.mvp,MVP,mvp,main,V-JEPA 2,ViT-G/16,Attentive,temporal_attn,102,42,jepa_v2,vitg_384,40,,Final layer,tokens,1e-5,0.01,1,1,30,false,5,,,16,1,2.0,0.2,cuda,artifacts/probes/mvp,seed_runs_layerwise_main_attentive_mvp_v1/mvp__jepa_v2__temporal_attn__layer_40/seed_102,artifacts/results/mvp,seed_runs_layerwise_main_attentive_mvp_v1/mvp__jepa_v2__temporal_attn__layer_40/seed_102,seed_runs_layerwise_main_attentive_mvp_v1_mvp__jepa_v2__temporal_attn__layer_40,mvp__jepa_v2__temporal_attn__layer_40__seed_102,pending,,"[""seed=102"",""split.seed=42"",""backbone.name=jepa_v2"",""+backbone.kwargs.variant=vitg_384"",""probe.name=temporal_attn"",""probe.layer=40"",""probe.layers=[]"",""probe.feature_view=tokens"",""probe.device=cuda"",""probe.lr=1e-5"",""probe.weight_decay=0.01"",""probe.batch_size=1"",""probe.eval_batch_size=1"",""probe.epochs=30"",""probe.early_stopping.enabled=false"",""probe.early_stopping.patience=5"",""probe.optuna.enabled=false"",""probe.output_dir=artifacts/probes/mvp"",""probe.output_subdir=seed_runs_layerwise_main_attentive_mvp_v1/mvp__jepa_v2__temporal_attn__layer_40/seed_102"",""probe.eval_output_dir=artifacts/results/mvp"",""probe.eval_output_subdir=seed_runs_layerwise_main_attentive_mvp_v1/mvp__jepa_v2__temporal_attn__layer_40/seed_102"",""probe.wandb.group=seed_runs_layerwise_main_attentive_mvp_v1_mvp__jepa_v2__temporal_attn__layer_40"",""probe.wandb.name=mvp__jepa_v2__temporal_attn__layer_40__seed_102"",""probe.temporal_attn.num_heads=16"",""probe.temporal_attn.num_self_attn_blocks=1"",""probe.temporal_attn.mlp_ratio=2.0"",""probe.temporal_attn.dropout=0.2"",""feature_cache.include_tokens=true""]",results/verified_layerwise_probe_configs.csv,368,370,9c671ed7c89402da,VERIFIED_FULL,"{""batch_size"":1,""dropout"":0.2,""early_stopping"":{""enabled"":true,""patience"":5},""embed_dim"":null,""epochs"":30,""eval_batch_size"":1,""feature_view"":""tokens"",""layer"":40,""lr"":1e-05,""mlp_ratio"":2.0,""num_heads"":16,""num_self_attn_blocks"":1,""weight_decay"":0.01}",artifacts/probes/mvp/mvp_probe_temporal_attn_jepa_v2_vitg_384_config_recovery_seed42_lr_matrix/layer_40/lr_1e-5/train/train_summary.json
mvp__jepa_v2__temporal_attn__layer_10__seed_101,mvp__jepa_v2__temporal_attn__layer_10,train_eval.probe.mvp,MVP,mvp,main,V-JEPA 2,ViT-G/16,Attentive,temporal_attn,101,42,jepa_v2,vitg_384,10,,Layer 0.25,tokens,5e-5,0.01,1,1,30,false,5,,,16,1,2.0,0.2,cuda,artifacts/probes/mvp,seed_runs_layerwise_main_attentive_mvp_v1/mvp__jepa_v2__temporal_attn__layer_10/seed_101,artifacts/results/mvp,seed_runs_layerwise_main_attentive_mvp_v1/mvp__jepa_v2__temporal_attn__layer_10/seed_101,seed_runs_layerwise_main_attentive_mvp_v1_mvp__jepa_v2__temporal_attn__layer_10,mvp__jepa_v2__temporal_attn__layer_10__seed_101,pending,,"[""seed=101"",""split.seed=42"",""backbone.name=jepa_v2"",""+backbone.kwargs.variant=vitg_384"",""probe.name=temporal_attn"",""probe.layer=10"",""probe.layers=[]"",""probe.feature_view=tokens"",""probe.device=cuda"",""probe.lr=5e-5"",""probe.weight_decay=0.01"",""probe.batch_size=1"",""probe.eval_batch_size=1"",""probe.epochs=30"",""probe.early_stopping.enabled=false"",""probe.early_stopping.patience=5"",""probe.optuna.enabled=false"",""probe.output_dir=artifacts/probes/mvp"",""probe.output_subdir=seed_runs_layerwise_main_attentive_mvp_v1/mvp__jepa_v2__temporal_attn__layer_10/seed_101"",""probe.eval_output_dir=artifacts/results/mvp"",""probe.eval_output_subdir=seed_runs_layerwise_main_attentive_mvp_v1/mvp__jepa_v2__temporal_attn__layer_10/seed_101"",""probe.wandb.group=seed_runs_layerwise_main_attentive_mvp_v1_mvp__jepa_v2__temporal_attn__layer_10"",""probe.wandb.name=mvp__jepa_v2__temporal_attn__layer_10__seed_101"",""probe.temporal_attn.num_heads=16"",""probe.temporal_attn.num_self_attn_blocks=1"",""probe.temporal_attn.mlp_ratio=2.0"",""probe.temporal_attn.dropout=0.2"",""feature_cache.include_tokens=true""]",results/verified_layerwise_probe_configs.csv,369,371,0a375a902e18ddc4,VERIFIED_FULL,"{""batch_size"":1,""dropout"":0.2,""early_stopping"":{""enabled"":true,""patience"":5},""embed_dim"":null,""epochs"":30,""eval_batch_size"":1,""feature_view"":""tokens"",""layer"":10,""lr"":5e-05,""mlp_ratio"":2.0,""num_heads"":16,""num_self_attn_blocks"":1,""weight_decay"":0.01}",artifacts/probes/mvp/mvp_probe_temporal_attn_jepa_v2_vitg_384_config_recovery_seed42_lr_matrix/layer_10/lr_5e-5/train/train_summary.json
mvp__jepa_v2__temporal_attn__layer_10__seed_102,mvp__jepa_v2__temporal_attn__layer_10,train_eval.probe.mvp,MVP,mvp,main,V-JEPA 2,ViT-G/16,Attentive,temporal_attn,102,42,jepa_v2,vitg_384,10,,Layer 0.25,tokens,5e-5,0.01,1,1,30,false,5,,,16,1,2.0,0.2,cuda,artifacts/probes/mvp,seed_runs_layerwise_main_attentive_mvp_v1/mvp__jepa_v2__temporal_attn__layer_10/seed_102,artifacts/results/mvp,seed_runs_layerwise_main_attentive_mvp_v1/mvp__jepa_v2__temporal_attn__layer_10/seed_102,seed_runs_layerwise_main_attentive_mvp_v1_mvp__jepa_v2__temporal_attn__layer_10,mvp__jepa_v2__temporal_attn__layer_10__seed_102,pending,,"[""seed=102"",""split.seed=42"",""backbone.name=jepa_v2"",""+backbone.kwargs.variant=vitg_384"",""probe.name=temporal_attn"",""probe.layer=10"",""probe.layers=[]"",""probe.feature_view=tokens"",""probe.device=cuda"",""probe.lr=5e-5"",""probe.weight_decay=0.01"",""probe.batch_size=1"",""probe.eval_batch_size=1"",""probe.epochs=30"",""probe.early_stopping.enabled=false"",""probe.early_stopping.patience=5"",""probe.optuna.enabled=false"",""probe.output_dir=artifacts/probes/mvp"",""probe.output_subdir=seed_runs_layerwise_main_attentive_mvp_v1/mvp__jepa_v2__temporal_attn__layer_10/seed_102"",""probe.eval_output_dir=artifacts/results/mvp"",""probe.eval_output_subdir=seed_runs_layerwise_main_attentive_mvp_v1/mvp__jepa_v2__temporal_attn__layer_10/seed_102"",""probe.wandb.group=seed_runs_layerwise_main_attentive_mvp_v1_mvp__jepa_v2__temporal_attn__layer_10"",""probe.wandb.name=mvp__jepa_v2__temporal_attn__layer_10__seed_102"",""probe.temporal_attn.num_heads=16"",""probe.temporal_attn.num_self_attn_blocks=1"",""probe.temporal_attn.mlp_ratio=2.0"",""probe.temporal_attn.dropout=0.2"",""feature_cache.include_tokens=true""]",results/verified_layerwise_probe_configs.csv,369,371,0a375a902e18ddc4,VERIFIED_FULL,"{""batch_size"":1,""dropout"":0.2,""early_stopping"":{""enabled"":true,""patience"":5},""embed_dim"":null,""epochs"":30,""eval_batch_size"":1,""feature_view"":""tokens"",""layer"":10,""lr"":5e-05,""mlp_ratio"":2.0,""num_heads"":16,""num_self_attn_blocks"":1,""weight_decay"":0.01}",artifacts/probes/mvp/mvp_probe_temporal_attn_jepa_v2_vitg_384_config_recovery_seed42_lr_matrix/layer_10/lr_5e-5/train/train_summary.json
mvp__jepa_v2__temporal_attn__layer_20__seed_101,mvp__jepa_v2__temporal_attn__layer_20,train_eval.probe.mvp,MVP,mvp,main,V-JEPA 2,ViT-G/16,Attentive,temporal_attn,101,42,jepa_v2,vitg_384,20,,Layer 0.5,tokens,5e-5,0.01,1,1,30,false,5,,,16,1,2.0,0.2,cuda,artifacts/probes/mvp,seed_runs_layerwise_main_attentive_mvp_v1/mvp__jepa_v2__temporal_attn__layer_20/seed_101,artifacts/results/mvp,seed_runs_layerwise_main_attentive_mvp_v1/mvp__jepa_v2__temporal_attn__layer_20/seed_101,seed_runs_layerwise_main_attentive_mvp_v1_mvp__jepa_v2__temporal_attn__layer_20,mvp__jepa_v2__temporal_attn__layer_20__seed_101,pending,,"[""seed=101"",""split.seed=42"",""backbone.name=jepa_v2"",""+backbone.kwargs.variant=vitg_384"",""probe.name=temporal_attn"",""probe.layer=20"",""probe.layers=[]"",""probe.feature_view=tokens"",""probe.device=cuda"",""probe.lr=5e-5"",""probe.weight_decay=0.01"",""probe.batch_size=1"",""probe.eval_batch_size=1"",""probe.epochs=30"",""probe.early_stopping.enabled=false"",""probe.early_stopping.patience=5"",""probe.optuna.enabled=false"",""probe.output_dir=artifacts/probes/mvp"",""probe.output_subdir=seed_runs_layerwise_main_attentive_mvp_v1/mvp__jepa_v2__temporal_attn__layer_20/seed_101"",""probe.eval_output_dir=artifacts/results/mvp"",""probe.eval_output_subdir=seed_runs_layerwise_main_attentive_mvp_v1/mvp__jepa_v2__temporal_attn__layer_20/seed_101"",""probe.wandb.group=seed_runs_layerwise_main_attentive_mvp_v1_mvp__jepa_v2__temporal_attn__layer_20"",""probe.wandb.name=mvp__jepa_v2__temporal_attn__layer_20__seed_101"",""probe.temporal_attn.num_heads=16"",""probe.temporal_attn.num_self_attn_blocks=1"",""probe.temporal_attn.mlp_ratio=2.0"",""probe.temporal_attn.dropout=0.2"",""feature_cache.include_tokens=true""]",results/verified_layerwise_probe_configs.csv,370,372,62f87b9fe84b6f18,VERIFIED_FULL,"{""batch_size"":1,""dropout"":0.2,""early_stopping"":{""enabled"":true,""patience"":5},""embed_dim"":null,""epochs"":30,""eval_batch_size"":1,""feature_view"":""tokens"",""layer"":20,""lr"":5e-05,""mlp_ratio"":2.0,""num_heads"":16,""num_self_attn_blocks"":1,""weight_decay"":0.01}",artifacts/probes/mvp/mvp_probe_temporal_attn_jepa_v2_vitg_384_config_recovery_seed42_lr_matrix/layer_20/lr_5e-5/train/train_summary.json
mvp__jepa_v2__temporal_attn__layer_20__seed_102,mvp__jepa_v2__temporal_attn__layer_20,train_eval.probe.mvp,MVP,mvp,main,V-JEPA 2,ViT-G/16,Attentive,temporal_attn,102,42,jepa_v2,vitg_384,20,,Layer 0.5,tokens,5e-5,0.01,1,1,30,false,5,,,16,1,2.0,0.2,cuda,artifacts/probes/mvp,seed_runs_layerwise_main_attentive_mvp_v1/mvp__jepa_v2__temporal_attn__layer_20/seed_102,artifacts/results/mvp,seed_runs_layerwise_main_attentive_mvp_v1/mvp__jepa_v2__temporal_attn__layer_20/seed_102,seed_runs_layerwise_main_attentive_mvp_v1_mvp__jepa_v2__temporal_attn__layer_20,mvp__jepa_v2__temporal_attn__layer_20__seed_102,pending,,"[""seed=102"",""split.seed=42"",""backbone.name=jepa_v2"",""+backbone.kwargs.variant=vitg_384"",""probe.name=temporal_attn"",""probe.layer=20"",""probe.layers=[]"",""probe.feature_view=tokens"",""probe.device=cuda"",""probe.lr=5e-5"",""probe.weight_decay=0.01"",""probe.batch_size=1"",""probe.eval_batch_size=1"",""probe.epochs=30"",""probe.early_stopping.enabled=false"",""probe.early_stopping.patience=5"",""probe.optuna.enabled=false"",""probe.output_dir=artifacts/probes/mvp"",""probe.output_subdir=seed_runs_layerwise_main_attentive_mvp_v1/mvp__jepa_v2__temporal_attn__layer_20/seed_102"",""probe.eval_output_dir=artifacts/results/mvp"",""probe.eval_output_subdir=seed_runs_layerwise_main_attentive_mvp_v1/mvp__jepa_v2__temporal_attn__layer_20/seed_102"",""probe.wandb.group=seed_runs_layerwise_main_attentive_mvp_v1_mvp__jepa_v2__temporal_attn__layer_20"",""probe.wandb.name=mvp__jepa_v2__temporal_attn__layer_20__seed_102"",""probe.temporal_attn.num_heads=16"",""probe.temporal_attn.num_self_attn_blocks=1"",""probe.temporal_attn.mlp_ratio=2.0"",""probe.temporal_attn.dropout=0.2"",""feature_cache.include_tokens=true""]",results/verified_layerwise_probe_configs.csv,370,372,62f87b9fe84b6f18,VERIFIED_FULL,"{""batch_size"":1,""dropout"":0.2,""early_stopping"":{""enabled"":true,""patience"":5},""embed_dim"":null,""epochs"":30,""eval_batch_size"":1,""feature_view"":""tokens"",""layer"":20,""lr"":5e-05,""mlp_ratio"":2.0,""num_heads"":16,""num_self_attn_blocks"":1,""weight_decay"":0.01}",artifacts/probes/mvp/mvp_probe_temporal_attn_jepa_v2_vitg_384_config_recovery_seed42_lr_matrix/layer_20/lr_5e-5/train/train_summary.json
mvp__jepa_v2__temporal_attn__layer_30__seed_101,mvp__jepa_v2__temporal_attn__layer_30,train_eval.probe.mvp,MVP,mvp,main,V-JEPA 2,ViT-G/16,Attentive,temporal_attn,101,42,jepa_v2,vitg_384,30,,Layer 0.75,tokens,1e-5,0.01,1,1,30,false,5,,,16,1,2.0,0.2,cuda,artifacts/probes/mvp,seed_runs_layerwise_main_attentive_mvp_v1/mvp__jepa_v2__temporal_attn__layer_30/seed_101,artifacts/results/mvp,seed_runs_layerwise_main_attentive_mvp_v1/mvp__jepa_v2__temporal_attn__layer_30/seed_101,seed_runs_layerwise_main_attentive_mvp_v1_mvp__jepa_v2__temporal_attn__layer_30,mvp__jepa_v2__temporal_attn__layer_30__seed_101,pending,,"[""seed=101"",""split.seed=42"",""backbone.name=jepa_v2"",""+backbone.kwargs.variant=vitg_384"",""probe.name=temporal_attn"",""probe.layer=30"",""probe.layers=[]"",""probe.feature_view=tokens"",""probe.device=cuda"",""probe.lr=1e-5"",""probe.weight_decay=0.01"",""probe.batch_size=1"",""probe.eval_batch_size=1"",""probe.epochs=30"",""probe.early_stopping.enabled=false"",""probe.early_stopping.patience=5"",""probe.optuna.enabled=false"",""probe.output_dir=artifacts/probes/mvp"",""probe.output_subdir=seed_runs_layerwise_main_attentive_mvp_v1/mvp__jepa_v2__temporal_attn__layer_30/seed_101"",""probe.eval_output_dir=artifacts/results/mvp"",""probe.eval_output_subdir=seed_runs_layerwise_main_attentive_mvp_v1/mvp__jepa_v2__temporal_attn__layer_30/seed_101"",""probe.wandb.group=seed_runs_layerwise_main_attentive_mvp_v1_mvp__jepa_v2__temporal_attn__layer_30"",""probe.wandb.name=mvp__jepa_v2__temporal_attn__layer_30__seed_101"",""probe.temporal_attn.num_heads=16"",""probe.temporal_attn.num_self_attn_blocks=1"",""probe.temporal_attn.mlp_ratio=2.0"",""probe.temporal_attn.dropout=0.2"",""feature_cache.include_tokens=true""]",results/verified_layerwise_probe_configs.csv,371,373,457f24919511a9e6,VERIFIED_FULL,"{""batch_size"":1,""dropout"":0.2,""early_stopping"":{""enabled"":true,""patience"":5},""embed_dim"":null,""epochs"":30,""eval_batch_size"":1,""feature_view"":""tokens"",""layer"":30,""lr"":1e-05,""mlp_ratio"":2.0,""num_heads"":16,""num_self_attn_blocks"":1,""weight_decay"":0.01}",artifacts/probes/mvp/mvp_probe_temporal_attn_jepa_v2_vitg_384_config_recovery_seed42_lr_matrix/layer_30/lr_1e-5/train/train_summary.json
mvp__jepa_v2__temporal_attn__layer_30__seed_102,mvp__jepa_v2__temporal_attn__layer_30,train_eval.probe.mvp,MVP,mvp,main,V-JEPA 2,ViT-G/16,Attentive,temporal_attn,102,42,jepa_v2,vitg_384,30,,Layer 0.75,tokens,1e-5,0.01,1,1,30,false,5,,,16,1,2.0,0.2,cuda,artifacts/probes/mvp,seed_runs_layerwise_main_attentive_mvp_v1/mvp__jepa_v2__temporal_attn__layer_30/seed_102,artifacts/results/mvp,seed_runs_layerwise_main_attentive_mvp_v1/mvp__jepa_v2__temporal_attn__layer_30/seed_102,seed_runs_layerwise_main_attentive_mvp_v1_mvp__jepa_v2__temporal_attn__layer_30,mvp__jepa_v2__temporal_attn__layer_30__seed_102,pending,,"[""seed=102"",""split.seed=42"",""backbone.name=jepa_v2"",""+backbone.kwargs.variant=vitg_384"",""probe.name=temporal_attn"",""probe.layer=30"",""probe.layers=[]"",""probe.feature_view=tokens"",""probe.device=cuda"",""probe.lr=1e-5"",""probe.weight_decay=0.01"",""probe.batch_size=1"",""probe.eval_batch_size=1"",""probe.epochs=30"",""probe.early_stopping.enabled=false"",""probe.early_stopping.patience=5"",""probe.optuna.enabled=false"",""probe.output_dir=artifacts/probes/mvp"",""probe.output_subdir=seed_runs_layerwise_main_attentive_mvp_v1/mvp__jepa_v2__temporal_attn__layer_30/seed_102"",""probe.eval_output_dir=artifacts/results/mvp"",""probe.eval_output_subdir=seed_runs_layerwise_main_attentive_mvp_v1/mvp__jepa_v2__temporal_attn__layer_30/seed_102"",""probe.wandb.group=seed_runs_layerwise_main_attentive_mvp_v1_mvp__jepa_v2__temporal_attn__layer_30"",""probe.wandb.name=mvp__jepa_v2__temporal_attn__layer_30__seed_102"",""probe.temporal_attn.num_heads=16"",""probe.temporal_attn.num_self_attn_blocks=1"",""probe.temporal_attn.mlp_ratio=2.0"",""probe.temporal_attn.dropout=0.2"",""feature_cache.include_tokens=true""]",results/verified_layerwise_probe_configs.csv,371,373,457f24919511a9e6,VERIFIED_FULL,"{""batch_size"":1,""dropout"":0.2,""early_stopping"":{""enabled"":true,""patience"":5},""embed_dim"":null,""epochs"":30,""eval_batch_size"":1,""feature_view"":""tokens"",""layer"":30,""lr"":1e-05,""mlp_ratio"":2.0,""num_heads"":16,""num_self_attn_blocks"":1,""weight_decay"":0.01}",artifacts/probes/mvp/mvp_probe_temporal_attn_jepa_v2_vitg_384_config_recovery_seed42_lr_matrix/layer_30/lr_1e-5/train/train_summary.json
mvp__videomae__temporal_attn__layer_32__seed_101,mvp__videomae__temporal_attn__layer_32,train_eval.probe.mvp,MVP,mvp,main,VideoMAE,ViT-H/16,Attentive,temporal_attn,101,42,videomae,vit_huge_16_224,32,,Final layer,tokens,5e-05,0.01,2,2,30,false,5,,,16,1,2.0,0.2,cuda,artifacts/probes/mvp,seed_runs_layerwise_main_attentive_mvp_v1/mvp__videomae__temporal_attn__layer_32/seed_101,artifacts/results/mvp,seed_runs_layerwise_main_attentive_mvp_v1/mvp__videomae__temporal_attn__layer_32/seed_101,seed_runs_layerwise_main_attentive_mvp_v1_mvp__videomae__temporal_attn__layer_32,mvp__videomae__temporal_attn__layer_32__seed_101,pending,,"[""seed=101"",""split.seed=42"",""backbone.name=videomae"",""+backbone.kwargs.variant=vit_huge_16_224"",""probe.name=temporal_attn"",""probe.layer=32"",""probe.layers=[]"",""probe.feature_view=tokens"",""probe.device=cuda"",""probe.lr=5e-05"",""probe.weight_decay=0.01"",""probe.batch_size=2"",""probe.eval_batch_size=2"",""probe.epochs=30"",""probe.early_stopping.enabled=false"",""probe.early_stopping.patience=5"",""probe.optuna.enabled=false"",""probe.output_dir=artifacts/probes/mvp"",""probe.output_subdir=seed_runs_layerwise_main_attentive_mvp_v1/mvp__videomae__temporal_attn__layer_32/seed_101"",""probe.eval_output_dir=artifacts/results/mvp"",""probe.eval_output_subdir=seed_runs_layerwise_main_attentive_mvp_v1/mvp__videomae__temporal_attn__layer_32/seed_101"",""probe.wandb.group=seed_runs_layerwise_main_attentive_mvp_v1_mvp__videomae__temporal_attn__layer_32"",""probe.wandb.name=mvp__videomae__temporal_attn__layer_32__seed_101"",""probe.temporal_attn.num_heads=16"",""probe.temporal_attn.num_self_attn_blocks=1"",""probe.temporal_attn.mlp_ratio=2.0"",""probe.temporal_attn.dropout=0.2"",""feature_cache.include_tokens=true""]",results/verified_layerwise_probe_configs.csv,440,442,5244a215deb619e2,VERIFIED_FULL,"{""batch_size"":2,""dropout"":0.2,""early_stopping"":{""enabled"":true,""patience"":5},""embed_dim"":null,""epochs"":30,""eval_batch_size"":2,""feature_view"":""tokens"",""layer"":32,""lr"":5e-05,""mlp_ratio"":2.0,""num_heads"":16,""num_self_attn_blocks"":1,""slot"":null,""weight_decay"":0.01}",
mvp__videomae__temporal_attn__layer_32__seed_102,mvp__videomae__temporal_attn__layer_32,train_eval.probe.mvp,MVP,mvp,main,VideoMAE,ViT-H/16,Attentive,temporal_attn,102,42,videomae,vit_huge_16_224,32,,Final layer,tokens,5e-05,0.01,2,2,30,false,5,,,16,1,2.0,0.2,cuda,artifacts/probes/mvp,seed_runs_layerwise_main_attentive_mvp_v1/mvp__videomae__temporal_attn__layer_32/seed_102,artifacts/results/mvp,seed_runs_layerwise_main_attentive_mvp_v1/mvp__videomae__temporal_attn__layer_32/seed_102,seed_runs_layerwise_main_attentive_mvp_v1_mvp__videomae__temporal_attn__layer_32,mvp__videomae__temporal_attn__layer_32__seed_102,pending,,"[""seed=102"",""split.seed=42"",""backbone.name=videomae"",""+backbone.kwargs.variant=vit_huge_16_224"",""probe.name=temporal_attn"",""probe.layer=32"",""probe.layers=[]"",""probe.feature_view=tokens"",""probe.device=cuda"",""probe.lr=5e-05"",""probe.weight_decay=0.01"",""probe.batch_size=2"",""probe.eval_batch_size=2"",""probe.epochs=30"",""probe.early_stopping.enabled=false"",""probe.early_stopping.patience=5"",""probe.optuna.enabled=false"",""probe.output_dir=artifacts/probes/mvp"",""probe.output_subdir=seed_runs_layerwise_main_attentive_mvp_v1/mvp__videomae__temporal_attn__layer_32/seed_102"",""probe.eval_output_dir=artifacts/results/mvp"",""probe.eval_output_subdir=seed_runs_layerwise_main_attentive_mvp_v1/mvp__videomae__temporal_attn__layer_32/seed_102"",""probe.wandb.group=seed_runs_layerwise_main_attentive_mvp_v1_mvp__videomae__temporal_attn__layer_32"",""probe.wandb.name=mvp__videomae__temporal_attn__layer_32__seed_102"",""probe.temporal_attn.num_heads=16"",""probe.temporal_attn.num_self_attn_blocks=1"",""probe.temporal_attn.mlp_ratio=2.0"",""probe.temporal_attn.dropout=0.2"",""feature_cache.include_tokens=true""]",results/verified_layerwise_probe_configs.csv,440,442,5244a215deb619e2,VERIFIED_FULL,"{""batch_size"":2,""dropout"":0.2,""early_stopping"":{""enabled"":true,""patience"":5},""embed_dim"":null,""epochs"":30,""eval_batch_size"":2,""feature_view"":""tokens"",""layer"":32,""lr"":5e-05,""mlp_ratio"":2.0,""num_heads"":16,""num_self_attn_blocks"":1,""slot"":null,""weight_decay"":0.01}",
