run_id,config_id,run_command,dataset,dataset_hydra,experiment,model,backbone,probe,probe_hydra,seed,original_seed,backbone_name,backbone_variant,layer,selected_slot,layer_label,feature_view,lr,weight_decay,batch_size,eval_batch_size,epochs,early_stopping_enabled,early_stopping_patience,mlp_hidden_dims,mlp_dropout,temporal_num_heads,temporal_num_self_attn_blocks,temporal_mlp_ratio,temporal_dropout,probe_device,probe_output_dir,probe_output_subdir,eval_output_dir,eval_output_subdir,wandb_group,wandb_name,status,blocked_reason,hydra_overrides_json,source_csv_path,source_csv_row_index,source_csv_line_number,source_row_sha256,source_config_status,source_config_json,source_evidence_path
intphys2__jepa_v1__linear__layer_32__seed_101,intphys2__jepa_v1__linear__layer_32,train_eval.probe.intphys2,IntPhys2,intphys2,main,V-JEPA,ViT-H/16,Linear,linear,101,42,jepa_v1,vith16_384,32,,Final layer,pooled,0.0001329291894316216,0.005061576888752304,32,1024,2000,false,5,,,,,,,cpu,artifacts/probes/intphys2,seed_runs_layerwise_v1/intphys2__jepa_v1__linear__layer_32/seed_101,artifacts/results/intphys2,seed_runs_layerwise_v1/intphys2__jepa_v1__linear__layer_32/seed_101,seed_runs_layerwise_v1_intphys2__jepa_v1__linear__layer_32,intphys2__jepa_v1__linear__layer_32__seed_101,pending,,"[""seed=101"",""split.seed=42"",""backbone.name=jepa_v1"",""+backbone.kwargs.variant=vith16_384"",""probe.name=linear"",""probe.layer=32"",""probe.layers=[]"",""probe.feature_view=pooled"",""probe.device=cpu"",""probe.lr=0.0001329291894316216"",""probe.weight_decay=0.005061576888752304"",""probe.batch_size=32"",""probe.eval_batch_size=1024"",""probe.epochs=2000"",""probe.early_stopping.enabled=false"",""probe.early_stopping.patience=5"",""probe.optuna.enabled=false"",""probe.output_dir=artifacts/probes/intphys2"",""probe.output_subdir=seed_runs_layerwise_v1/intphys2__jepa_v1__linear__layer_32/seed_101"",""probe.eval_output_dir=artifacts/results/intphys2"",""probe.eval_output_subdir=seed_runs_layerwise_v1/intphys2__jepa_v1__linear__layer_32/seed_101"",""probe.wandb.group=seed_runs_layerwise_v1_intphys2__jepa_v1__linear__layer_32"",""probe.wandb.name=intphys2__jepa_v1__linear__layer_32__seed_101""]",results/verified_layerwise_probe_configs.csv,12,14,21ae4707964c2ebc,VERIFIED_FULL,"{""batch_size"":32,""early_stopping"":{""enabled"":true,""patience"":5},""epochs"":2000,""feature_view"":""pooled"",""layer"":32,""lr"":0.0001329291894316216,""slot"":null,""weight_decay"":0.005061576888752304}",output/training/intphys2/linear/intphys2_jepa_v1_linear_layers_22261451.out
intphys2__jepa_v1__linear__layer_32__seed_102,intphys2__jepa_v1__linear__layer_32,train_eval.probe.intphys2,IntPhys2,intphys2,main,V-JEPA,ViT-H/16,Linear,linear,102,42,jepa_v1,vith16_384,32,,Final layer,pooled,0.0001329291894316216,0.005061576888752304,32,1024,2000,false,5,,,,,,,cpu,artifacts/probes/intphys2,seed_runs_layerwise_v1/intphys2__jepa_v1__linear__layer_32/seed_102,artifacts/results/intphys2,seed_runs_layerwise_v1/intphys2__jepa_v1__linear__layer_32/seed_102,seed_runs_layerwise_v1_intphys2__jepa_v1__linear__layer_32,intphys2__jepa_v1__linear__layer_32__seed_102,pending,,"[""seed=102"",""split.seed=42"",""backbone.name=jepa_v1"",""+backbone.kwargs.variant=vith16_384"",""probe.name=linear"",""probe.layer=32"",""probe.layers=[]"",""probe.feature_view=pooled"",""probe.device=cpu"",""probe.lr=0.0001329291894316216"",""probe.weight_decay=0.005061576888752304"",""probe.batch_size=32"",""probe.eval_batch_size=1024"",""probe.epochs=2000"",""probe.early_stopping.enabled=false"",""probe.early_stopping.patience=5"",""probe.optuna.enabled=false"",""probe.output_dir=artifacts/probes/intphys2"",""probe.output_subdir=seed_runs_layerwise_v1/intphys2__jepa_v1__linear__layer_32/seed_102"",""probe.eval_output_dir=artifacts/results/intphys2"",""probe.eval_output_subdir=seed_runs_layerwise_v1/intphys2__jepa_v1__linear__layer_32/seed_102"",""probe.wandb.group=seed_runs_layerwise_v1_intphys2__jepa_v1__linear__layer_32"",""probe.wandb.name=intphys2__jepa_v1__linear__layer_32__seed_102""]",results/verified_layerwise_probe_configs.csv,12,14,21ae4707964c2ebc,VERIFIED_FULL,"{""batch_size"":32,""early_stopping"":{""enabled"":true,""patience"":5},""epochs"":2000,""feature_view"":""pooled"",""layer"":32,""lr"":0.0001329291894316216,""slot"":null,""weight_decay"":0.005061576888752304}",output/training/intphys2/linear/intphys2_jepa_v1_linear_layers_22261451.out
intphys2__jepa_v1__linear__layer_8__seed_101,intphys2__jepa_v1__linear__layer_8,train_eval.probe.intphys2,IntPhys2,intphys2,main,V-JEPA,ViT-H/16,Linear,linear,101,42,jepa_v1,vith16_384,8,,Layer 0.25,pooled,0.0003699972431463808,3.6749049453053196e-06,256,1024,100,false,5,,,,,,,cpu,artifacts/probes/intphys2,seed_runs_layerwise_v1/intphys2__jepa_v1__linear__layer_8/seed_101,artifacts/results/intphys2,seed_runs_layerwise_v1/intphys2__jepa_v1__linear__layer_8/seed_101,seed_runs_layerwise_v1_intphys2__jepa_v1__linear__layer_8,intphys2__jepa_v1__linear__layer_8__seed_101,pending,,"[""seed=101"",""split.seed=42"",""backbone.name=jepa_v1"",""+backbone.kwargs.variant=vith16_384"",""probe.name=linear"",""probe.layer=8"",""probe.layers=[]"",""probe.feature_view=pooled"",""probe.device=cpu"",""probe.lr=0.0003699972431463808"",""probe.weight_decay=3.6749049453053196e-06"",""probe.batch_size=256"",""probe.eval_batch_size=1024"",""probe.epochs=100"",""probe.early_stopping.enabled=false"",""probe.early_stopping.patience=5"",""probe.optuna.enabled=false"",""probe.output_dir=artifacts/probes/intphys2"",""probe.output_subdir=seed_runs_layerwise_v1/intphys2__jepa_v1__linear__layer_8/seed_101"",""probe.eval_output_dir=artifacts/results/intphys2"",""probe.eval_output_subdir=seed_runs_layerwise_v1/intphys2__jepa_v1__linear__layer_8/seed_101"",""probe.wandb.group=seed_runs_layerwise_v1_intphys2__jepa_v1__linear__layer_8"",""probe.wandb.name=intphys2__jepa_v1__linear__layer_8__seed_101""]",results/verified_layerwise_probe_configs.csv,13,15,c532575cb520aad9,VERIFIED_FULL,"{""batch_size"":256,""early_stopping"":{""enabled"":true,""patience"":5},""epochs"":100,""feature_view"":""pooled"",""layer"":8,""lr"":0.0003699972431463808,""slot"":null,""weight_decay"":3.6749049453053196e-06}",output/training/intphys2/linear/intphys2_jepa_v1_linear_layers_22261451.out
intphys2__jepa_v1__linear__layer_8__seed_102,intphys2__jepa_v1__linear__layer_8,train_eval.probe.intphys2,IntPhys2,intphys2,main,V-JEPA,ViT-H/16,Linear,linear,102,42,jepa_v1,vith16_384,8,,Layer 0.25,pooled,0.0003699972431463808,3.6749049453053196e-06,256,1024,100,false,5,,,,,,,cpu,artifacts/probes/intphys2,seed_runs_layerwise_v1/intphys2__jepa_v1__linear__layer_8/seed_102,artifacts/results/intphys2,seed_runs_layerwise_v1/intphys2__jepa_v1__linear__layer_8/seed_102,seed_runs_layerwise_v1_intphys2__jepa_v1__linear__layer_8,intphys2__jepa_v1__linear__layer_8__seed_102,pending,,"[""seed=102"",""split.seed=42"",""backbone.name=jepa_v1"",""+backbone.kwargs.variant=vith16_384"",""probe.name=linear"",""probe.layer=8"",""probe.layers=[]"",""probe.feature_view=pooled"",""probe.device=cpu"",""probe.lr=0.0003699972431463808"",""probe.weight_decay=3.6749049453053196e-06"",""probe.batch_size=256"",""probe.eval_batch_size=1024"",""probe.epochs=100"",""probe.early_stopping.enabled=false"",""probe.early_stopping.patience=5"",""probe.optuna.enabled=false"",""probe.output_dir=artifacts/probes/intphys2"",""probe.output_subdir=seed_runs_layerwise_v1/intphys2__jepa_v1__linear__layer_8/seed_102"",""probe.eval_output_dir=artifacts/results/intphys2"",""probe.eval_output_subdir=seed_runs_layerwise_v1/intphys2__jepa_v1__linear__layer_8/seed_102"",""probe.wandb.group=seed_runs_layerwise_v1_intphys2__jepa_v1__linear__layer_8"",""probe.wandb.name=intphys2__jepa_v1__linear__layer_8__seed_102""]",results/verified_layerwise_probe_configs.csv,13,15,c532575cb520aad9,VERIFIED_FULL,"{""batch_size"":256,""early_stopping"":{""enabled"":true,""patience"":5},""epochs"":100,""feature_view"":""pooled"",""layer"":8,""lr"":0.0003699972431463808,""slot"":null,""weight_decay"":3.6749049453053196e-06}",output/training/intphys2/linear/intphys2_jepa_v1_linear_layers_22261451.out
intphys2__jepa_v1__linear__layer_16__seed_101,intphys2__jepa_v1__linear__layer_16,train_eval.probe.intphys2,IntPhys2,intphys2,main,V-JEPA,ViT-H/16,Linear,linear,101,42,jepa_v1,vith16_384,16,,Layer 0.5,pooled,0.005680619932086539,6.2989172362875366e-06,64,1024,2000,false,5,,,,,,,cpu,artifacts/probes/intphys2,seed_runs_layerwise_v1/intphys2__jepa_v1__linear__layer_16/seed_101,artifacts/results/intphys2,seed_runs_layerwise_v1/intphys2__jepa_v1__linear__layer_16/seed_101,seed_runs_layerwise_v1_intphys2__jepa_v1__linear__layer_16,intphys2__jepa_v1__linear__layer_16__seed_101,pending,,"[""seed=101"",""split.seed=42"",""backbone.name=jepa_v1"",""+backbone.kwargs.variant=vith16_384"",""probe.name=linear"",""probe.layer=16"",""probe.layers=[]"",""probe.feature_view=pooled"",""probe.device=cpu"",""probe.lr=0.005680619932086539"",""probe.weight_decay=6.2989172362875366e-06"",""probe.batch_size=64"",""probe.eval_batch_size=1024"",""probe.epochs=2000"",""probe.early_stopping.enabled=false"",""probe.early_stopping.patience=5"",""probe.optuna.enabled=false"",""probe.output_dir=artifacts/probes/intphys2"",""probe.output_subdir=seed_runs_layerwise_v1/intphys2__jepa_v1__linear__layer_16/seed_101"",""probe.eval_output_dir=artifacts/results/intphys2"",""probe.eval_output_subdir=seed_runs_layerwise_v1/intphys2__jepa_v1__linear__layer_16/seed_101"",""probe.wandb.group=seed_runs_layerwise_v1_intphys2__jepa_v1__linear__layer_16"",""probe.wandb.name=intphys2__jepa_v1__linear__layer_16__seed_101""]",results/verified_layerwise_probe_configs.csv,14,16,e26f57a42d6172a3,VERIFIED_FULL,"{""batch_size"":64,""early_stopping"":{""enabled"":true,""patience"":5},""epochs"":2000,""feature_view"":""pooled"",""layer"":16,""lr"":0.005680619932086539,""slot"":null,""weight_decay"":6.2989172362875366e-06}",output/training/intphys2/linear/intphys2_jepa_v1_linear_layers_22261451.out
intphys2__jepa_v1__linear__layer_16__seed_102,intphys2__jepa_v1__linear__layer_16,train_eval.probe.intphys2,IntPhys2,intphys2,main,V-JEPA,ViT-H/16,Linear,linear,102,42,jepa_v1,vith16_384,16,,Layer 0.5,pooled,0.005680619932086539,6.2989172362875366e-06,64,1024,2000,false,5,,,,,,,cpu,artifacts/probes/intphys2,seed_runs_layerwise_v1/intphys2__jepa_v1__linear__layer_16/seed_102,artifacts/results/intphys2,seed_runs_layerwise_v1/intphys2__jepa_v1__linear__layer_16/seed_102,seed_runs_layerwise_v1_intphys2__jepa_v1__linear__layer_16,intphys2__jepa_v1__linear__layer_16__seed_102,pending,,"[""seed=102"",""split.seed=42"",""backbone.name=jepa_v1"",""+backbone.kwargs.variant=vith16_384"",""probe.name=linear"",""probe.layer=16"",""probe.layers=[]"",""probe.feature_view=pooled"",""probe.device=cpu"",""probe.lr=0.005680619932086539"",""probe.weight_decay=6.2989172362875366e-06"",""probe.batch_size=64"",""probe.eval_batch_size=1024"",""probe.epochs=2000"",""probe.early_stopping.enabled=false"",""probe.early_stopping.patience=5"",""probe.optuna.enabled=false"",""probe.output_dir=artifacts/probes/intphys2"",""probe.output_subdir=seed_runs_layerwise_v1/intphys2__jepa_v1__linear__layer_16/seed_102"",""probe.eval_output_dir=artifacts/results/intphys2"",""probe.eval_output_subdir=seed_runs_layerwise_v1/intphys2__jepa_v1__linear__layer_16/seed_102"",""probe.wandb.group=seed_runs_layerwise_v1_intphys2__jepa_v1__linear__layer_16"",""probe.wandb.name=intphys2__jepa_v1__linear__layer_16__seed_102""]",results/verified_layerwise_probe_configs.csv,14,16,e26f57a42d6172a3,VERIFIED_FULL,"{""batch_size"":64,""early_stopping"":{""enabled"":true,""patience"":5},""epochs"":2000,""feature_view"":""pooled"",""layer"":16,""lr"":0.005680619932086539,""slot"":null,""weight_decay"":6.2989172362875366e-06}",output/training/intphys2/linear/intphys2_jepa_v1_linear_layers_22261451.out
intphys2__jepa_v1__linear__layer_24__seed_101,intphys2__jepa_v1__linear__layer_24,train_eval.probe.intphys2,IntPhys2,intphys2,main,V-JEPA,ViT-H/16,Linear,linear,101,42,jepa_v1,vith16_384,24,,Layer 0.75,pooled,0.002216476552485099,5.991763284171463e-05,64,1024,100,false,5,,,,,,,cpu,artifacts/probes/intphys2,seed_runs_layerwise_v1/intphys2__jepa_v1__linear__layer_24/seed_101,artifacts/results/intphys2,seed_runs_layerwise_v1/intphys2__jepa_v1__linear__layer_24/seed_101,seed_runs_layerwise_v1_intphys2__jepa_v1__linear__layer_24,intphys2__jepa_v1__linear__layer_24__seed_101,pending,,"[""seed=101"",""split.seed=42"",""backbone.name=jepa_v1"",""+backbone.kwargs.variant=vith16_384"",""probe.name=linear"",""probe.layer=24"",""probe.layers=[]"",""probe.feature_view=pooled"",""probe.device=cpu"",""probe.lr=0.002216476552485099"",""probe.weight_decay=5.991763284171463e-05"",""probe.batch_size=64"",""probe.eval_batch_size=1024"",""probe.epochs=100"",""probe.early_stopping.enabled=false"",""probe.early_stopping.patience=5"",""probe.optuna.enabled=false"",""probe.output_dir=artifacts/probes/intphys2"",""probe.output_subdir=seed_runs_layerwise_v1/intphys2__jepa_v1__linear__layer_24/seed_101"",""probe.eval_output_dir=artifacts/results/intphys2"",""probe.eval_output_subdir=seed_runs_layerwise_v1/intphys2__jepa_v1__linear__layer_24/seed_101"",""probe.wandb.group=seed_runs_layerwise_v1_intphys2__jepa_v1__linear__layer_24"",""probe.wandb.name=intphys2__jepa_v1__linear__layer_24__seed_101""]",results/verified_layerwise_probe_configs.csv,15,17,c867c0a149f6cabb,VERIFIED_FULL,"{""batch_size"":64,""early_stopping"":{""enabled"":true,""patience"":5},""epochs"":100,""feature_view"":""pooled"",""layer"":24,""lr"":0.002216476552485099,""slot"":null,""weight_decay"":5.991763284171463e-05}",output/training/intphys2/linear/intphys2_jepa_v1_linear_layers_22261451.out
intphys2__jepa_v1__linear__layer_24__seed_102,intphys2__jepa_v1__linear__layer_24,train_eval.probe.intphys2,IntPhys2,intphys2,main,V-JEPA,ViT-H/16,Linear,linear,102,42,jepa_v1,vith16_384,24,,Layer 0.75,pooled,0.002216476552485099,5.991763284171463e-05,64,1024,100,false,5,,,,,,,cpu,artifacts/probes/intphys2,seed_runs_layerwise_v1/intphys2__jepa_v1__linear__layer_24/seed_102,artifacts/results/intphys2,seed_runs_layerwise_v1/intphys2__jepa_v1__linear__layer_24/seed_102,seed_runs_layerwise_v1_intphys2__jepa_v1__linear__layer_24,intphys2__jepa_v1__linear__layer_24__seed_102,pending,,"[""seed=102"",""split.seed=42"",""backbone.name=jepa_v1"",""+backbone.kwargs.variant=vith16_384"",""probe.name=linear"",""probe.layer=24"",""probe.layers=[]"",""probe.feature_view=pooled"",""probe.device=cpu"",""probe.lr=0.002216476552485099"",""probe.weight_decay=5.991763284171463e-05"",""probe.batch_size=64"",""probe.eval_batch_size=1024"",""probe.epochs=100"",""probe.early_stopping.enabled=false"",""probe.early_stopping.patience=5"",""probe.optuna.enabled=false"",""probe.output_dir=artifacts/probes/intphys2"",""probe.output_subdir=seed_runs_layerwise_v1/intphys2__jepa_v1__linear__layer_24/seed_102"",""probe.eval_output_dir=artifacts/results/intphys2"",""probe.eval_output_subdir=seed_runs_layerwise_v1/intphys2__jepa_v1__linear__layer_24/seed_102"",""probe.wandb.group=seed_runs_layerwise_v1_intphys2__jepa_v1__linear__layer_24"",""probe.wandb.name=intphys2__jepa_v1__linear__layer_24__seed_102""]",results/verified_layerwise_probe_configs.csv,15,17,c867c0a149f6cabb,VERIFIED_FULL,"{""batch_size"":64,""early_stopping"":{""enabled"":true,""patience"":5},""epochs"":100,""feature_view"":""pooled"",""layer"":24,""lr"":0.002216476552485099,""slot"":null,""weight_decay"":5.991763284171463e-05}",output/training/intphys2/linear/intphys2_jepa_v1_linear_layers_22261451.out
intphys2__jepa_v1__mlp__layer_32__seed_101,intphys2__jepa_v1__mlp__layer_32,train_eval.probe.intphys2,IntPhys2,intphys2,main,V-JEPA,ViT-H/16,MLP,mlp,101,42,jepa_v1,vith16_384,32,,Final layer,pooled,0.0008311984961958987,0.000517091398990107,64,1024,2000,false,5,[512],0.14469269115194977,,,,,cpu,artifacts/probes/intphys2,seed_runs_layerwise_v1/intphys2__jepa_v1__mlp__layer_32/seed_101,artifacts/results/intphys2,seed_runs_layerwise_v1/intphys2__jepa_v1__mlp__layer_32/seed_101,seed_runs_layerwise_v1_intphys2__jepa_v1__mlp__layer_32,intphys2__jepa_v1__mlp__layer_32__seed_101,pending,,"[""seed=101"",""split.seed=42"",""backbone.name=jepa_v1"",""+backbone.kwargs.variant=vith16_384"",""probe.name=mlp"",""probe.layer=32"",""probe.layers=[]"",""probe.feature_view=pooled"",""probe.device=cpu"",""probe.lr=0.0008311984961958987"",""probe.weight_decay=0.000517091398990107"",""probe.batch_size=64"",""probe.eval_batch_size=1024"",""probe.epochs=2000"",""probe.early_stopping.enabled=false"",""probe.early_stopping.patience=5"",""probe.optuna.enabled=false"",""probe.output_dir=artifacts/probes/intphys2"",""probe.output_subdir=seed_runs_layerwise_v1/intphys2__jepa_v1__mlp__layer_32/seed_101"",""probe.eval_output_dir=artifacts/results/intphys2"",""probe.eval_output_subdir=seed_runs_layerwise_v1/intphys2__jepa_v1__mlp__layer_32/seed_101"",""probe.wandb.group=seed_runs_layerwise_v1_intphys2__jepa_v1__mlp__layer_32"",""probe.wandb.name=intphys2__jepa_v1__mlp__layer_32__seed_101"",""probe.mlp.hidden_dims=[512]"",""probe.mlp.dropout=0.14469269115194977""]",results/verified_layerwise_probe_configs.csv,16,18,e306f36a369ef339,VERIFIED_FULL,"{""batch_size"":64,""dropout"":0.14469269115194977,""early_stopping"":{""enabled"":true,""patience"":5},""epochs"":2000,""feature_view"":""pooled"",""hidden_dims"":[512],""layer"":32,""lr"":0.0008311984961958987,""slot"":null,""weight_decay"":0.000517091398990107}",jobs/train/intphys2/mlp/output/training/intphys2/mlp/intphys2_jepa_v1_mlp_layers_22594073.out
intphys2__jepa_v1__mlp__layer_32__seed_102,intphys2__jepa_v1__mlp__layer_32,train_eval.probe.intphys2,IntPhys2,intphys2,main,V-JEPA,ViT-H/16,MLP,mlp,102,42,jepa_v1,vith16_384,32,,Final layer,pooled,0.0008311984961958987,0.000517091398990107,64,1024,2000,false,5,[512],0.14469269115194977,,,,,cpu,artifacts/probes/intphys2,seed_runs_layerwise_v1/intphys2__jepa_v1__mlp__layer_32/seed_102,artifacts/results/intphys2,seed_runs_layerwise_v1/intphys2__jepa_v1__mlp__layer_32/seed_102,seed_runs_layerwise_v1_intphys2__jepa_v1__mlp__layer_32,intphys2__jepa_v1__mlp__layer_32__seed_102,pending,,"[""seed=102"",""split.seed=42"",""backbone.name=jepa_v1"",""+backbone.kwargs.variant=vith16_384"",""probe.name=mlp"",""probe.layer=32"",""probe.layers=[]"",""probe.feature_view=pooled"",""probe.device=cpu"",""probe.lr=0.0008311984961958987"",""probe.weight_decay=0.000517091398990107"",""probe.batch_size=64"",""probe.eval_batch_size=1024"",""probe.epochs=2000"",""probe.early_stopping.enabled=false"",""probe.early_stopping.patience=5"",""probe.optuna.enabled=false"",""probe.output_dir=artifacts/probes/intphys2"",""probe.output_subdir=seed_runs_layerwise_v1/intphys2__jepa_v1__mlp__layer_32/seed_102"",""probe.eval_output_dir=artifacts/results/intphys2"",""probe.eval_output_subdir=seed_runs_layerwise_v1/intphys2__jepa_v1__mlp__layer_32/seed_102"",""probe.wandb.group=seed_runs_layerwise_v1_intphys2__jepa_v1__mlp__layer_32"",""probe.wandb.name=intphys2__jepa_v1__mlp__layer_32__seed_102"",""probe.mlp.hidden_dims=[512]"",""probe.mlp.dropout=0.14469269115194977""]",results/verified_layerwise_probe_configs.csv,16,18,e306f36a369ef339,VERIFIED_FULL,"{""batch_size"":64,""dropout"":0.14469269115194977,""early_stopping"":{""enabled"":true,""patience"":5},""epochs"":2000,""feature_view"":""pooled"",""hidden_dims"":[512],""layer"":32,""lr"":0.0008311984961958987,""slot"":null,""weight_decay"":0.000517091398990107}",jobs/train/intphys2/mlp/output/training/intphys2/mlp/intphys2_jepa_v1_mlp_layers_22594073.out
