run_id,config_id,run_command,dataset,dataset_hydra,experiment,model,backbone,probe,probe_hydra,seed,original_seed,backbone_name,backbone_variant,layer,selected_slot,layer_label,feature_view,lr,weight_decay,batch_size,eval_batch_size,epochs,early_stopping_enabled,early_stopping_patience,mlp_hidden_dims,mlp_dropout,temporal_num_heads,temporal_num_self_attn_blocks,temporal_mlp_ratio,temporal_dropout,probe_device,probe_output_dir,probe_output_subdir,eval_output_dir,eval_output_subdir,wandb_group,wandb_name,status,blocked_reason,hydra_overrides_json,source_csv_path,source_csv_row_index,source_csv_line_number,source_row_sha256,source_config_status,source_config_json,source_evidence_path
intphys2__same_l__jepa_v1__vitl16_224__linear__layer_6__seed_101,intphys2__same_l__jepa_v1__vitl16_224__linear__layer_6,train_eval.probe.intphys2,IntPhys2,intphys2,same_L,V-JEPA,ViT-L/16,Linear,linear,101,42,jepa_v1,vitl16_224,6,,6,pooled,0.00095503896961301191,0.00062871813018013588,32,1024,1000,false,5,,,,,,,cpu,artifacts/probes/intphys2,seed_runs_layerwise_same_l_v1/intphys2__same_l__jepa_v1__vitl16_224__linear__layer_6/seed_101,artifacts/results/intphys2,seed_runs_layerwise_same_l_v1/intphys2__same_l__jepa_v1__vitl16_224__linear__layer_6/seed_101,seed_runs_layerwise_same_l_v1_intphys2__same_l__jepa_v1__vitl16_224__linear__layer_6,intphys2__same_l__jepa_v1__vitl16_224__linear__layer_6__seed_101,pending,,"[""seed=101"",""split.seed=42"",""backbone.name=jepa_v1"",""+backbone.kwargs.variant=vitl16_224"",""probe.name=linear"",""probe.layer=6"",""probe.layers=[]"",""probe.feature_view=pooled"",""probe.device=cpu"",""probe.lr=0.00095503896961301191"",""probe.weight_decay=0.00062871813018013588"",""probe.batch_size=32"",""probe.eval_batch_size=1024"",""probe.epochs=1000"",""probe.early_stopping.enabled=false"",""probe.early_stopping.patience=5"",""probe.optuna.enabled=false"",""probe.output_dir=artifacts/probes/intphys2"",""probe.output_subdir=seed_runs_layerwise_same_l_v1/intphys2__same_l__jepa_v1__vitl16_224__linear__layer_6/seed_101"",""probe.eval_output_dir=artifacts/results/intphys2"",""probe.eval_output_subdir=seed_runs_layerwise_same_l_v1/intphys2__same_l__jepa_v1__vitl16_224__linear__layer_6/seed_101"",""probe.wandb.group=seed_runs_layerwise_same_l_v1_intphys2__same_l__jepa_v1__vitl16_224__linear__layer_6"",""probe.wandb.name=intphys2__same_l__jepa_v1__vitl16_224__linear__layer_6__seed_101"",""feature_cache.layer_ids=[6,12,18,24]""]",results/verified_layerwise_probe_configs.csv,0,2,5ceb594fece3d3a5,VERIFIED_FULL,"{""batch_size"":32,""early_stopping"":{""enabled"":false,""patience"":5},""epochs"":1000,""eval_batch_size"":1024,""feature_view"":""pooled"",""layer"":6,""lr"":0.0009550389696130119,""slot"":null,""weight_decay"":0.0006287181301801359}",same_size_ablation/intphys_same_size_ablation/Linear/intphys2_probe_linear_jepa_v1_vitl16_224_20260526T233045Z/layer_6/train/optuna_summary.json
intphys2__same_l__jepa_v1__vitl16_224__linear__layer_6__seed_102,intphys2__same_l__jepa_v1__vitl16_224__linear__layer_6,train_eval.probe.intphys2,IntPhys2,intphys2,same_L,V-JEPA,ViT-L/16,Linear,linear,102,42,jepa_v1,vitl16_224,6,,6,pooled,0.00095503896961301191,0.00062871813018013588,32,1024,1000,false,5,,,,,,,cpu,artifacts/probes/intphys2,seed_runs_layerwise_same_l_v1/intphys2__same_l__jepa_v1__vitl16_224__linear__layer_6/seed_102,artifacts/results/intphys2,seed_runs_layerwise_same_l_v1/intphys2__same_l__jepa_v1__vitl16_224__linear__layer_6/seed_102,seed_runs_layerwise_same_l_v1_intphys2__same_l__jepa_v1__vitl16_224__linear__layer_6,intphys2__same_l__jepa_v1__vitl16_224__linear__layer_6__seed_102,pending,,"[""seed=102"",""split.seed=42"",""backbone.name=jepa_v1"",""+backbone.kwargs.variant=vitl16_224"",""probe.name=linear"",""probe.layer=6"",""probe.layers=[]"",""probe.feature_view=pooled"",""probe.device=cpu"",""probe.lr=0.00095503896961301191"",""probe.weight_decay=0.00062871813018013588"",""probe.batch_size=32"",""probe.eval_batch_size=1024"",""probe.epochs=1000"",""probe.early_stopping.enabled=false"",""probe.early_stopping.patience=5"",""probe.optuna.enabled=false"",""probe.output_dir=artifacts/probes/intphys2"",""probe.output_subdir=seed_runs_layerwise_same_l_v1/intphys2__same_l__jepa_v1__vitl16_224__linear__layer_6/seed_102"",""probe.eval_output_dir=artifacts/results/intphys2"",""probe.eval_output_subdir=seed_runs_layerwise_same_l_v1/intphys2__same_l__jepa_v1__vitl16_224__linear__layer_6/seed_102"",""probe.wandb.group=seed_runs_layerwise_same_l_v1_intphys2__same_l__jepa_v1__vitl16_224__linear__layer_6"",""probe.wandb.name=intphys2__same_l__jepa_v1__vitl16_224__linear__layer_6__seed_102"",""feature_cache.layer_ids=[6,12,18,24]""]",results/verified_layerwise_probe_configs.csv,0,2,5ceb594fece3d3a5,VERIFIED_FULL,"{""batch_size"":32,""early_stopping"":{""enabled"":false,""patience"":5},""epochs"":1000,""eval_batch_size"":1024,""feature_view"":""pooled"",""layer"":6,""lr"":0.0009550389696130119,""slot"":null,""weight_decay"":0.0006287181301801359}",same_size_ablation/intphys_same_size_ablation/Linear/intphys2_probe_linear_jepa_v1_vitl16_224_20260526T233045Z/layer_6/train/optuna_summary.json
intphys2__same_l__jepa_v1__vitl16_224__linear__layer_12__seed_101,intphys2__same_l__jepa_v1__vitl16_224__linear__layer_12,train_eval.probe.intphys2,IntPhys2,intphys2,same_L,V-JEPA,ViT-L/16,Linear,linear,101,42,jepa_v1,vitl16_224,12,,12,pooled,0.00013292918943162159,0.0050615768887523043,32,1024,2000,false,5,,,,,,,cpu,artifacts/probes/intphys2,seed_runs_layerwise_same_l_v1/intphys2__same_l__jepa_v1__vitl16_224__linear__layer_12/seed_101,artifacts/results/intphys2,seed_runs_layerwise_same_l_v1/intphys2__same_l__jepa_v1__vitl16_224__linear__layer_12/seed_101,seed_runs_layerwise_same_l_v1_intphys2__same_l__jepa_v1__vitl16_224__linear__layer_12,intphys2__same_l__jepa_v1__vitl16_224__linear__layer_12__seed_101,pending,,"[""seed=101"",""split.seed=42"",""backbone.name=jepa_v1"",""+backbone.kwargs.variant=vitl16_224"",""probe.name=linear"",""probe.layer=12"",""probe.layers=[]"",""probe.feature_view=pooled"",""probe.device=cpu"",""probe.lr=0.00013292918943162159"",""probe.weight_decay=0.0050615768887523043"",""probe.batch_size=32"",""probe.eval_batch_size=1024"",""probe.epochs=2000"",""probe.early_stopping.enabled=false"",""probe.early_stopping.patience=5"",""probe.optuna.enabled=false"",""probe.output_dir=artifacts/probes/intphys2"",""probe.output_subdir=seed_runs_layerwise_same_l_v1/intphys2__same_l__jepa_v1__vitl16_224__linear__layer_12/seed_101"",""probe.eval_output_dir=artifacts/results/intphys2"",""probe.eval_output_subdir=seed_runs_layerwise_same_l_v1/intphys2__same_l__jepa_v1__vitl16_224__linear__layer_12/seed_101"",""probe.wandb.group=seed_runs_layerwise_same_l_v1_intphys2__same_l__jepa_v1__vitl16_224__linear__layer_12"",""probe.wandb.name=intphys2__same_l__jepa_v1__vitl16_224__linear__layer_12__seed_101"",""feature_cache.layer_ids=[6,12,18,24]""]",results/verified_layerwise_probe_configs.csv,1,3,4ad619c8078738d9,VERIFIED_FULL,"{""batch_size"":32,""early_stopping"":{""enabled"":false,""patience"":5},""epochs"":2000,""eval_batch_size"":1024,""feature_view"":""pooled"",""layer"":12,""lr"":0.0001329291894316216,""slot"":null,""weight_decay"":0.005061576888752304}",same_size_ablation/intphys_same_size_ablation/Linear/intphys2_probe_linear_jepa_v1_vitl16_224_20260526T233045Z/layer_12/train/optuna_summary.json
intphys2__same_l__jepa_v1__vitl16_224__linear__layer_12__seed_102,intphys2__same_l__jepa_v1__vitl16_224__linear__layer_12,train_eval.probe.intphys2,IntPhys2,intphys2,same_L,V-JEPA,ViT-L/16,Linear,linear,102,42,jepa_v1,vitl16_224,12,,12,pooled,0.00013292918943162159,0.0050615768887523043,32,1024,2000,false,5,,,,,,,cpu,artifacts/probes/intphys2,seed_runs_layerwise_same_l_v1/intphys2__same_l__jepa_v1__vitl16_224__linear__layer_12/seed_102,artifacts/results/intphys2,seed_runs_layerwise_same_l_v1/intphys2__same_l__jepa_v1__vitl16_224__linear__layer_12/seed_102,seed_runs_layerwise_same_l_v1_intphys2__same_l__jepa_v1__vitl16_224__linear__layer_12,intphys2__same_l__jepa_v1__vitl16_224__linear__layer_12__seed_102,pending,,"[""seed=102"",""split.seed=42"",""backbone.name=jepa_v1"",""+backbone.kwargs.variant=vitl16_224"",""probe.name=linear"",""probe.layer=12"",""probe.layers=[]"",""probe.feature_view=pooled"",""probe.device=cpu"",""probe.lr=0.00013292918943162159"",""probe.weight_decay=0.0050615768887523043"",""probe.batch_size=32"",""probe.eval_batch_size=1024"",""probe.epochs=2000"",""probe.early_stopping.enabled=false"",""probe.early_stopping.patience=5"",""probe.optuna.enabled=false"",""probe.output_dir=artifacts/probes/intphys2"",""probe.output_subdir=seed_runs_layerwise_same_l_v1/intphys2__same_l__jepa_v1__vitl16_224__linear__layer_12/seed_102"",""probe.eval_output_dir=artifacts/results/intphys2"",""probe.eval_output_subdir=seed_runs_layerwise_same_l_v1/intphys2__same_l__jepa_v1__vitl16_224__linear__layer_12/seed_102"",""probe.wandb.group=seed_runs_layerwise_same_l_v1_intphys2__same_l__jepa_v1__vitl16_224__linear__layer_12"",""probe.wandb.name=intphys2__same_l__jepa_v1__vitl16_224__linear__layer_12__seed_102"",""feature_cache.layer_ids=[6,12,18,24]""]",results/verified_layerwise_probe_configs.csv,1,3,4ad619c8078738d9,VERIFIED_FULL,"{""batch_size"":32,""early_stopping"":{""enabled"":false,""patience"":5},""epochs"":2000,""eval_batch_size"":1024,""feature_view"":""pooled"",""layer"":12,""lr"":0.0001329291894316216,""slot"":null,""weight_decay"":0.005061576888752304}",same_size_ablation/intphys_same_size_ablation/Linear/intphys2_probe_linear_jepa_v1_vitl16_224_20260526T233045Z/layer_12/train/optuna_summary.json
intphys2__same_l__jepa_v1__vitl16_224__linear__layer_18__seed_101,intphys2__same_l__jepa_v1__vitl16_224__linear__layer_18,train_eval.probe.intphys2,IntPhys2,intphys2,same_L,V-JEPA,ViT-L/16,Linear,linear,101,42,jepa_v1,vitl16_224,18,,18,pooled,0.0067556378946509107,2.5285011481292255e-05,256,1024,20,false,5,,,,,,,cpu,artifacts/probes/intphys2,seed_runs_layerwise_same_l_v1/intphys2__same_l__jepa_v1__vitl16_224__linear__layer_18/seed_101,artifacts/results/intphys2,seed_runs_layerwise_same_l_v1/intphys2__same_l__jepa_v1__vitl16_224__linear__layer_18/seed_101,seed_runs_layerwise_same_l_v1_intphys2__same_l__jepa_v1__vitl16_224__linear__layer_18,intphys2__same_l__jepa_v1__vitl16_224__linear__layer_18__seed_101,pending,,"[""seed=101"",""split.seed=42"",""backbone.name=jepa_v1"",""+backbone.kwargs.variant=vitl16_224"",""probe.name=linear"",""probe.layer=18"",""probe.layers=[]"",""probe.feature_view=pooled"",""probe.device=cpu"",""probe.lr=0.0067556378946509107"",""probe.weight_decay=2.5285011481292255e-05"",""probe.batch_size=256"",""probe.eval_batch_size=1024"",""probe.epochs=20"",""probe.early_stopping.enabled=false"",""probe.early_stopping.patience=5"",""probe.optuna.enabled=false"",""probe.output_dir=artifacts/probes/intphys2"",""probe.output_subdir=seed_runs_layerwise_same_l_v1/intphys2__same_l__jepa_v1__vitl16_224__linear__layer_18/seed_101"",""probe.eval_output_dir=artifacts/results/intphys2"",""probe.eval_output_subdir=seed_runs_layerwise_same_l_v1/intphys2__same_l__jepa_v1__vitl16_224__linear__layer_18/seed_101"",""probe.wandb.group=seed_runs_layerwise_same_l_v1_intphys2__same_l__jepa_v1__vitl16_224__linear__layer_18"",""probe.wandb.name=intphys2__same_l__jepa_v1__vitl16_224__linear__layer_18__seed_101"",""feature_cache.layer_ids=[6,12,18,24]""]",results/verified_layerwise_probe_configs.csv,2,4,c5e54b652c566a0c,VERIFIED_FULL,"{""batch_size"":256,""early_stopping"":{""enabled"":false,""patience"":5},""epochs"":20,""eval_batch_size"":1024,""feature_view"":""pooled"",""layer"":18,""lr"":0.006755637894650911,""slot"":null,""weight_decay"":2.5285011481292255e-05}",same_size_ablation/intphys_same_size_ablation/Linear/intphys2_probe_linear_jepa_v1_vitl16_224_20260526T233045Z/layer_18/train/optuna_summary.json
intphys2__same_l__jepa_v1__vitl16_224__linear__layer_18__seed_102,intphys2__same_l__jepa_v1__vitl16_224__linear__layer_18,train_eval.probe.intphys2,IntPhys2,intphys2,same_L,V-JEPA,ViT-L/16,Linear,linear,102,42,jepa_v1,vitl16_224,18,,18,pooled,0.0067556378946509107,2.5285011481292255e-05,256,1024,20,false,5,,,,,,,cpu,artifacts/probes/intphys2,seed_runs_layerwise_same_l_v1/intphys2__same_l__jepa_v1__vitl16_224__linear__layer_18/seed_102,artifacts/results/intphys2,seed_runs_layerwise_same_l_v1/intphys2__same_l__jepa_v1__vitl16_224__linear__layer_18/seed_102,seed_runs_layerwise_same_l_v1_intphys2__same_l__jepa_v1__vitl16_224__linear__layer_18,intphys2__same_l__jepa_v1__vitl16_224__linear__layer_18__seed_102,pending,,"[""seed=102"",""split.seed=42"",""backbone.name=jepa_v1"",""+backbone.kwargs.variant=vitl16_224"",""probe.name=linear"",""probe.layer=18"",""probe.layers=[]"",""probe.feature_view=pooled"",""probe.device=cpu"",""probe.lr=0.0067556378946509107"",""probe.weight_decay=2.5285011481292255e-05"",""probe.batch_size=256"",""probe.eval_batch_size=1024"",""probe.epochs=20"",""probe.early_stopping.enabled=false"",""probe.early_stopping.patience=5"",""probe.optuna.enabled=false"",""probe.output_dir=artifacts/probes/intphys2"",""probe.output_subdir=seed_runs_layerwise_same_l_v1/intphys2__same_l__jepa_v1__vitl16_224__linear__layer_18/seed_102"",""probe.eval_output_dir=artifacts/results/intphys2"",""probe.eval_output_subdir=seed_runs_layerwise_same_l_v1/intphys2__same_l__jepa_v1__vitl16_224__linear__layer_18/seed_102"",""probe.wandb.group=seed_runs_layerwise_same_l_v1_intphys2__same_l__jepa_v1__vitl16_224__linear__layer_18"",""probe.wandb.name=intphys2__same_l__jepa_v1__vitl16_224__linear__layer_18__seed_102"",""feature_cache.layer_ids=[6,12,18,24]""]",results/verified_layerwise_probe_configs.csv,2,4,c5e54b652c566a0c,VERIFIED_FULL,"{""batch_size"":256,""early_stopping"":{""enabled"":false,""patience"":5},""epochs"":20,""eval_batch_size"":1024,""feature_view"":""pooled"",""layer"":18,""lr"":0.006755637894650911,""slot"":null,""weight_decay"":2.5285011481292255e-05}",same_size_ablation/intphys_same_size_ablation/Linear/intphys2_probe_linear_jepa_v1_vitl16_224_20260526T233045Z/layer_18/train/optuna_summary.json
intphys2__same_l__jepa_v1__vitl16_224__linear__layer_24__seed_101,intphys2__same_l__jepa_v1__vitl16_224__linear__layer_24,train_eval.probe.intphys2,IntPhys2,intphys2,same_L,V-JEPA,ViT-L/16,Linear,linear,101,42,jepa_v1,vitl16_224,24,,24,pooled,0.00014656553886225324,4.2471166626171418e-07,32,1024,500,false,5,,,,,,,cpu,artifacts/probes/intphys2,seed_runs_layerwise_same_l_v1/intphys2__same_l__jepa_v1__vitl16_224__linear__layer_24/seed_101,artifacts/results/intphys2,seed_runs_layerwise_same_l_v1/intphys2__same_l__jepa_v1__vitl16_224__linear__layer_24/seed_101,seed_runs_layerwise_same_l_v1_intphys2__same_l__jepa_v1__vitl16_224__linear__layer_24,intphys2__same_l__jepa_v1__vitl16_224__linear__layer_24__seed_101,pending,,"[""seed=101"",""split.seed=42"",""backbone.name=jepa_v1"",""+backbone.kwargs.variant=vitl16_224"",""probe.name=linear"",""probe.layer=24"",""probe.layers=[]"",""probe.feature_view=pooled"",""probe.device=cpu"",""probe.lr=0.00014656553886225324"",""probe.weight_decay=4.2471166626171418e-07"",""probe.batch_size=32"",""probe.eval_batch_size=1024"",""probe.epochs=500"",""probe.early_stopping.enabled=false"",""probe.early_stopping.patience=5"",""probe.optuna.enabled=false"",""probe.output_dir=artifacts/probes/intphys2"",""probe.output_subdir=seed_runs_layerwise_same_l_v1/intphys2__same_l__jepa_v1__vitl16_224__linear__layer_24/seed_101"",""probe.eval_output_dir=artifacts/results/intphys2"",""probe.eval_output_subdir=seed_runs_layerwise_same_l_v1/intphys2__same_l__jepa_v1__vitl16_224__linear__layer_24/seed_101"",""probe.wandb.group=seed_runs_layerwise_same_l_v1_intphys2__same_l__jepa_v1__vitl16_224__linear__layer_24"",""probe.wandb.name=intphys2__same_l__jepa_v1__vitl16_224__linear__layer_24__seed_101"",""feature_cache.layer_ids=[6,12,18,24]""]",results/verified_layerwise_probe_configs.csv,3,5,27a4c9aea8595720,VERIFIED_FULL,"{""batch_size"":32,""early_stopping"":{""enabled"":false,""patience"":5},""epochs"":500,""eval_batch_size"":1024,""feature_view"":""pooled"",""layer"":24,""lr"":0.00014656553886225324,""slot"":null,""weight_decay"":4.247116662617142e-07}",same_size_ablation/intphys_same_size_ablation/Linear/intphys2_probe_linear_jepa_v1_vitl16_224_20260526T233045Z/layer_24/train/optuna_summary.json
intphys2__same_l__jepa_v1__vitl16_224__linear__layer_24__seed_102,intphys2__same_l__jepa_v1__vitl16_224__linear__layer_24,train_eval.probe.intphys2,IntPhys2,intphys2,same_L,V-JEPA,ViT-L/16,Linear,linear,102,42,jepa_v1,vitl16_224,24,,24,pooled,0.00014656553886225324,4.2471166626171418e-07,32,1024,500,false,5,,,,,,,cpu,artifacts/probes/intphys2,seed_runs_layerwise_same_l_v1/intphys2__same_l__jepa_v1__vitl16_224__linear__layer_24/seed_102,artifacts/results/intphys2,seed_runs_layerwise_same_l_v1/intphys2__same_l__jepa_v1__vitl16_224__linear__layer_24/seed_102,seed_runs_layerwise_same_l_v1_intphys2__same_l__jepa_v1__vitl16_224__linear__layer_24,intphys2__same_l__jepa_v1__vitl16_224__linear__layer_24__seed_102,pending,,"[""seed=102"",""split.seed=42"",""backbone.name=jepa_v1"",""+backbone.kwargs.variant=vitl16_224"",""probe.name=linear"",""probe.layer=24"",""probe.layers=[]"",""probe.feature_view=pooled"",""probe.device=cpu"",""probe.lr=0.00014656553886225324"",""probe.weight_decay=4.2471166626171418e-07"",""probe.batch_size=32"",""probe.eval_batch_size=1024"",""probe.epochs=500"",""probe.early_stopping.enabled=false"",""probe.early_stopping.patience=5"",""probe.optuna.enabled=false"",""probe.output_dir=artifacts/probes/intphys2"",""probe.output_subdir=seed_runs_layerwise_same_l_v1/intphys2__same_l__jepa_v1__vitl16_224__linear__layer_24/seed_102"",""probe.eval_output_dir=artifacts/results/intphys2"",""probe.eval_output_subdir=seed_runs_layerwise_same_l_v1/intphys2__same_l__jepa_v1__vitl16_224__linear__layer_24/seed_102"",""probe.wandb.group=seed_runs_layerwise_same_l_v1_intphys2__same_l__jepa_v1__vitl16_224__linear__layer_24"",""probe.wandb.name=intphys2__same_l__jepa_v1__vitl16_224__linear__layer_24__seed_102"",""feature_cache.layer_ids=[6,12,18,24]""]",results/verified_layerwise_probe_configs.csv,3,5,27a4c9aea8595720,VERIFIED_FULL,"{""batch_size"":32,""early_stopping"":{""enabled"":false,""patience"":5},""epochs"":500,""eval_batch_size"":1024,""feature_view"":""pooled"",""layer"":24,""lr"":0.00014656553886225324,""slot"":null,""weight_decay"":4.247116662617142e-07}",same_size_ablation/intphys_same_size_ablation/Linear/intphys2_probe_linear_jepa_v1_vitl16_224_20260526T233045Z/layer_24/train/optuna_summary.json
intphys2__same_l__jepa_v1__vitl16_224__mlp__layer_6__seed_101,intphys2__same_l__jepa_v1__vitl16_224__mlp__layer_6,train_eval.probe.intphys2,IntPhys2,intphys2,same_L,V-JEPA,ViT-L/16,MLP,mlp,101,42,jepa_v1,vitl16_224,6,,6,pooled,9.1120841289386755e-05,6.8676918070164952e-05,64,1024,50,false,5,[512],0.28847458694483891,,,,,cpu,artifacts/probes/intphys2,seed_runs_layerwise_same_l_v1/intphys2__same_l__jepa_v1__vitl16_224__mlp__layer_6/seed_101,artifacts/results/intphys2,seed_runs_layerwise_same_l_v1/intphys2__same_l__jepa_v1__vitl16_224__mlp__layer_6/seed_101,seed_runs_layerwise_same_l_v1_intphys2__same_l__jepa_v1__vitl16_224__mlp__layer_6,intphys2__same_l__jepa_v1__vitl16_224__mlp__layer_6__seed_101,pending,,"[""seed=101"",""split.seed=42"",""backbone.name=jepa_v1"",""+backbone.kwargs.variant=vitl16_224"",""probe.name=mlp"",""probe.layer=6"",""probe.layers=[]"",""probe.feature_view=pooled"",""probe.device=cpu"",""probe.lr=9.1120841289386755e-05"",""probe.weight_decay=6.8676918070164952e-05"",""probe.batch_size=64"",""probe.eval_batch_size=1024"",""probe.epochs=50"",""probe.early_stopping.enabled=false"",""probe.early_stopping.patience=5"",""probe.optuna.enabled=false"",""probe.output_dir=artifacts/probes/intphys2"",""probe.output_subdir=seed_runs_layerwise_same_l_v1/intphys2__same_l__jepa_v1__vitl16_224__mlp__layer_6/seed_101"",""probe.eval_output_dir=artifacts/results/intphys2"",""probe.eval_output_subdir=seed_runs_layerwise_same_l_v1/intphys2__same_l__jepa_v1__vitl16_224__mlp__layer_6/seed_101"",""probe.wandb.group=seed_runs_layerwise_same_l_v1_intphys2__same_l__jepa_v1__vitl16_224__mlp__layer_6"",""probe.wandb.name=intphys2__same_l__jepa_v1__vitl16_224__mlp__layer_6__seed_101"",""probe.mlp.hidden_dims=[512]"",""probe.mlp.dropout=0.28847458694483891"",""feature_cache.layer_ids=[6,12,18,24]""]",results/verified_layerwise_probe_configs.csv,4,6,0dcc303b5e0b64cc,VERIFIED_FULL,"{""batch_size"":64,""dropout"":0.2884745869448389,""early_stopping"":{""enabled"":false,""patience"":5},""epochs"":50,""eval_batch_size"":1024,""feature_view"":""pooled"",""hidden_dims"":[512],""layer"":6,""lr"":9.112084128938676e-05,""slot"":null,""weight_decay"":6.867691807016495e-05}",same_size_ablation/intphys_same_size_ablation/MLP/intphys2_probe_mlp_jepa_v1_vitl16_224_20260527T001136Z/layer_6/train/optuna_summary.json
intphys2__same_l__jepa_v1__vitl16_224__mlp__layer_6__seed_102,intphys2__same_l__jepa_v1__vitl16_224__mlp__layer_6,train_eval.probe.intphys2,IntPhys2,intphys2,same_L,V-JEPA,ViT-L/16,MLP,mlp,102,42,jepa_v1,vitl16_224,6,,6,pooled,9.1120841289386755e-05,6.8676918070164952e-05,64,1024,50,false,5,[512],0.28847458694483891,,,,,cpu,artifacts/probes/intphys2,seed_runs_layerwise_same_l_v1/intphys2__same_l__jepa_v1__vitl16_224__mlp__layer_6/seed_102,artifacts/results/intphys2,seed_runs_layerwise_same_l_v1/intphys2__same_l__jepa_v1__vitl16_224__mlp__layer_6/seed_102,seed_runs_layerwise_same_l_v1_intphys2__same_l__jepa_v1__vitl16_224__mlp__layer_6,intphys2__same_l__jepa_v1__vitl16_224__mlp__layer_6__seed_102,pending,,"[""seed=102"",""split.seed=42"",""backbone.name=jepa_v1"",""+backbone.kwargs.variant=vitl16_224"",""probe.name=mlp"",""probe.layer=6"",""probe.layers=[]"",""probe.feature_view=pooled"",""probe.device=cpu"",""probe.lr=9.1120841289386755e-05"",""probe.weight_decay=6.8676918070164952e-05"",""probe.batch_size=64"",""probe.eval_batch_size=1024"",""probe.epochs=50"",""probe.early_stopping.enabled=false"",""probe.early_stopping.patience=5"",""probe.optuna.enabled=false"",""probe.output_dir=artifacts/probes/intphys2"",""probe.output_subdir=seed_runs_layerwise_same_l_v1/intphys2__same_l__jepa_v1__vitl16_224__mlp__layer_6/seed_102"",""probe.eval_output_dir=artifacts/results/intphys2"",""probe.eval_output_subdir=seed_runs_layerwise_same_l_v1/intphys2__same_l__jepa_v1__vitl16_224__mlp__layer_6/seed_102"",""probe.wandb.group=seed_runs_layerwise_same_l_v1_intphys2__same_l__jepa_v1__vitl16_224__mlp__layer_6"",""probe.wandb.name=intphys2__same_l__jepa_v1__vitl16_224__mlp__layer_6__seed_102"",""probe.mlp.hidden_dims=[512]"",""probe.mlp.dropout=0.28847458694483891"",""feature_cache.layer_ids=[6,12,18,24]""]",results/verified_layerwise_probe_configs.csv,4,6,0dcc303b5e0b64cc,VERIFIED_FULL,"{""batch_size"":64,""dropout"":0.2884745869448389,""early_stopping"":{""enabled"":false,""patience"":5},""epochs"":50,""eval_batch_size"":1024,""feature_view"":""pooled"",""hidden_dims"":[512],""layer"":6,""lr"":9.112084128938676e-05,""slot"":null,""weight_decay"":6.867691807016495e-05}",same_size_ablation/intphys_same_size_ablation/MLP/intphys2_probe_mlp_jepa_v1_vitl16_224_20260527T001136Z/layer_6/train/optuna_summary.json
