run_id,config_id,run_command,dataset,dataset_hydra,experiment,model,backbone,probe,probe_hydra,seed,original_seed,backbone_name,backbone_variant,layer,selected_slot,layer_label,feature_view,lr,weight_decay,batch_size,eval_batch_size,epochs,early_stopping_enabled,early_stopping_patience,mlp_hidden_dims,mlp_dropout,temporal_num_heads,temporal_num_self_attn_blocks,temporal_mlp_ratio,temporal_dropout,probe_device,probe_output_dir,probe_output_subdir,eval_output_dir,eval_output_subdir,wandb_group,wandb_name,status,blocked_reason,hydra_overrides_json,source_csv_path,source_csv_row_index,source_csv_line_number,source_row_sha256,source_config_status,source_config_json,source_evidence_path
mvp__ltx__ltx_2b_0_9_8_distilled__linear__slot_1__seed_101,mvp__ltx__ltx_2b_0_9_8_distilled__linear__slot_1,train_eval.probe.mvp,MVP,mvp,ltx,LTX-Video,LTX-2B,Linear,linear,101,42,ltx_video,ltx_2b_0_9_8_distilled,1,1,noise_1.0_block_7,pooled,0.00013292918943162159,0.0050615768887523043,32,1024,2000,false,5,,,,,,,cpu,artifacts/probes/mvp,seed_runs_mvp_ltx2b_linear_mlp/mvp__ltx__ltx_2b_0_9_8_distilled__linear__slot_1/seed_101,artifacts/results/mvp,seed_runs_mvp_ltx2b_linear_mlp/mvp__ltx__ltx_2b_0_9_8_distilled__linear__slot_1/seed_101,seed_runs_mvp_ltx2b_linear_mlp_mvp__ltx__ltx_2b_0_9_8_distilled__linear__slot_1,mvp__ltx__ltx_2b_0_9_8_distilled__linear__slot_1__seed_101,pending,,"[""seed=101"",""split.seed=42"",""backbone.name=ltx_video"",""+backbone.kwargs.variant=ltx_2b_0_9_8_distilled"",""probe.name=linear"",""probe.layer=1"",""probe.layers=[]"",""probe.feature_view=pooled"",""probe.device=cpu"",""probe.lr=0.00013292918943162159"",""probe.weight_decay=0.0050615768887523043"",""probe.batch_size=32"",""probe.eval_batch_size=1024"",""probe.epochs=2000"",""probe.early_stopping.enabled=false"",""probe.early_stopping.patience=5"",""probe.optuna.enabled=false"",""probe.output_dir=artifacts/probes/mvp"",""probe.output_subdir=seed_runs_mvp_ltx2b_linear_mlp/mvp__ltx__ltx_2b_0_9_8_distilled__linear__slot_1/seed_101"",""probe.eval_output_dir=artifacts/results/mvp"",""probe.eval_output_subdir=seed_runs_mvp_ltx2b_linear_mlp/mvp__ltx__ltx_2b_0_9_8_distilled__linear__slot_1/seed_101"",""probe.wandb.group=seed_runs_mvp_ltx2b_linear_mlp_mvp__ltx__ltx_2b_0_9_8_distilled__linear__slot_1"",""probe.wandb.name=mvp__ltx__ltx_2b_0_9_8_distilled__linear__slot_1__seed_101""]",results/verified_layerwise_probe_configs.csv,480,482,ebccad84f34c4f30,VERIFIED_FULL,"{""batch_size"":32,""depth_layer_id"":7,""early_stopping"":{""enabled"":false,""patience"":5},""epochs"":2000,""eval_batch_size"":1024,""feature_view"":""pooled"",""layer"":1,""lr"":0.0001329291894316216,""slot"":1,""weight_decay"":0.005061576888752304}",different_backbone_ablation/ltx_2b/mvp/linear/mvp_probe_linear_ltx_video_ltxv_2b_0_9_8_distilled_20260602T184247Z/layer_noise_1.0_block_7/train/optuna_summary.json
mvp__ltx__ltx_2b_0_9_8_distilled__linear__slot_1__seed_102,mvp__ltx__ltx_2b_0_9_8_distilled__linear__slot_1,train_eval.probe.mvp,MVP,mvp,ltx,LTX-Video,LTX-2B,Linear,linear,102,42,ltx_video,ltx_2b_0_9_8_distilled,1,1,noise_1.0_block_7,pooled,0.00013292918943162159,0.0050615768887523043,32,1024,2000,false,5,,,,,,,cpu,artifacts/probes/mvp,seed_runs_mvp_ltx2b_linear_mlp/mvp__ltx__ltx_2b_0_9_8_distilled__linear__slot_1/seed_102,artifacts/results/mvp,seed_runs_mvp_ltx2b_linear_mlp/mvp__ltx__ltx_2b_0_9_8_distilled__linear__slot_1/seed_102,seed_runs_mvp_ltx2b_linear_mlp_mvp__ltx__ltx_2b_0_9_8_distilled__linear__slot_1,mvp__ltx__ltx_2b_0_9_8_distilled__linear__slot_1__seed_102,pending,,"[""seed=102"",""split.seed=42"",""backbone.name=ltx_video"",""+backbone.kwargs.variant=ltx_2b_0_9_8_distilled"",""probe.name=linear"",""probe.layer=1"",""probe.layers=[]"",""probe.feature_view=pooled"",""probe.device=cpu"",""probe.lr=0.00013292918943162159"",""probe.weight_decay=0.0050615768887523043"",""probe.batch_size=32"",""probe.eval_batch_size=1024"",""probe.epochs=2000"",""probe.early_stopping.enabled=false"",""probe.early_stopping.patience=5"",""probe.optuna.enabled=false"",""probe.output_dir=artifacts/probes/mvp"",""probe.output_subdir=seed_runs_mvp_ltx2b_linear_mlp/mvp__ltx__ltx_2b_0_9_8_distilled__linear__slot_1/seed_102"",""probe.eval_output_dir=artifacts/results/mvp"",""probe.eval_output_subdir=seed_runs_mvp_ltx2b_linear_mlp/mvp__ltx__ltx_2b_0_9_8_distilled__linear__slot_1/seed_102"",""probe.wandb.group=seed_runs_mvp_ltx2b_linear_mlp_mvp__ltx__ltx_2b_0_9_8_distilled__linear__slot_1"",""probe.wandb.name=mvp__ltx__ltx_2b_0_9_8_distilled__linear__slot_1__seed_102""]",results/verified_layerwise_probe_configs.csv,480,482,ebccad84f34c4f30,VERIFIED_FULL,"{""batch_size"":32,""depth_layer_id"":7,""early_stopping"":{""enabled"":false,""patience"":5},""epochs"":2000,""eval_batch_size"":1024,""feature_view"":""pooled"",""layer"":1,""lr"":0.0001329291894316216,""slot"":1,""weight_decay"":0.005061576888752304}",different_backbone_ablation/ltx_2b/mvp/linear/mvp_probe_linear_ltx_video_ltxv_2b_0_9_8_distilled_20260602T184247Z/layer_noise_1.0_block_7/train/optuna_summary.json
mvp__ltx__ltx_2b_0_9_8_distilled__linear__slot_10__seed_101,mvp__ltx__ltx_2b_0_9_8_distilled__linear__slot_10,train_eval.probe.mvp,MVP,mvp,ltx,LTX-Video,LTX-2B,Linear,linear,101,42,ltx_video,ltx_2b_0_9_8_distilled,10,10,noise_0.8_block_14,pooled,0.00023345864076016249,0.00051410966488057519,128,1024,1000,false,5,,,,,,,cpu,artifacts/probes/mvp,seed_runs_mvp_ltx2b_linear_mlp/mvp__ltx__ltx_2b_0_9_8_distilled__linear__slot_10/seed_101,artifacts/results/mvp,seed_runs_mvp_ltx2b_linear_mlp/mvp__ltx__ltx_2b_0_9_8_distilled__linear__slot_10/seed_101,seed_runs_mvp_ltx2b_linear_mlp_mvp__ltx__ltx_2b_0_9_8_distilled__linear__slot_10,mvp__ltx__ltx_2b_0_9_8_distilled__linear__slot_10__seed_101,pending,,"[""seed=101"",""split.seed=42"",""backbone.name=ltx_video"",""+backbone.kwargs.variant=ltx_2b_0_9_8_distilled"",""probe.name=linear"",""probe.layer=10"",""probe.layers=[]"",""probe.feature_view=pooled"",""probe.device=cpu"",""probe.lr=0.00023345864076016249"",""probe.weight_decay=0.00051410966488057519"",""probe.batch_size=128"",""probe.eval_batch_size=1024"",""probe.epochs=1000"",""probe.early_stopping.enabled=false"",""probe.early_stopping.patience=5"",""probe.optuna.enabled=false"",""probe.output_dir=artifacts/probes/mvp"",""probe.output_subdir=seed_runs_mvp_ltx2b_linear_mlp/mvp__ltx__ltx_2b_0_9_8_distilled__linear__slot_10/seed_101"",""probe.eval_output_dir=artifacts/results/mvp"",""probe.eval_output_subdir=seed_runs_mvp_ltx2b_linear_mlp/mvp__ltx__ltx_2b_0_9_8_distilled__linear__slot_10/seed_101"",""probe.wandb.group=seed_runs_mvp_ltx2b_linear_mlp_mvp__ltx__ltx_2b_0_9_8_distilled__linear__slot_10"",""probe.wandb.name=mvp__ltx__ltx_2b_0_9_8_distilled__linear__slot_10__seed_101""]",results/verified_layerwise_probe_configs.csv,481,483,87df1c94a0703f92,VERIFIED_FULL,"{""batch_size"":128,""depth_layer_id"":14,""early_stopping"":{""enabled"":false,""patience"":5},""epochs"":1000,""eval_batch_size"":1024,""feature_view"":""pooled"",""layer"":10,""lr"":0.00023345864076016249,""slot"":10,""weight_decay"":0.0005141096648805752}",different_backbone_ablation/ltx_2b/mvp/linear/mvp_probe_linear_ltx_video_ltxv_2b_0_9_8_distilled_20260602T184247Z/layer_noise_0.8_block_14/train/optuna_summary.json
mvp__ltx__ltx_2b_0_9_8_distilled__linear__slot_10__seed_102,mvp__ltx__ltx_2b_0_9_8_distilled__linear__slot_10,train_eval.probe.mvp,MVP,mvp,ltx,LTX-Video,LTX-2B,Linear,linear,102,42,ltx_video,ltx_2b_0_9_8_distilled,10,10,noise_0.8_block_14,pooled,0.00023345864076016249,0.00051410966488057519,128,1024,1000,false,5,,,,,,,cpu,artifacts/probes/mvp,seed_runs_mvp_ltx2b_linear_mlp/mvp__ltx__ltx_2b_0_9_8_distilled__linear__slot_10/seed_102,artifacts/results/mvp,seed_runs_mvp_ltx2b_linear_mlp/mvp__ltx__ltx_2b_0_9_8_distilled__linear__slot_10/seed_102,seed_runs_mvp_ltx2b_linear_mlp_mvp__ltx__ltx_2b_0_9_8_distilled__linear__slot_10,mvp__ltx__ltx_2b_0_9_8_distilled__linear__slot_10__seed_102,pending,,"[""seed=102"",""split.seed=42"",""backbone.name=ltx_video"",""+backbone.kwargs.variant=ltx_2b_0_9_8_distilled"",""probe.name=linear"",""probe.layer=10"",""probe.layers=[]"",""probe.feature_view=pooled"",""probe.device=cpu"",""probe.lr=0.00023345864076016249"",""probe.weight_decay=0.00051410966488057519"",""probe.batch_size=128"",""probe.eval_batch_size=1024"",""probe.epochs=1000"",""probe.early_stopping.enabled=false"",""probe.early_stopping.patience=5"",""probe.optuna.enabled=false"",""probe.output_dir=artifacts/probes/mvp"",""probe.output_subdir=seed_runs_mvp_ltx2b_linear_mlp/mvp__ltx__ltx_2b_0_9_8_distilled__linear__slot_10/seed_102"",""probe.eval_output_dir=artifacts/results/mvp"",""probe.eval_output_subdir=seed_runs_mvp_ltx2b_linear_mlp/mvp__ltx__ltx_2b_0_9_8_distilled__linear__slot_10/seed_102"",""probe.wandb.group=seed_runs_mvp_ltx2b_linear_mlp_mvp__ltx__ltx_2b_0_9_8_distilled__linear__slot_10"",""probe.wandb.name=mvp__ltx__ltx_2b_0_9_8_distilled__linear__slot_10__seed_102""]",results/verified_layerwise_probe_configs.csv,481,483,87df1c94a0703f92,VERIFIED_FULL,"{""batch_size"":128,""depth_layer_id"":14,""early_stopping"":{""enabled"":false,""patience"":5},""epochs"":1000,""eval_batch_size"":1024,""feature_view"":""pooled"",""layer"":10,""lr"":0.00023345864076016249,""slot"":10,""weight_decay"":0.0005141096648805752}",different_backbone_ablation/ltx_2b/mvp/linear/mvp_probe_linear_ltx_video_ltxv_2b_0_9_8_distilled_20260602T184247Z/layer_noise_0.8_block_14/train/optuna_summary.json
mvp__ltx__ltx_2b_0_9_8_distilled__linear__slot_11__seed_101,mvp__ltx__ltx_2b_0_9_8_distilled__linear__slot_11,train_eval.probe.mvp,MVP,mvp,ltx,LTX-Video,LTX-2B,Linear,linear,101,42,ltx_video,ltx_2b_0_9_8_distilled,11,11,noise_0.8_block_21,pooled,0.00014656553886225324,4.2471166626171418e-07,32,1024,500,false,5,,,,,,,cpu,artifacts/probes/mvp,seed_runs_mvp_ltx2b_linear_mlp/mvp__ltx__ltx_2b_0_9_8_distilled__linear__slot_11/seed_101,artifacts/results/mvp,seed_runs_mvp_ltx2b_linear_mlp/mvp__ltx__ltx_2b_0_9_8_distilled__linear__slot_11/seed_101,seed_runs_mvp_ltx2b_linear_mlp_mvp__ltx__ltx_2b_0_9_8_distilled__linear__slot_11,mvp__ltx__ltx_2b_0_9_8_distilled__linear__slot_11__seed_101,pending,,"[""seed=101"",""split.seed=42"",""backbone.name=ltx_video"",""+backbone.kwargs.variant=ltx_2b_0_9_8_distilled"",""probe.name=linear"",""probe.layer=11"",""probe.layers=[]"",""probe.feature_view=pooled"",""probe.device=cpu"",""probe.lr=0.00014656553886225324"",""probe.weight_decay=4.2471166626171418e-07"",""probe.batch_size=32"",""probe.eval_batch_size=1024"",""probe.epochs=500"",""probe.early_stopping.enabled=false"",""probe.early_stopping.patience=5"",""probe.optuna.enabled=false"",""probe.output_dir=artifacts/probes/mvp"",""probe.output_subdir=seed_runs_mvp_ltx2b_linear_mlp/mvp__ltx__ltx_2b_0_9_8_distilled__linear__slot_11/seed_101"",""probe.eval_output_dir=artifacts/results/mvp"",""probe.eval_output_subdir=seed_runs_mvp_ltx2b_linear_mlp/mvp__ltx__ltx_2b_0_9_8_distilled__linear__slot_11/seed_101"",""probe.wandb.group=seed_runs_mvp_ltx2b_linear_mlp_mvp__ltx__ltx_2b_0_9_8_distilled__linear__slot_11"",""probe.wandb.name=mvp__ltx__ltx_2b_0_9_8_distilled__linear__slot_11__seed_101""]",results/verified_layerwise_probe_configs.csv,482,484,2d6de3bcba1d8853,VERIFIED_FULL,"{""batch_size"":32,""depth_layer_id"":21,""early_stopping"":{""enabled"":false,""patience"":5},""epochs"":500,""eval_batch_size"":1024,""feature_view"":""pooled"",""layer"":11,""lr"":0.00014656553886225324,""slot"":11,""weight_decay"":4.247116662617142e-07}",different_backbone_ablation/ltx_2b/mvp/linear/mvp_probe_linear_ltx_video_ltxv_2b_0_9_8_distilled_20260602T184247Z/layer_noise_0.8_block_21/train/optuna_summary.json
mvp__ltx__ltx_2b_0_9_8_distilled__linear__slot_11__seed_102,mvp__ltx__ltx_2b_0_9_8_distilled__linear__slot_11,train_eval.probe.mvp,MVP,mvp,ltx,LTX-Video,LTX-2B,Linear,linear,102,42,ltx_video,ltx_2b_0_9_8_distilled,11,11,noise_0.8_block_21,pooled,0.00014656553886225324,4.2471166626171418e-07,32,1024,500,false,5,,,,,,,cpu,artifacts/probes/mvp,seed_runs_mvp_ltx2b_linear_mlp/mvp__ltx__ltx_2b_0_9_8_distilled__linear__slot_11/seed_102,artifacts/results/mvp,seed_runs_mvp_ltx2b_linear_mlp/mvp__ltx__ltx_2b_0_9_8_distilled__linear__slot_11/seed_102,seed_runs_mvp_ltx2b_linear_mlp_mvp__ltx__ltx_2b_0_9_8_distilled__linear__slot_11,mvp__ltx__ltx_2b_0_9_8_distilled__linear__slot_11__seed_102,pending,,"[""seed=102"",""split.seed=42"",""backbone.name=ltx_video"",""+backbone.kwargs.variant=ltx_2b_0_9_8_distilled"",""probe.name=linear"",""probe.layer=11"",""probe.layers=[]"",""probe.feature_view=pooled"",""probe.device=cpu"",""probe.lr=0.00014656553886225324"",""probe.weight_decay=4.2471166626171418e-07"",""probe.batch_size=32"",""probe.eval_batch_size=1024"",""probe.epochs=500"",""probe.early_stopping.enabled=false"",""probe.early_stopping.patience=5"",""probe.optuna.enabled=false"",""probe.output_dir=artifacts/probes/mvp"",""probe.output_subdir=seed_runs_mvp_ltx2b_linear_mlp/mvp__ltx__ltx_2b_0_9_8_distilled__linear__slot_11/seed_102"",""probe.eval_output_dir=artifacts/results/mvp"",""probe.eval_output_subdir=seed_runs_mvp_ltx2b_linear_mlp/mvp__ltx__ltx_2b_0_9_8_distilled__linear__slot_11/seed_102"",""probe.wandb.group=seed_runs_mvp_ltx2b_linear_mlp_mvp__ltx__ltx_2b_0_9_8_distilled__linear__slot_11"",""probe.wandb.name=mvp__ltx__ltx_2b_0_9_8_distilled__linear__slot_11__seed_102""]",results/verified_layerwise_probe_configs.csv,482,484,2d6de3bcba1d8853,VERIFIED_FULL,"{""batch_size"":32,""depth_layer_id"":21,""early_stopping"":{""enabled"":false,""patience"":5},""epochs"":500,""eval_batch_size"":1024,""feature_view"":""pooled"",""layer"":11,""lr"":0.00014656553886225324,""slot"":11,""weight_decay"":4.247116662617142e-07}",different_backbone_ablation/ltx_2b/mvp/linear/mvp_probe_linear_ltx_video_ltxv_2b_0_9_8_distilled_20260602T184247Z/layer_noise_0.8_block_21/train/optuna_summary.json
mvp__ltx__ltx_2b_0_9_8_distilled__linear__slot_12__seed_101,mvp__ltx__ltx_2b_0_9_8_distilled__linear__slot_12,train_eval.probe.mvp,MVP,mvp,ltx,LTX-Video,LTX-2B,Linear,linear,101,42,ltx_video,ltx_2b_0_9_8_distilled,12,12,noise_0.8_block_28,pooled,0.00090281684223461958,5.1896654887215602e-05,64,1024,500,false,5,,,,,,,cpu,artifacts/probes/mvp,seed_runs_mvp_ltx2b_linear_mlp/mvp__ltx__ltx_2b_0_9_8_distilled__linear__slot_12/seed_101,artifacts/results/mvp,seed_runs_mvp_ltx2b_linear_mlp/mvp__ltx__ltx_2b_0_9_8_distilled__linear__slot_12/seed_101,seed_runs_mvp_ltx2b_linear_mlp_mvp__ltx__ltx_2b_0_9_8_distilled__linear__slot_12,mvp__ltx__ltx_2b_0_9_8_distilled__linear__slot_12__seed_101,pending,,"[""seed=101"",""split.seed=42"",""backbone.name=ltx_video"",""+backbone.kwargs.variant=ltx_2b_0_9_8_distilled"",""probe.name=linear"",""probe.layer=12"",""probe.layers=[]"",""probe.feature_view=pooled"",""probe.device=cpu"",""probe.lr=0.00090281684223461958"",""probe.weight_decay=5.1896654887215602e-05"",""probe.batch_size=64"",""probe.eval_batch_size=1024"",""probe.epochs=500"",""probe.early_stopping.enabled=false"",""probe.early_stopping.patience=5"",""probe.optuna.enabled=false"",""probe.output_dir=artifacts/probes/mvp"",""probe.output_subdir=seed_runs_mvp_ltx2b_linear_mlp/mvp__ltx__ltx_2b_0_9_8_distilled__linear__slot_12/seed_101"",""probe.eval_output_dir=artifacts/results/mvp"",""probe.eval_output_subdir=seed_runs_mvp_ltx2b_linear_mlp/mvp__ltx__ltx_2b_0_9_8_distilled__linear__slot_12/seed_101"",""probe.wandb.group=seed_runs_mvp_ltx2b_linear_mlp_mvp__ltx__ltx_2b_0_9_8_distilled__linear__slot_12"",""probe.wandb.name=mvp__ltx__ltx_2b_0_9_8_distilled__linear__slot_12__seed_101""]",results/verified_layerwise_probe_configs.csv,483,485,aeb3f6e314d24af8,VERIFIED_FULL,"{""batch_size"":64,""depth_layer_id"":28,""early_stopping"":{""enabled"":false,""patience"":5},""epochs"":500,""eval_batch_size"":1024,""feature_view"":""pooled"",""layer"":12,""lr"":0.0009028168422346196,""slot"":12,""weight_decay"":5.18966548872156e-05}",different_backbone_ablation/ltx_2b/mvp/linear/mvp_probe_linear_ltx_video_ltxv_2b_0_9_8_distilled_20260602T184247Z/layer_noise_0.8_block_28/train/optuna_summary.json
mvp__ltx__ltx_2b_0_9_8_distilled__linear__slot_12__seed_102,mvp__ltx__ltx_2b_0_9_8_distilled__linear__slot_12,train_eval.probe.mvp,MVP,mvp,ltx,LTX-Video,LTX-2B,Linear,linear,102,42,ltx_video,ltx_2b_0_9_8_distilled,12,12,noise_0.8_block_28,pooled,0.00090281684223461958,5.1896654887215602e-05,64,1024,500,false,5,,,,,,,cpu,artifacts/probes/mvp,seed_runs_mvp_ltx2b_linear_mlp/mvp__ltx__ltx_2b_0_9_8_distilled__linear__slot_12/seed_102,artifacts/results/mvp,seed_runs_mvp_ltx2b_linear_mlp/mvp__ltx__ltx_2b_0_9_8_distilled__linear__slot_12/seed_102,seed_runs_mvp_ltx2b_linear_mlp_mvp__ltx__ltx_2b_0_9_8_distilled__linear__slot_12,mvp__ltx__ltx_2b_0_9_8_distilled__linear__slot_12__seed_102,pending,,"[""seed=102"",""split.seed=42"",""backbone.name=ltx_video"",""+backbone.kwargs.variant=ltx_2b_0_9_8_distilled"",""probe.name=linear"",""probe.layer=12"",""probe.layers=[]"",""probe.feature_view=pooled"",""probe.device=cpu"",""probe.lr=0.00090281684223461958"",""probe.weight_decay=5.1896654887215602e-05"",""probe.batch_size=64"",""probe.eval_batch_size=1024"",""probe.epochs=500"",""probe.early_stopping.enabled=false"",""probe.early_stopping.patience=5"",""probe.optuna.enabled=false"",""probe.output_dir=artifacts/probes/mvp"",""probe.output_subdir=seed_runs_mvp_ltx2b_linear_mlp/mvp__ltx__ltx_2b_0_9_8_distilled__linear__slot_12/seed_102"",""probe.eval_output_dir=artifacts/results/mvp"",""probe.eval_output_subdir=seed_runs_mvp_ltx2b_linear_mlp/mvp__ltx__ltx_2b_0_9_8_distilled__linear__slot_12/seed_102"",""probe.wandb.group=seed_runs_mvp_ltx2b_linear_mlp_mvp__ltx__ltx_2b_0_9_8_distilled__linear__slot_12"",""probe.wandb.name=mvp__ltx__ltx_2b_0_9_8_distilled__linear__slot_12__seed_102""]",results/verified_layerwise_probe_configs.csv,483,485,aeb3f6e314d24af8,VERIFIED_FULL,"{""batch_size"":64,""depth_layer_id"":28,""early_stopping"":{""enabled"":false,""patience"":5},""epochs"":500,""eval_batch_size"":1024,""feature_view"":""pooled"",""layer"":12,""lr"":0.0009028168422346196,""slot"":12,""weight_decay"":5.18966548872156e-05}",different_backbone_ablation/ltx_2b/mvp/linear/mvp_probe_linear_ltx_video_ltxv_2b_0_9_8_distilled_20260602T184247Z/layer_noise_0.8_block_28/train/optuna_summary.json
mvp__ltx__ltx_2b_0_9_8_distilled__linear__slot_13__seed_101,mvp__ltx__ltx_2b_0_9_8_distilled__linear__slot_13,train_eval.probe.mvp,MVP,mvp,ltx,LTX-Video,LTX-2B,Linear,linear,101,42,ltx_video,ltx_2b_0_9_8_distilled,13,13,noise_0.7_block_7,pooled,0.007811452889188655,0.00084031898583272801,64,1024,2000,false,5,,,,,,,cpu,artifacts/probes/mvp,seed_runs_mvp_ltx2b_linear_mlp/mvp__ltx__ltx_2b_0_9_8_distilled__linear__slot_13/seed_101,artifacts/results/mvp,seed_runs_mvp_ltx2b_linear_mlp/mvp__ltx__ltx_2b_0_9_8_distilled__linear__slot_13/seed_101,seed_runs_mvp_ltx2b_linear_mlp_mvp__ltx__ltx_2b_0_9_8_distilled__linear__slot_13,mvp__ltx__ltx_2b_0_9_8_distilled__linear__slot_13__seed_101,pending,,"[""seed=101"",""split.seed=42"",""backbone.name=ltx_video"",""+backbone.kwargs.variant=ltx_2b_0_9_8_distilled"",""probe.name=linear"",""probe.layer=13"",""probe.layers=[]"",""probe.feature_view=pooled"",""probe.device=cpu"",""probe.lr=0.007811452889188655"",""probe.weight_decay=0.00084031898583272801"",""probe.batch_size=64"",""probe.eval_batch_size=1024"",""probe.epochs=2000"",""probe.early_stopping.enabled=false"",""probe.early_stopping.patience=5"",""probe.optuna.enabled=false"",""probe.output_dir=artifacts/probes/mvp"",""probe.output_subdir=seed_runs_mvp_ltx2b_linear_mlp/mvp__ltx__ltx_2b_0_9_8_distilled__linear__slot_13/seed_101"",""probe.eval_output_dir=artifacts/results/mvp"",""probe.eval_output_subdir=seed_runs_mvp_ltx2b_linear_mlp/mvp__ltx__ltx_2b_0_9_8_distilled__linear__slot_13/seed_101"",""probe.wandb.group=seed_runs_mvp_ltx2b_linear_mlp_mvp__ltx__ltx_2b_0_9_8_distilled__linear__slot_13"",""probe.wandb.name=mvp__ltx__ltx_2b_0_9_8_distilled__linear__slot_13__seed_101""]",results/verified_layerwise_probe_configs.csv,484,486,d8e207b4b82effbb,VERIFIED_FULL,"{""batch_size"":64,""depth_layer_id"":7,""early_stopping"":{""enabled"":false,""patience"":5},""epochs"":2000,""eval_batch_size"":1024,""feature_view"":""pooled"",""layer"":13,""lr"":0.007811452889188655,""slot"":13,""weight_decay"":0.000840318985832728}",different_backbone_ablation/ltx_2b/mvp/linear/mvp_probe_linear_ltx_video_ltxv_2b_0_9_8_distilled_20260602T184247Z/layer_noise_0.7_block_7/train/optuna_summary.json
mvp__ltx__ltx_2b_0_9_8_distilled__linear__slot_13__seed_102,mvp__ltx__ltx_2b_0_9_8_distilled__linear__slot_13,train_eval.probe.mvp,MVP,mvp,ltx,LTX-Video,LTX-2B,Linear,linear,102,42,ltx_video,ltx_2b_0_9_8_distilled,13,13,noise_0.7_block_7,pooled,0.007811452889188655,0.00084031898583272801,64,1024,2000,false,5,,,,,,,cpu,artifacts/probes/mvp,seed_runs_mvp_ltx2b_linear_mlp/mvp__ltx__ltx_2b_0_9_8_distilled__linear__slot_13/seed_102,artifacts/results/mvp,seed_runs_mvp_ltx2b_linear_mlp/mvp__ltx__ltx_2b_0_9_8_distilled__linear__slot_13/seed_102,seed_runs_mvp_ltx2b_linear_mlp_mvp__ltx__ltx_2b_0_9_8_distilled__linear__slot_13,mvp__ltx__ltx_2b_0_9_8_distilled__linear__slot_13__seed_102,pending,,"[""seed=102"",""split.seed=42"",""backbone.name=ltx_video"",""+backbone.kwargs.variant=ltx_2b_0_9_8_distilled"",""probe.name=linear"",""probe.layer=13"",""probe.layers=[]"",""probe.feature_view=pooled"",""probe.device=cpu"",""probe.lr=0.007811452889188655"",""probe.weight_decay=0.00084031898583272801"",""probe.batch_size=64"",""probe.eval_batch_size=1024"",""probe.epochs=2000"",""probe.early_stopping.enabled=false"",""probe.early_stopping.patience=5"",""probe.optuna.enabled=false"",""probe.output_dir=artifacts/probes/mvp"",""probe.output_subdir=seed_runs_mvp_ltx2b_linear_mlp/mvp__ltx__ltx_2b_0_9_8_distilled__linear__slot_13/seed_102"",""probe.eval_output_dir=artifacts/results/mvp"",""probe.eval_output_subdir=seed_runs_mvp_ltx2b_linear_mlp/mvp__ltx__ltx_2b_0_9_8_distilled__linear__slot_13/seed_102"",""probe.wandb.group=seed_runs_mvp_ltx2b_linear_mlp_mvp__ltx__ltx_2b_0_9_8_distilled__linear__slot_13"",""probe.wandb.name=mvp__ltx__ltx_2b_0_9_8_distilled__linear__slot_13__seed_102""]",results/verified_layerwise_probe_configs.csv,484,486,d8e207b4b82effbb,VERIFIED_FULL,"{""batch_size"":64,""depth_layer_id"":7,""early_stopping"":{""enabled"":false,""patience"":5},""epochs"":2000,""eval_batch_size"":1024,""feature_view"":""pooled"",""layer"":13,""lr"":0.007811452889188655,""slot"":13,""weight_decay"":0.000840318985832728}",different_backbone_ablation/ltx_2b/mvp/linear/mvp_probe_linear_ltx_video_ltxv_2b_0_9_8_distilled_20260602T184247Z/layer_noise_0.7_block_7/train/optuna_summary.json
