config_id,dataset,dataset_hydra,experiment,model,backbone,probe,probe_hydra,layer,layer_label,n_seeds,seeds,test_primary_mean,test_primary_std,test_accuracy_mean,test_accuracy_std,val_primary_mean,val_primary_std,val_accuracy_mean,val_accuracy_std,train_primary_mean,train_primary_std,train_accuracy_mean,train_accuracy_std,complete,missing_seeds,notes
intphys2__jepa_v1__linear__layer_24,IntPhys2,intphys2,main,V-JEPA,ViT-H/16,Linear,linear,24,Layer 0.75,1,42,50.980392,,59.313725,,49.019608,,63.235294,,61.589404,,67.218543,,false,"101,102",seed 101 missing_artifact: missing artifacts/probes/intphys2/seed_runs_v1/intphys2__jepa_v1__linear__layer_24/seed_101/train_eval_summary.json; seed 102 missing_artifact: missing artifacts/probes/intphys2/seed_runs_v1/intphys2__jepa_v1__linear__layer_24/seed_102/train_eval_summary.json
intphys2__jepa_v1__mlp__layer_24,IntPhys2,intphys2,main,V-JEPA,ViT-H/16,MLP,mlp,24,Layer 0.75,1,42,45.098039,,63.72549,,56.862745,,63.72549,,63.576159,,67.880795,,false,"101,102",seed 101 missing_artifact: missing artifacts/probes/intphys2/seed_runs_v1/intphys2__jepa_v1__mlp__layer_24/seed_101/train_eval_summary.json; seed 102 missing_artifact: missing artifacts/probes/intphys2/seed_runs_v1/intphys2__jepa_v1__mlp__layer_24/seed_102/train_eval_summary.json
intphys2__jepa_v2_1__linear__layer_38,IntPhys2,intphys2,main,V-JEPA 2.1,ViT-Gigantic/16,Linear,linear,38,Layer 0.75,1,42,23.529412,,52.941176,,33.333333,,55.882353,,48.344371,,61.092715,,false,"101,102",seed 101 missing_artifact: missing artifacts/probes/intphys2/seed_runs_v1/intphys2__jepa_v2_1__linear__layer_38/seed_101/train_eval_summary.json; seed 102 missing_artifact: missing artifacts/probes/intphys2/seed_runs_v1/intphys2__jepa_v2_1__linear__layer_38/seed_102/train_eval_summary.json
intphys2__jepa_v2_1__mlp__layer_38,IntPhys2,intphys2,main,V-JEPA 2.1,ViT-Gigantic/16,MLP,mlp,38,Layer 0.75,1,42,39.215686,,57.352941,,45.098039,,61.764706,,100,,99.337748,,false,"101,102",seed 101 missing_artifact: missing artifacts/probes/intphys2/seed_runs_v1/intphys2__jepa_v2_1__mlp__layer_38/seed_101/train_eval_summary.json; seed 102 missing_artifact: missing artifacts/probes/intphys2/seed_runs_v1/intphys2__jepa_v2_1__mlp__layer_38/seed_102/train_eval_summary.json
intphys2__jepa_v2__linear__layer_40,IntPhys2,intphys2,main,V-JEPA 2,ViT-G/16,Linear,linear,40,Final layer,2,"42,101",37.254902,5.545936,57.107843,2.426346,35.294117,5.545935,54.901961,4.159452,44.039735,23.882414,57.119206,4.214544,false,102,seed 102 missing_artifact: missing artifacts/probes/intphys2/seed_runs_v1/intphys2__jepa_v2__linear__layer_40/seed_102/train_eval_summary.json
intphys2__jepa_v2__mlp__layer_40,IntPhys2,intphys2,main,V-JEPA 2,ViT-G/16,MLP,mlp,40,Final layer,1,42,47.058824,,59.313725,,41.176471,,64.215686,,100,,97.516556,,false,"101,102",seed 101 missing_artifact: missing artifacts/probes/intphys2/seed_runs_v1/intphys2__jepa_v2__mlp__layer_40/seed_101/train_eval_summary.json; seed 102 missing_artifact: missing artifacts/probes/intphys2/seed_runs_v1/intphys2__jepa_v2__mlp__layer_40/seed_102/train_eval_summary.json
intphys2__videomae__linear__layer_16,IntPhys2,intphys2,main,VideoMAE,ViT-H/16,Linear,linear,16,Layer 0.5,1,42,35.294118,,58.333333,,41.176471,,60.784314,,50.993377,,65.728477,,false,"101,102",seed 101 missing_artifact: missing artifacts/probes/intphys2/seed_runs_v1/intphys2__videomae__linear__layer_16/seed_101/train_eval_summary.json; seed 102 missing_artifact: missing artifacts/probes/intphys2/seed_runs_v1/intphys2__videomae__linear__layer_16/seed_102/train_eval_summary.json
intphys2__videomae__mlp__layer_24,IntPhys2,intphys2,main,VideoMAE,ViT-H/16,MLP,mlp,24,Layer 0.75,1,42,35.294118,,59.803922,,39.215686,,64.215686,,100,,95.198675,,false,"101,102",seed 101 missing_artifact: missing artifacts/probes/intphys2/seed_runs_v1/intphys2__videomae__mlp__layer_24/seed_101/train_eval_summary.json; seed 102 missing_artifact: missing artifacts/probes/intphys2/seed_runs_v1/intphys2__videomae__mlp__layer_24/seed_102/train_eval_summary.json
intphys2__videomae_v2__linear__layer_20,IntPhys2,intphys2,main,VideoMAE-v2,ViT-G/16,Linear,linear,20,Layer 0.5,1,42,37.254902,,59.313725,,47.058824,,63.72549,,96.688742,,95.033113,,false,"101,102",seed 101 missing_artifact: missing artifacts/probes/intphys2/seed_runs_v1/intphys2__videomae_v2__linear__layer_20/seed_101/train_eval_summary.json; seed 102 missing_artifact: missing artifacts/probes/intphys2/seed_runs_v1/intphys2__videomae_v2__linear__layer_20/seed_102/train_eval_summary.json
intphys2__videomae_v2__mlp__layer_20,IntPhys2,intphys2,main,VideoMAE-v2,ViT-G/16,MLP,mlp,20,Layer 0.5,1,42,47.058824,,56.372549,,41.176471,,66.176471,,62.251656,,76.986755,,false,"101,102",seed 101 missing_artifact: missing artifacts/probes/intphys2/seed_runs_v1/intphys2__videomae_v2__mlp__layer_20/seed_101/train_eval_summary.json; seed 102 missing_artifact: missing artifacts/probes/intphys2/seed_runs_v1/intphys2__videomae_v2__mlp__layer_20/seed_102/train_eval_summary.json
mvp__jepa_v1__linear__layer_32,MVP,mvp,main,V-JEPA,ViT-H/16,Linear,linear,32,Final layer,1,42,48.736097,,71.587462,,49.34277,,71.688574,,53.052277,,74.064081,,false,"101,102",seed 101 missing_artifact: missing artifacts/probes/mvp/seed_runs_v1/mvp__jepa_v1__linear__layer_32/seed_101/train_eval_summary.json; seed 102 missing_artifact: missing artifacts/probes/mvp/seed_runs_v1/mvp__jepa_v1__linear__layer_32/seed_102/train_eval_summary.json
mvp__jepa_v1__mlp__layer_32,MVP,mvp,main,V-JEPA,ViT-H/16,MLP,mlp,32,Final layer,1,42,87.259858,,93.023256,,91.102123,,95.197169,,99.932546,,99.966273,,false,"101,102",seed 101 missing_artifact: missing artifacts/probes/mvp/seed_runs_v1/mvp__jepa_v1__mlp__layer_32/seed_101/train_eval_summary.json; seed 102 missing_artifact: missing artifacts/probes/mvp/seed_runs_v1/mvp__jepa_v1__mlp__layer_32/seed_102/train_eval_summary.json
mvp__jepa_v2_1__linear__layer_48,MVP,mvp,main,V-JEPA 2.1,ViT-Gigantic/16,Linear,linear,48,Final layer,1,42,41.557128,,66.632963,,44.084934,,66.683519,,48.600337,,70.978078,,false,"101,102",seed 101 missing_artifact: missing artifacts/probes/mvp/seed_runs_v1/mvp__jepa_v2_1__linear__layer_48/seed_101/train_eval_summary.json; seed 102 missing_artifact: missing artifacts/probes/mvp/seed_runs_v1/mvp__jepa_v2_1__linear__layer_48/seed_102/train_eval_summary.json
mvp__jepa_v2_1__mlp__layer_38,MVP,mvp,main,V-JEPA 2.1,ViT-Gigantic/16,MLP,mlp,38,Layer 0.75,1,42,70.778564,,83.063701,,74.519717,,85.389282,,98.920742,,99.460371,,false,"101,102",seed 101 missing_artifact: missing artifacts/probes/mvp/seed_runs_v1/mvp__jepa_v2_1__mlp__layer_38/seed_101/train_eval_summary.json; seed 102 missing_artifact: missing artifacts/probes/mvp/seed_runs_v1/mvp__jepa_v2_1__mlp__layer_38/seed_102/train_eval_summary.json
mvp__jepa_v2__linear__layer_40,MVP,mvp,main,V-JEPA 2,ViT-G/16,Linear,linear,40,Final layer,1,42,48.533873,,69.91911,,48.938322,,70.424671,,52.310287,,73.102867,,false,"101,102",seed 101 missing_artifact: missing artifacts/probes/mvp/seed_runs_v1/mvp__jepa_v2__linear__layer_40/seed_101/train_eval_summary.json; seed 102 missing_artifact: missing artifacts/probes/mvp/seed_runs_v1/mvp__jepa_v2__linear__layer_40/seed_102/train_eval_summary.json
mvp__jepa_v2__mlp__layer_40,MVP,mvp,main,V-JEPA 2,ViT-G/16,MLP,mlp,40,Final layer,1,42,86.754297,,92.770475,,87.76542,,93.124368,,99.932546,,99.966273,,false,"101,102",seed 101 missing_artifact: missing artifacts/probes/mvp/seed_runs_v1/mvp__jepa_v2__mlp__layer_40/seed_101/train_eval_summary.json; seed 102 missing_artifact: missing artifacts/probes/mvp/seed_runs_v1/mvp__jepa_v2__mlp__layer_40/seed_102/train_eval_summary.json
