dataset,experiment,model_label,backbone,probe,layer_key,layer,layer_label,config_id,manifest_seeds,expected_seeds,loaded_n_seeds,loaded_seeds,missing_loaded_seeds,loaded_seed_source,test_primary_mean,test_primary_std,status,manifest
intphys2,ltx,LTX-13B,LTX-13B,linear,id:1,1,noise_1.0_block_12,intphys2__ltx_video__linear__slot_1,"101,102","42,101,102",3,"42,101,102",,ready_manifest,0.0,0.0,OK,seed_manifest_intphys2_ltx13b_linear_mlp.csv
intphys2,ltx,LTX-13B,LTX-13B,linear,id:10,10,noise_0.8_block_24,intphys2__ltx_video__linear__slot_10,"101,102","42,101,102",3,"42,101,102",,ready_manifest,21.56862745098037,3.921568627450944,OK,seed_manifest_intphys2_ltx13b_linear_mlp.csv
intphys2,ltx,LTX-13B,LTX-13B,linear,id:11,11,noise_0.8_block_36,intphys2__ltx_video__linear__slot_11,"101,102","42,101,102",3,"42,101,102",,ready_manifest,19.6078431372549,1.9607843137254972,OK,seed_manifest_intphys2_ltx13b_linear_mlp.csv
intphys2,ltx,LTX-13B,LTX-13B,linear,id:12,12,noise_0.8_block_48,intphys2__ltx_video__linear__slot_12,"101,102","42,101,102",3,"42,101,102",,ready_manifest,14.379084967320262,4.081698038168889,OK,seed_manifest_intphys2_ltx13b_linear_mlp.csv
intphys2,ltx,LTX-13B,LTX-13B,linear,id:13,13,noise_0.7_block_12,intphys2__ltx_video__linear__slot_13,"101,102","42,101,102",3,"42,101,102",,ready_manifest,27.45098039215685,5.187747668754082,OK,seed_manifest_intphys2_ltx13b_linear_mlp.csv
intphys2,ltx,LTX-13B,LTX-13B,linear,id:14,14,noise_0.7_block_24,intphys2__ltx_video__linear__slot_14,"101,102","42,101,102",3,"42,101,102",,ready_manifest,30.718954248366,1.132059351352193,OK,seed_manifest_intphys2_ltx13b_linear_mlp.csv
intphys2,ltx,LTX-13B,LTX-13B,linear,id:15,15,noise_0.7_block_36,intphys2__ltx_video__linear__slot_15,"101,102","42,101,102",3,"42,101,102",,ready_manifest,29.41176470588234,1.9607843137254672,OK,seed_manifest_intphys2_ltx13b_linear_mlp.csv
intphys2,ltx,LTX-13B,LTX-13B,linear,id:16,16,noise_0.7_block_48,intphys2__ltx_video__linear__slot_16,"101,102","42,101,102",3,"42,101,102",,ready_manifest,18.95424836601307,4.081698038168889,OK,seed_manifest_intphys2_ltx13b_linear_mlp.csv
intphys2,ltx,LTX-13B,LTX-13B,linear,id:17,17,noise_0.6_block_12,intphys2__ltx_video__linear__slot_17,"101,102","42,101,102",3,"42,101,102",,ready_manifest,20.915032679738538,6.303039713067263,OK,seed_manifest_intphys2_ltx13b_linear_mlp.csv
intphys2,ltx,LTX-13B,LTX-13B,linear,id:18,18,noise_0.6_block_24,intphys2__ltx_video__linear__slot_18,"101,102","42,101,102",3,"42,101,102",,ready_manifest,37.25490196078432,1.9607843137254868,OK,seed_manifest_intphys2_ltx13b_linear_mlp.csv
intphys2,ltx,LTX-13B,LTX-13B,linear,id:19,19,noise_0.6_block_36,intphys2__ltx_video__linear__slot_19,"101,102","42,101,102",3,"42,101,102",,ready_manifest,30.065359477124183,8.163396076337774,OK,seed_manifest_intphys2_ltx13b_linear_mlp.csv
intphys2,ltx,LTX-13B,LTX-13B,linear,id:2,2,noise_1.0_block_24,intphys2__ltx_video__linear__slot_2,"101,102","42,101,102",3,"42,101,102",,ready_manifest,0.0,0.0,OK,seed_manifest_intphys2_ltx13b_linear_mlp.csv
intphys2,ltx,LTX-13B,LTX-13B,linear,id:20,20,noise_0.6_block_48,intphys2__ltx_video__linear__slot_20,"101,102","42,101,102",3,"42,101,102",,ready_manifest,16.33986928104574,8.16339607633778,OK,seed_manifest_intphys2_ltx13b_linear_mlp.csv
intphys2,ltx,LTX-13B,LTX-13B,linear,id:21,21,noise_0.5_block_12,intphys2__ltx_video__linear__slot_21,"101,102","42,101,102",3,"42,101,102",,ready_manifest,22.875816993464028,2.264118702704372,OK,seed_manifest_intphys2_ltx13b_linear_mlp.csv
