dataset,experiment,model,backbone,probe,selected_layer_id,selected_slot,selected_layer_label,config_status,best_config_json,lr,weight_decay,batch_size,eval_batch_size,epochs,early_stopping_enabled,early_stopping_patience,feature_view,mlp_hidden_dims,mlp_dropout,temporal_num_heads,temporal_num_self_attn_blocks,temporal_mlp_ratio,temporal_dropout,optuna_enabled,best_trial,n_trials,config_id,config_source,evidence_path,excel_workbook,excel_sheet,excel_range,val_primary_metric,val_accuracy,notes
IntPhys2,backbone_sweep,V-JEPA 2.1,ViT-B/16,Attentive,12,NULL,12,VERIFIED_ATTENTIVE_LAYER_LR,"{""layer"":12,""lr"":0.0001,""searched_hparams_only"":true}",1e-4,NULL,NULL,NULL,NULL,NULL,NULL,tokens,NULL,NULL,NULL,NULL,NULL,NULL,false,NULL,NULL,NULL,current Excel Selected LR,NULL,intphys_primary_db.xlsx,V-JEPA 2.1,A14:K14,64.706,74.020,LR-grid winner is in current Excel | recovered file has no full run hparams/provenance for this row | do not infer 30 vs 90 epochs from recovered file | CSV fills the recovered attentive searched choice: selected layer and selected LR
IntPhys2,backbone_sweep,V-JEPA 2.1,ViT-B/16,Linear,9,NULL,9,MISSING,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,intphys_primary_db.xlsx,V-JEPA 2.1,A5:K5,45.098,52.451,no recovered config for the current best row
IntPhys2,backbone_sweep,V-JEPA 2.1,ViT-B/16,MLP,9,NULL,9,MISSING,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,intphys_primary_db.xlsx,V-JEPA 2.1,A9:K9,45.098,64.216,no recovered config for the current best row
IntPhys2,backbone_sweep,V-JEPA 2.1,ViT-G/16,Attentive,40,NULL,40,VERIFIED_ATTENTIVE_LAYER_LR,"{""layer"":40,""lr"":0.0001,""searched_hparams_only"":true}",1e-4,NULL,NULL,NULL,NULL,NULL,NULL,tokens,NULL,NULL,NULL,NULL,NULL,NULL,false,NULL,NULL,NULL,current Excel Selected LR,NULL,intphys_primary_db.xlsx,V-JEPA 2.1,AA14:AK14,64.706,76.471,LR-grid winner is in current Excel | recovered file has no full run hparams/provenance for this row | do not infer 30 vs 90 epochs from recovered file | CSV fills the recovered attentive searched choice: selected layer and selected LR
IntPhys2,backbone_sweep,V-JEPA 2.1,ViT-G/16,Linear,20,NULL,20,MISSING,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,intphys_primary_db.xlsx,V-JEPA 2.1,AA4:AK4,37.255,60.294,no recovered config for the current best row
IntPhys2,backbone_sweep,V-JEPA 2.1,ViT-G/16,MLP,30,NULL,30,MISSING,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,intphys_primary_db.xlsx,V-JEPA 2.1,AA9:AK9,39.216,63.725,no recovered config for the current best row
IntPhys2,backbone_sweep,VideoMAE-v2,ViT-B/16,Attentive,9,NULL,9,VERIFIED_ATTENTIVE_LAYER_LR,"{""layer"":9,""lr"":5e-05,""searched_hparams_only"":true}",5e-5,NULL,NULL,NULL,NULL,NULL,NULL,tokens,NULL,NULL,NULL,NULL,NULL,NULL,false,NULL,NULL,NULL,current Excel Selected LR,NULL,intphys_primary_db.xlsx,VideoMAE-v2,A13:K13,54.902,74.020,LR-grid winner is in current Excel | recovered file has no full run hparams/provenance for this row | do not infer 30 vs 90 epochs from recovered file | CSV fills the recovered attentive searched choice: selected layer and selected LR
IntPhys2,backbone_sweep,VideoMAE-v2,ViT-B/16,Linear,9,NULL,9,MISSING,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,intphys_primary_db.xlsx,VideoMAE-v2,A5:K5,47.059,60.294,no recovered config for the current best row
IntPhys2,backbone_sweep,VideoMAE-v2,ViT-B/16,MLP,9,NULL,9,MISSING,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,intphys_primary_db.xlsx,VideoMAE-v2,A9:K9,50.980,58.333,no recovered config for the current best row
IntPhys2,ltx,LTX-Video,LTX-13B,Attentive,38,NULL,38,VERIFIED_ATTENTIVE_LAYER_LR,"{""layer"":38,""lr"":1e-05,""searched_hparams_only"":true}",1e-5,NULL,NULL,NULL,NULL,NULL,NULL,tokens,NULL,NULL,NULL,NULL,NULL,NULL,false,NULL,NULL,NULL,current Excel Selected LR,NULL,intphys_primary_db.xlsx,LTX-Video,N85:X85,56.863,65.196,LR-grid winner is in current Excel | recovered file has no full run hparams/provenance for this row | do not infer 30 vs 90 epochs from recovered file | CSV fills the recovered attentive searched choice: selected layer and selected LR
