dataset,experiment,model,backbone,backbone_name,backbone_variant,probe,probe_name,probe_layer,excel_layer,depth_layer_id,selected_slot,layer_label,config_status,best_config_json,lr,weight_decay,batch_size,eval_batch_size,epochs,early_stopping_enabled,early_stopping_patience,feature_view,mlp_hidden_dims,mlp_dropout,temporal_num_heads,temporal_num_self_attn_blocks,temporal_mlp_ratio,temporal_dropout,optuna_enabled,best_trial,n_trials,config_id,config_source,evidence_path,excel_workbook,excel_sheet,excel_range,selected_lr_from_excel,train_accuracy,val_accuracy,test_accuracy,train_primary_metric,val_primary_metric,test_primary_metric,notes
IntPhys2,same_L,V-JEPA,ViT-L/16,jepa_v1,vitl16_224,Linear,linear,6,6,6,NULL,6,VERIFIED_FULL,"{""batch_size"":32,""early_stopping"":{""enabled"":false,""patience"":5},""epochs"":1000,""eval_batch_size"":1024,""feature_view"":""pooled"",""layer"":6,""lr"":0.0009550389696130119,""slot"":null,""weight_decay"":0.0006287181301801359}",0.00095503896961301191,0.00062871813018013588,32,1024,1000,false,5,pooled,NULL,NULL,NULL,NULL,NULL,NULL,false,14,20,intphys2__same_l__jepa_v1__vitl16_224__linear__layer_6,local optuna_summary.json,same_size_ablation/intphys_same_size_ablation/Linear/intphys2_probe_linear_jepa_v1_vitl16_224_20260526T233045Z/layer_6/train/optuna_summary.json,intphys_primary_db.xlsx,V-JEPA,A3:K3,NULL,65.728476821192046,56.862745098039213,55.392156862745097,45.695364238410598,27.450980392156861,25.490196078431371,Config recovered from local result datastore; existing non-null values were preserved.
IntPhys2,same_L,V-JEPA,ViT-L/16,jepa_v1,vitl16_224,Linear,linear,12,12,12,NULL,12,VERIFIED_FULL,"{""batch_size"":32,""early_stopping"":{""enabled"":false,""patience"":5},""epochs"":2000,""eval_batch_size"":1024,""feature_view"":""pooled"",""layer"":12,""lr"":0.0001329291894316216,""slot"":null,""weight_decay"":0.005061576888752304}",0.00013292918943162159,0.0050615768887523043,32,1024,2000,false,5,pooled,NULL,NULL,NULL,NULL,NULL,NULL,false,0,20,intphys2__same_l__jepa_v1__vitl16_224__linear__layer_12,local optuna_summary.json,same_size_ablation/intphys_same_size_ablation/Linear/intphys2_probe_linear_jepa_v1_vitl16_224_20260526T233045Z/layer_12/train/optuna_summary.json,intphys_primary_db.xlsx,V-JEPA,A4:K4,NULL,71.523178807947019,61.274509803921568,51.470588235294123,49.668874172185433,43.137254901960787,29.411764705882359,Config recovered from local result datastore; existing non-null values were preserved.
IntPhys2,same_L,V-JEPA,ViT-L/16,jepa_v1,vitl16_224,Linear,linear,18,18,18,NULL,18,VERIFIED_FULL,"{""batch_size"":256,""early_stopping"":{""enabled"":false,""patience"":5},""epochs"":20,""eval_batch_size"":1024,""feature_view"":""pooled"",""layer"":18,""lr"":0.006755637894650911,""slot"":null,""weight_decay"":2.5285011481292255e-05}",0.0067556378946509107,2.5285011481292255e-05,256,1024,20,false,5,pooled,NULL,NULL,NULL,NULL,NULL,NULL,false,10,20,intphys2__same_l__jepa_v1__vitl16_224__linear__layer_18,local optuna_summary.json,same_size_ablation/intphys_same_size_ablation/Linear/intphys2_probe_linear_jepa_v1_vitl16_224_20260526T233045Z/layer_18/train/optuna_summary.json,intphys_primary_db.xlsx,V-JEPA,A5:K5,NULL,53.311258278145687,53.921568627450981,53.921568627450981,43.046357615894038,41.17647058823529,37.254901960784323,Config recovered from local result datastore; existing non-null values were preserved.
IntPhys2,same_L,V-JEPA,ViT-L/16,jepa_v1,vitl16_224,Linear,linear,24,24,24,NULL,24,VERIFIED_FULL,"{""batch_size"":32,""early_stopping"":{""enabled"":false,""patience"":5},""epochs"":500,""eval_batch_size"":1024,""feature_view"":""pooled"",""layer"":24,""lr"":0.00014656553886225324,""slot"":null,""weight_decay"":4.247116662617142e-07}",0.00014656553886225324,4.2471166626171418e-07,32,1024,500,false,5,pooled,NULL,NULL,NULL,NULL,NULL,NULL,false,5,20,intphys2__same_l__jepa_v1__vitl16_224__linear__layer_24,local optuna_summary.json,same_size_ablation/intphys_same_size_ablation/Linear/intphys2_probe_linear_jepa_v1_vitl16_224_20260526T233045Z/layer_24/train/optuna_summary.json,intphys_primary_db.xlsx,V-JEPA,A6:K6,NULL,59.105960264900659,56.862745098039213,60.294117647058819,49.006622516556291,39.215686274509807,47.058823529411761,Config recovered from local result datastore; existing non-null values were preserved.
IntPhys2,same_L,V-JEPA,ViT-L/16,jepa_v1,vitl16_224,MLP,mlp,6,6,6,NULL,6,VERIFIED_FULL,"{""batch_size"":64,""dropout"":0.2884745869448389,""early_stopping"":{""enabled"":false,""patience"":5},""epochs"":50,""eval_batch_size"":1024,""feature_view"":""pooled"",""hidden_dims"":[512],""layer"":6,""lr"":9.112084128938676e-05,""slot"":null,""weight_decay"":6.867691807016495e-05}",9.1120841289386755e-05,6.8676918070164952e-05,64,1024,50,false,5,pooled,[512],0.28847458694483891,NULL,NULL,NULL,NULL,false,19,20,intphys2__same_l__jepa_v1__vitl16_224__mlp__layer_6,local optuna_summary.json,same_size_ablation/intphys_same_size_ablation/MLP/intphys2_probe_mlp_jepa_v1_vitl16_224_20260527T001136Z/layer_6/train/optuna_summary.json,intphys_primary_db.xlsx,V-JEPA,A7:K7,NULL,53.311258278145687,54.411764705882348,52.450980392156858,26.49006622516556,25.490196078431371,31.372549019607838,Config recovered from local result datastore; existing non-null values were preserved.
IntPhys2,same_L,V-JEPA,ViT-L/16,jepa_v1,vitl16_224,MLP,mlp,12,12,12,NULL,12,VERIFIED_FULL,"{""batch_size"":32,""dropout"":0.21597250932105788,""early_stopping"":{""enabled"":false,""patience"":5},""epochs"":2000,""eval_batch_size"":1024,""feature_view"":""pooled"",""hidden_dims"":[256],""layer"":12,""lr"":0.0001329291894316216,""slot"":null,""weight_decay"":0.005061576888752304}",0.00013292918943162159,0.0050615768887523043,32,1024,2000,false,5,pooled,[256],0.21597250932105788,NULL,NULL,NULL,NULL,false,0,20,intphys2__same_l__jepa_v1__vitl16_224__mlp__layer_12,local optuna_summary.json,same_size_ablation/intphys_same_size_ablation/MLP/intphys2_probe_mlp_jepa_v1_vitl16_224_20260527T001136Z/layer_12/train/optuna_summary.json,intphys_primary_db.xlsx,V-JEPA,A8:K8,NULL,100,63.725490196078432,58.333333333333343,100,43.137254901960787,35.294117647058833,Config recovered from local result datastore; existing non-null values were preserved.
IntPhys2,same_L,V-JEPA,ViT-L/16,jepa_v1,vitl16_224,MLP,mlp,18,18,18,NULL,18,VERIFIED_FULL,"{""batch_size"":32,""dropout"":0.21597250932105788,""early_stopping"":{""enabled"":false,""patience"":5},""epochs"":2000,""eval_batch_size"":1024,""feature_view"":""pooled"",""hidden_dims"":[256],""layer"":18,""lr"":0.0001329291894316216,""slot"":null,""weight_decay"":0.005061576888752304}",0.00013292918943162159,0.0050615768887523043,32,1024,2000,false,5,pooled,[256],0.21597250932105788,NULL,NULL,NULL,NULL,false,0,20,intphys2__same_l__jepa_v1__vitl16_224__mlp__layer_18,local optuna_summary.json,same_size_ablation/intphys_same_size_ablation/MLP/intphys2_probe_mlp_jepa_v1_vitl16_224_20260527T001136Z/layer_18/train/optuna_summary.json,intphys_primary_db.xlsx,V-JEPA,A9:K9,NULL,85.596026490066222,67.156862745098039,64.215686274509807,82.78145695364239,50.980392156862742,47.058823529411761,Config recovered from local result datastore; existing non-null values were preserved.
IntPhys2,same_L,V-JEPA,ViT-L/16,jepa_v1,vitl16_224,MLP,mlp,24,24,24,NULL,24,VERIFIED_FULL,"{""batch_size"":128,""dropout"":0.11978094533348621,""early_stopping"":{""enabled"":false,""patience"":5},""epochs"":20,""eval_batch_size"":1024,""feature_view"":""pooled"",""hidden_dims"":[1024,512,1024],""layer"":24,""lr"":0.00010300196600986775,""slot"":null,""weight_decay"":0.0045442082254883295}",0.00010300196600986775,0.0045442082254883295,128,1024,20,false,5,pooled,"[1024,512,1024]",0.11978094533348621,NULL,NULL,NULL,NULL,false,7,20,intphys2__same_l__jepa_v1__vitl16_224__mlp__layer_24,local optuna_summary.json,same_size_ablation/intphys_same_size_ablation/MLP/intphys2_probe_mlp_jepa_v1_vitl16_224_20260527T001136Z/layer_24/train/optuna_summary.json,intphys_primary_db.xlsx,V-JEPA,A10:K10,NULL,57.119205298013242,53.921568627450981,50.980392156862742,50.993377483443723,43.137254901960787,49.019607843137251,Config recovered from local result datastore; existing non-null values were preserved.
IntPhys2,same_L,V-JEPA,ViT-L/16,jepa_v1,vitl16_224,Attentive,temporal_attn,6,6,6,NULL,6,VERIFIED_FULL,"{""batch_size"":2,""dropout"":0.2,""early_stopping"":{""enabled"":true,""patience"":20},""epochs"":90,""eval_batch_size"":2,""feature_view"":""tokens"",""layer"":6,""lr"":0.0005,""mlp_ratio"":2.0,""num_heads"":16,""num_self_attn_blocks"":1,""slot"":null,""weight_decay"":0.01}",5e-4,0.01,2,2,90,true,20,tokens,NULL,NULL,16,1,2,0.20000000000000001,false,NULL,NULL,intphys2__same_l__v_jepa__vit_l_16__temporal_attn__layer_6,local train_eval_summary.json,same_size_ablation/intphys_same_size_ablation/Attentive/intphys2_probe_temporal_attn_jepa_v1_vitl16_224_lr_matrix/train_eval_summary.json,intphys_primary_db.xlsx,V-JEPA,A11:K11,5e-4,48.675496688741717,54.411764705882348,52.450980392156858,13.90728476821192,21.56862745098039,15.686274509803919,Full attentive config recovered from local train_eval_summary.json; LR also matches current Excel Selected LR.
IntPhys2,same_L,V-JEPA,ViT-L/16,jepa_v1,vitl16_224,Attentive,temporal_attn,12,12,12,NULL,12,VERIFIED_FULL,"{""batch_size"":2,""dropout"":0.2,""early_stopping"":{""enabled"":true,""patience"":20},""epochs"":90,""eval_batch_size"":2,""feature_view"":""tokens"",""layer"":12,""lr"":1e-05,""mlp_ratio"":2.0,""num_heads"":16,""num_self_attn_blocks"":1,""slot"":null,""weight_decay"":0.01}",1e-5,0.01,2,2,90,true,20,tokens,NULL,NULL,16,1,2,0.20000000000000001,false,NULL,NULL,intphys2__same_l__v_jepa__vit_l_16__temporal_attn__layer_12,local train_eval_summary.json,same_size_ablation/intphys_same_size_ablation/Attentive/intphys2_probe_temporal_attn_jepa_v1_vitl16_224_lr_matrix/train_eval_summary.json,intphys_primary_db.xlsx,V-JEPA,A12:K12,1e-5,95.52980132450331,75.490196078431367,77.450980392156865,96.026490066225165,62.745098039215677,62.745098039215677,Full attentive config recovered from local train_eval_summary.json; LR also matches current Excel Selected LR.
